"node","layer","lat","lon","zone","atcocode","city"
199,5,53.4978,-0.66644,270,"270GLS000365","Scunthorpe"
2888,5,53.55116,-0.7807,227,"227G00091039","Scunthorpe"
3573,5,53.63982,-0.57394,227,"227G00091175","Scunthorpe"
3583,5,53.64145,-0.60878,227,"227G00091178","Scunthorpe"
3584,5,53.64072,-0.61218,227,"227G00091179","Scunthorpe"
3935,5,53.50249,-0.67956,270,"270G00014246","Scunthorpe"
4093,5,53.61811,-0.69957,227,"227G00091116","Scunthorpe"
4104,5,53.60215,-0.6851,227,"227G00091115","Scunthorpe"
4112,5,53.50302,-0.66146,270,"270G00013756","Scunthorpe"
4113,5,53.50213,-0.66316,270,"270G00013757","Scunthorpe"
4115,5,53.62452,-0.68342,227,"227G00091113","Scunthorpe"
4857,5,53.57401,-0.66066,227,"227G00091273","Scunthorpe"
4858,5,53.57783,-0.65981,227,"227G00091271","Scunthorpe"
4859,5,53.58005,-0.63655,227,"227G00091270","Scunthorpe"
4860,5,53.56832,-0.66882,227,"227G00091275","Scunthorpe"
4861,5,53.56707,-0.66752,227,"227G00091274","Scunthorpe"
4864,5,53.56398,-0.65662,227,"227G00091279","Scunthorpe"
4865,5,53.56566,-0.65668,227,"227G00091278","Scunthorpe"
6754,5,53.63982,-0.6653,227,"227G00091080","Scunthorpe"
6755,5,53.6512,-0.64818,227,"227G00091081","Scunthorpe"
6756,5,53.65535,-0.64031,227,"227G00091082","Scunthorpe"
6757,5,53.55114,-0.51453,227,"227G00091084","Scunthorpe"
7314,5,53.55878,-0.65499,227,"227G00091339","Scunthorpe"
7316,5,53.66592,-0.64131,227,"227G00091337","Scunthorpe"
7317,5,53.54261,-0.75187,227,"227G00091334","Scunthorpe"
7319,5,53.54546,-0.74051,227,"227G00091332","Scunthorpe"
7320,5,53.54269,-0.74486,227,"227G00091333","Scunthorpe"
7322,5,53.54301,-0.74043,227,"227G00091331","Scunthorpe"
8527,5,53.57699,-0.74116,227,"227G00091008","Scunthorpe"
8528,5,53.5752,-0.74402,227,"227G00091009","Scunthorpe"
8537,5,53.57963,-0.77949,227,"227G00091005","Scunthorpe"
8538,5,53.57517,-0.74529,227,"227G00091006","Scunthorpe"
8539,5,53.57925,-0.73866,227,"227G00091007","Scunthorpe"
10040,5,53.57168,-0.54804,227,"227G00091428","Scunthorpe"
10041,5,53.5902,-0.66827,227,"227G00091429","Scunthorpe"
10046,5,53.53319,-0.65413,227,"227G00091423","Scunthorpe"
10051,5,53.60221,-0.65189,227,"227G00091425","Scunthorpe"
10599,5,53.58118,-0.65398,227,"227G00091208","Scunthorpe"
10600,5,53.57521,-0.65609,227,"227G00091209","Scunthorpe"
10602,5,53.56678,-0.64476,227,"227G00091202","Scunthorpe"
10603,5,53.56686,-0.64095,227,"227G00091203","Scunthorpe"
10604,5,53.56679,-0.65409,227,"227G00091200","Scunthorpe"
10605,5,53.56676,-0.64902,227,"227G00091201","Scunthorpe"
10606,5,53.57794,-0.65485,227,"227G00091207","Scunthorpe"
10607,5,53.5667,-0.63741,227,"227G00091204","Scunthorpe"
10608,5,53.5666,-0.63483,227,"227G00091205","Scunthorpe"
10869,5,53.66033,-0.59189,227,"227G00091357","Scunthorpe"
10872,5,53.65358,-0.61115,227,"227G00091350","Scunthorpe"
10876,5,53.65401,-0.59687,227,"227G00091352","Scunthorpe"
11074,5,53.58664,-0.68861,227,"227G00091123","Scunthorpe"
11075,5,53.58875,-0.68887,227,"227G00091122","Scunthorpe"
11079,5,53.58964,-0.7285,227,"227G00091126","Scunthorpe"
11080,5,53.59025,-0.72186,227,"227G00091125","Scunthorpe"
11081,4,53.58919,-0.6944,227,"227G00091124","Scunthorpe"
11081,5,53.58919,-0.6944,227,"227G00091124","Scunthorpe"
12426,5,53.62486,-0.67765,227,"227G00091117","Scunthorpe"
12427,5,53.56155,-0.65657,227,"227G00091280","Scunthorpe"
12428,5,53.58614,-0.68549,227,"227G00091281","Scunthorpe"
12429,5,53.5983,-0.65421,227,"227G00091286","Scunthorpe"
12430,5,53.60701,-0.65298,227,"227G00091284","Scunthorpe"
12431,5,53.57654,-0.64855,227,"227G00091285","Scunthorpe"
12433,5,53.57916,-0.6778,227,"227G00091288","Scunthorpe"
12434,5,53.57698,-0.67627,227,"227G00091289","Scunthorpe"
12445,5,53.60337,-0.68743,227,"227G00091114","Scunthorpe"
13131,5,53.65186,-0.61288,227,"227G00091360","Scunthorpe"
14329,5,53.5571,-0.6712,227,"227G00091055","Scunthorpe"
14330,5,53.54975,-0.65691,227,"227G00091054","Scunthorpe"
14331,5,53.554,-0.65756,227,"227G00091053","Scunthorpe"
14332,5,53.55606,-0.6576,227,"227G00091052","Scunthorpe"
14333,5,53.55255,-0.64779,227,"227G00091051","Scunthorpe"
14334,5,53.55236,-0.66751,227,"227G00091050","Scunthorpe"
14681,5,53.52922,-0.53745,227,"227G00091194","Scunthorpe"
16813,5,53.59771,-0.73892,227,"227G00091152","Scunthorpe"
16814,5,53.57841,-0.74341,227,"227G00091153","Scunthorpe"
16815,5,53.5925,-0.74077,227,"227G00091151","Scunthorpe"
18186,5,53.57726,-0.66057,227,"227G00091259","Scunthorpe"
18187,5,53.56912,-0.63864,227,"227G00091258","Scunthorpe"
18193,5,53.56303,-0.67654,227,"227G00091250","Scunthorpe"
18194,5,53.60048,-0.68205,227,"227G00091255","Scunthorpe"
18195,5,53.59788,-0.65593,227,"227G00091257","Scunthorpe"
18897,5,53.65402,-0.58481,227,"227G00091359","Scunthorpe"
18899,5,53.65578,-0.59238,227,"227G00091355","Scunthorpe"
18900,5,53.65802,-0.59227,227,"227G00091356","Scunthorpe"
18901,5,53.65504,-0.5993,227,"227G00091351","Scunthorpe"
18902,5,53.65404,-0.59363,227,"227G00091353","Scunthorpe"
20400,2,53.5862,-0.65098,227," 910GSCNTHRP","Scunthorpe"
20400,5,53.5862,-0.65098,227," 910GSCNTHRP","Scunthorpe"
21772,5,53.6461,-0.58214,227,"227G00091176","Scunthorpe"
21775,5,53.64347,-0.59781,227,"227G00091177","Scunthorpe"
22698,5,53.53685,-0.5343,227,"227G00091189","Scunthorpe"
22706,5,53.61165,-0.63182,227,"227G00091180","Scunthorpe"
22709,5,53.53184,-0.53888,227,"227G00091185","Scunthorpe"
22710,5,53.53353,-0.53392,227,"227G00091184","Scunthorpe"
22711,5,53.53737,-0.54926,227,"227G00091187","Scunthorpe"
22712,5,53.53588,-0.55643,227,"227G00091186","Scunthorpe"
23617,5,53.49796,-0.66476,270,"270G00014248","Scunthorpe"
23619,5,53.58894,-0.68628,227,"227G00091282","Scunthorpe"
23620,5,53.56509,-0.55216,227,"227G00091064","Scunthorpe"
24010,5,53.57736,-0.66513,227,"227G00091260","Scunthorpe"
24011,5,53.57525,-0.66516,227,"227G00091261","Scunthorpe"
24012,5,53.56736,-0.6321,227,"227G00091262","Scunthorpe"
24013,5,53.56141,-0.63676,227,"227G00091263","Scunthorpe"
24014,5,53.56174,-0.63379,227,"227G00091264","Scunthorpe"
24015,5,53.57501,-0.63623,227,"227G00091265","Scunthorpe"
24016,5,53.57096,-0.67736,227,"227G00091268","Scunthorpe"
24321,5,53.59587,-0.67616,227,"227G00091239","Scunthorpe"
24459,5,53.57064,-0.64466,227,"227G00091106","Scunthorpe"
26494,5,53.59246,-0.67881,227,"227G00091303","Scunthorpe"
26495,4,53.59084,-0.64326,227,"227G00091302","Scunthorpe"
26495,5,53.59084,-0.64326,227,"227G00091302","Scunthorpe"
26496,5,53.5637,-0.66781,227,"227G00091301","Scunthorpe"
26497,5,53.58528,-0.64205,227,"227G00091307","Scunthorpe"
26498,5,53.5733,-0.67784,227,"227G00091306","Scunthorpe"
26499,5,53.57148,-0.67795,227,"227G00091305","Scunthorpe"
26500,5,53.55851,-0.67046,227,"227G00091304","Scunthorpe"
26503,5,53.5729,-0.63789,227,"227G00091309","Scunthorpe"
26504,5,53.57179,-0.63276,227,"227G00091308","Scunthorpe"
27160,5,53.56223,-0.67001,227,"227G00091399","Scunthorpe"
27648,5,53.50913,-0.74059,270,"270GLS001273","Scunthorpe"
27741,5,53.64481,-0.67834,227,"227G00091079","Scunthorpe"
27743,5,53.65051,-0.68181,227,"227G00091075","Scunthorpe"
27744,5,53.65103,-0.67887,227,"227G00091074","Scunthorpe"
27745,5,53.64623,-0.68186,227,"227G00091077","Scunthorpe"
27746,5,53.64919,-0.68448,227,"227G00091076","Scunthorpe"
27747,5,53.56471,-0.67999,227,"227G00091071","Scunthorpe"
27748,5,53.56856,-0.54337,227,"227G00091070","Scunthorpe"
27749,5,53.57453,-0.73774,227,"227G00091073","Scunthorpe"
27750,5,53.57377,-0.74021,227,"227G00091072","Scunthorpe"
28382,5,53.60857,-0.69924,227,"227G00091388","Scunthorpe"
28385,5,53.5774,-0.65484,227,"227G00091385","Scunthorpe"
29289,5,53.57697,-0.68311,227,"227G00091419","Scunthorpe"
29290,5,53.56763,-0.55122,227,"227G00091417","Scunthorpe"
29291,5,53.57478,-0.68285,227,"227G00091416","Scunthorpe"
29292,5,53.57429,-0.68129,227,"227G00091415","Scunthorpe"
29293,5,53.55462,-0.669,227,"227G00091414","Scunthorpe"
29294,5,53.55721,-0.63451,227,"227G00091412","Scunthorpe"
29295,5,53.55767,-0.63117,227,"227G00091411","Scunthorpe"
29873,5,53.59466,-0.67786,227,"227G00091238","Scunthorpe"
29874,5,53.59756,-0.67593,227,"227G00091237","Scunthorpe"
