"node","layer","lat","lon","zone","atcocode","city"
105,5,53.33747,-1.35678,370,"  370G101476","Sheffield"
107,5,53.33958,-1.35367,370,"  370G101474","Sheffield"
110,5,53.33647,-1.35372,370,"  370G101478","Sheffield"
111,5,53.3351,-1.35093,370,"  370G101479","Sheffield"
307,5,53.42373,-1.44308,370,"  370G102519","Sheffield"
436,5,53.36939,-1.46485,370,"  370G102514","Sheffield"
724,5,53.38104,-1.49068,370,"  370G100962","Sheffield"
732,5,53.38043,-1.49539,370,"  370G100964","Sheffield"
746,5,53.37783,-1.49989,370,"  370G100968","Sheffield"
786,5,53.40784,-1.5238,370,"  370G101845","Sheffield"
788,5,53.40796,-1.51679,370,"  370G101843","Sheffield"
797,5,53.41661,-1.52506,370,"  370G101849","Sheffield"
798,5,53.41533,-1.52286,370,"  370G101848","Sheffield"
853,5,53.38814,-1.46623,370,"  370G101151","Sheffield"
855,5,53.35454,-1.52523,370,"  370G101153","Sheffield"
856,5,53.35436,-1.52165,370,"  370G101152","Sheffield"
866,5,53.3701,-1.42257,370,"  370G100401","Sheffield"
867,5,53.36961,-1.42709,370,"  370G100403","Sheffield"
868,5,53.4613,-1.48038,370,"  370G100404","Sheffield"
869,5,53.4619,-1.47885,370,"  370G100406","Sheffield"
871,5,53.41634,-1.52151,370,"  370G100408","Sheffield"
1299,5,53.37686,-1.45249,370,"  370G100514","Sheffield"
1385,5,53.35205,-1.42453,940," 940GZZSYHOL","Sheffield"
1385,3,53.35205,-1.42453,940," 940GZZSYHOL","Sheffield"
1469,5,53.3575,-1.37672,370,"  370G101378","Sheffield"
1483,5,53.35752,-1.40354,370,"  370G101371","Sheffield"
1543,5,53.39259,-1.50422,370,"  370G105087","Sheffield"
1544,5,53.40123,-1.55168,370,"  370G105084","Sheffield"
1591,5,53.3781,-1.52612,370,"  370G100619","Sheffield"
1592,5,53.35506,-1.43167,370,"  370G100618","Sheffield"
1625,5,53.40202,-1.49996,940," 940GZZSYHIL","Sheffield"
1625,3,53.40202,-1.49996,940," 940GZZSYHIL","Sheffield"
1701,5,53.32805,-1.47861,370,"  370G100779","Sheffield"
1716,5,53.33598,-1.49231,370,"  370G100773","Sheffield"
2110,5,53.46163,-1.48315,370,"  370G100127","Sheffield"
2116,5,53.41922,-1.45211,370,"  370G100124","Sheffield"
2217,5,53.42722,-1.44752,370,"  370G100131","Sheffield"
2218,5,53.4287,-1.45083,370,"  370G100132","Sheffield"
2219,5,53.4319,-1.4507,370,"  370G100134","Sheffield"
2220,5,53.4343,-1.45011,370,"  370G100135","Sheffield"
2274,5,53.32282,-1.49844,370,"  370G100794","Sheffield"
2275,5,53.32161,-1.49976,370,"  370G100795","Sheffield"
2277,5,53.32569,-1.48861,370,"  370G100790","Sheffield"
2278,5,53.32424,-1.49215,370,"  370G100792","Sheffield"
2279,5,53.32416,-1.495,370,"  370G100793","Sheffield"
2381,5,53.32574,-1.47987,370,"  370G100782","Sheffield"
2388,5,53.33006,-1.48809,370,"  370G100787","Sheffield"
2390,5,53.32694,-1.484,370,"  370G100786","Sheffield"
2398,5,53.32469,-1.48803,370,"  370G100784","Sheffield"
2546,5,53.36965,-1.49367,370,"  370G100877","Sheffield"
2549,5,53.37182,-1.43046,370,"  370G100876","Sheffield"
2550,5,53.37338,-1.48055,370,"  370G100871","Sheffield"
2553,5,53.37219,-1.4863,370,"  370G100873","Sheffield"
2602,5,53.41106,-1.47925,370,"  370G101223","Sheffield"
2603,5,53.41018,-1.47666,370,"  370G101222","Sheffield"
2609,5,53.36545,-1.43087,370,"  370G104172","Sheffield"
2904,5,53.36082,-1.52192,370,"  370G100901","Sheffield"
2961,5,53.31253,-1.47666,100,"100G00014855","Sheffield"
3088,5,53.40765,-1.51282,370,"  370G101841","Sheffield"
3332,5,53.34081,-1.44503,370,"  370G101586","Sheffield"
3335,5,53.34034,-1.44788,370,"  370G101585","Sheffield"
3336,5,53.34444,-1.44607,370,"  370G101582","Sheffield"
3338,5,53.3488,-1.44944,370,"  370G101580","Sheffield"
3339,5,53.34689,-1.44602,370,"  370G101581","Sheffield"
3350,5,53.38992,-1.51994,370,"  370G101058","Sheffield"
3351,5,53.38615,-1.5343,370,"  370G101059","Sheffield"
3353,5,53.39051,-1.50362,370,"  370G101051","Sheffield"
3354,5,53.39962,-1.51249,370,"  370G101054","Sheffield"
3355,5,53.3969,-1.51209,370,"  370G101056","Sheffield"
3356,5,53.39261,-1.51654,370,"  370G101057","Sheffield"
3455,5,53.31487,-1.53534,370,"  370G101630","Sheffield"
3678,5,53.32956,-1.37055,370,"  370G100558","Sheffield"
3767,5,53.36714,-1.455,940," 940GZZSYPGR","Sheffield"
3767,3,53.36714,-1.455,940," 940GZZSYPGR","Sheffield"
4003,5,53.42976,-1.48967,370,"  370G101939","Sheffield"
4004,5,53.4292,-1.48687,370,"  370G101938","Sheffield"
4268,5,53.43241,-1.47253,370,"  370G101250","Sheffield"
4599,5,53.39732,-1.57433,370,"  370G101748","Sheffield"
4600,5,53.39394,-1.55537,370,"  370G101742","Sheffield"
4601,5,53.39436,-1.56222,370,"  370G101744","Sheffield"
4603,5,53.39575,-1.57125,370,"  370G101746","Sheffield"
4636,5,53.38552,-1.44176,940," 940GZZSYNUN","Sheffield"
4636,3,53.38552,-1.44176,940," 940GZZSYNUN","Sheffield"
4668,5,53.41308,-1.51999,370,"  370G101847","Sheffield"
4672,5,53.4115,-1.5178,370,"  370G101846","Sheffield"
4677,5,53.41058,-1.51548,370,"  370G101844","Sheffield"
4684,5,53.40882,-1.51144,370,"  370G101842","Sheffield"
4692,5,53.4074,-1.5096,370,"  370G101840","Sheffield"
4747,5,53.35764,-1.51392,370,"  370G100905","Sheffield"
4748,5,53.35273,-1.51729,370,"  370G100904","Sheffield"
4749,5,53.35718,-1.51771,370,"  370G100907","Sheffield"
4750,5,53.35148,-1.51973,370,"  370G100906","Sheffield"
4752,5,53.35603,-1.5118,370,"  370G100900","Sheffield"
4753,5,53.359,-1.5214,370,"  370G100903","Sheffield"
4754,5,53.3543,-1.51419,370,"  370G100902","Sheffield"
4755,5,53.35725,-1.52139,370,"  370G100909","Sheffield"
4756,5,53.34829,-1.52215,370,"  370G100908","Sheffield"
4783,5,53.35463,-1.51424,370,"  370G102501","Sheffield"
5013,5,53.31535,-1.47526,100,"100G00011924","Sheffield"
5016,5,53.31089,-1.50901,100,"100G00011921","Sheffield"
5082,5,53.34318,-1.41052,370,"  370G101509","Sheffield"
5083,5,53.34373,-1.41534,370,"  370G101506","Sheffield"
5084,5,53.343,-1.41265,370,"  370G101507","Sheffield"
5085,5,53.3469,-1.41697,370,"  370G101504","Sheffield"
5088,5,53.34848,-1.4165,370,"  370G101501","Sheffield"
5141,5,53.41455,-1.44352,370,"  370G101150","Sheffield"
5220,5,53.45993,-1.48062,370,"  370G100409","Sheffield"
5326,5,53.43734,-1.46961,370,"  370G103840","Sheffield"
5352,5,53.38315,-1.46497,940," 940GZZSYFIZ","Sheffield"
5352,3,53.38315,-1.46497,940," 940GZZSYFIZ","Sheffield"
5763,5,53.42709,-1.46834,370,"  370G101319","Sheffield"
5764,5,53.42718,-1.47603,370,"  370G101318","Sheffield"
5766,5,53.42154,-1.46022,370,"  370G101314","Sheffield"
5767,5,53.42098,-1.46363,370,"  370G101313","Sheffield"
5768,5,53.42114,-1.47019,370,"  370G101311","Sheffield"
