"node","layer","lat","lon","zone","atcocode","city"
3921,4,52.71195,-2.74977,910,"  910GSHRWBY","Shrewsbury"
3921,2,52.71195,-2.74977,910,"  910GSHRWBY","Shrewsbury"
3921,5,52.71195,-2.74977,910,"  910GSHRWBY","Shrewsbury"
51905,5,52.69999,-2.78379,350," 3500B435705","Shrewsbury"
52503,5,52.64501,-2.71328,350," 3500B038800","Shrewsbury"
53048,5,52.72775,-2.72711,350," 3500B107304","Shrewsbury"
53050,5,52.72829,-2.72318,350," 3500B107306","Shrewsbury"
53051,5,52.72815,-2.7233,350," 3500B107307","Shrewsbury"
53052,5,52.72672,-2.73484,350," 3500B107300","Shrewsbury"
53053,5,52.72661,-2.73444,350," 3500B107301","Shrewsbury"
53054,5,52.72715,-2.73128,350," 3500B107302","Shrewsbury"
53055,5,52.72702,-2.73094,350," 3500B107303","Shrewsbury"
53057,5,52.7287,-2.71565,350," 3500B107308","Shrewsbury"
53058,5,52.72856,-2.71599,350," 3500B107309","Shrewsbury"
53494,5,52.68248,-2.72049,350," 3500B026800","Shrewsbury"
54332,5,52.73729,-2.74411,350," 3500B074300","Shrewsbury"
54923,5,52.65068,-2.74968,350," 3500B119701","Shrewsbury"
54924,5,52.65053,-2.74934,350," 3500B119700","Shrewsbury"
56094,5,52.71746,-2.86911,350," 3500B090500","Shrewsbury"
56827,5,52.71797,-2.72694,350," 3500B106600","Shrewsbury"
57203,5,52.73853,-2.73106,350," 3500B075900","Shrewsbury"
57204,5,52.73709,-2.73361,350," 3500B075904","Shrewsbury"
58274,5,52.72956,-2.71173,350," 3500B396201","Shrewsbury"
58275,5,52.73627,-2.72306,350," 3500B396203","Shrewsbury"
58276,5,52.73634,-2.72391,350," 3500B396202","Shrewsbury"
58780,5,52.79592,-2.758,350," 3500B041000","Shrewsbury"
58781,5,52.79583,-2.75779,350," 3500B041001","Shrewsbury"
60945,5,52.72785,-2.72563,350," 3500B107305","Shrewsbury"
61527,5,52.68576,-2.8161,350," 3500B036800","Shrewsbury"
61528,5,52.6859,-2.81597,350," 3500B036801","Shrewsbury"
61529,5,52.68303,-2.82183,350," 3500B036802","Shrewsbury"
61530,5,52.68296,-2.8215,350," 3500B036803","Shrewsbury"
61531,5,52.68182,-2.82361,350," 3500B036804","Shrewsbury"
61532,5,52.68156,-2.82402,350," 3500B036805","Shrewsbury"
61533,5,52.68149,-2.82662,350," 3500B036806","Shrewsbury"
61534,5,52.68121,-2.8276,350," 3500B036807","Shrewsbury"
61535,5,52.67947,-2.8319,350," 3500B036808","Shrewsbury"
61536,5,52.67947,-2.83156,350," 3500B036809","Shrewsbury"
62442,5,52.73014,-2.74267,350," 3500B074204","Shrewsbury"
62443,5,52.73246,-2.7424,350," 3500B074205","Shrewsbury"
62444,5,52.732,-2.74233,350," 3500B074206","Shrewsbury"
62445,5,52.73396,-2.74191,350," 3500B074207","Shrewsbury"
62446,5,52.72586,-2.73808,350," 3500B074200","Shrewsbury"
62447,5,52.7273,-2.74066,350," 3500B074201","Shrewsbury"
62448,5,52.728,-2.74113,350," 3500B074202","Shrewsbury"
62449,5,52.72926,-2.74254,350," 3500B074203","Shrewsbury"
62451,5,52.728,-2.74157,350," 3500B074208","Shrewsbury"
62452,5,52.73516,-2.7422,350," 3500B074209","Shrewsbury"
62554,5,52.68145,-2.78744,350," 3500B259602","Shrewsbury"
62555,5,52.65729,-2.7891,350," 3500B259601","Shrewsbury"
62556,5,52.65719,-2.78934,350," 3500B259600","Shrewsbury"
62737,5,52.72842,-2.71143,350," 3500B107311","Shrewsbury"
62738,5,52.72863,-2.71136,350," 3500B107310","Shrewsbury"
62920,5,52.69446,-2.67862,350," 3500B119600","Shrewsbury"
62921,5,52.6941,-2.67795,350," 3500B119601","Shrewsbury"
63920,5,52.6763,-2.75917,350," 3500B077612","Shrewsbury"
63921,5,52.67693,-2.75908,350," 3500B077613","Shrewsbury"
63922,5,52.68088,-2.75863,350," 3500B077610","Shrewsbury"
63923,5,52.68163,-2.75886,350," 3500B077611","Shrewsbury"
64327,5,52.67539,-2.6441,350," 3500B223400","Shrewsbury"
64721,5,52.74343,-2.74281,350," 3500B417301","Shrewsbury"
65785,5,52.70785,-2.65824,350," 3500B237700","Shrewsbury"
65786,5,52.70782,-2.65858,350," 3500B237701","Shrewsbury"
65909,5,52.71071,-2.72366,350," 3500B100502","Shrewsbury"
66236,5,52.71485,-2.7485,350," 3500B133800","Shrewsbury"
66237,5,52.71761,-2.74551,350," 3500B133801","Shrewsbury"
66238,5,52.71773,-2.74565,350," 3500B133802","Shrewsbury"
66239,5,52.71885,-2.74355,350," 3500B133803","Shrewsbury"
66450,5,52.66411,-2.86295,350," 3500B455901","Shrewsbury"
67127,5,52.6944,-2.72875,350," 3500B123200","Shrewsbury"
67255,5,52.70419,-2.74798,350," 3500B251100","Shrewsbury"
67256,5,52.70449,-2.74616,350," 3500B251101","Shrewsbury"
67287,5,52.68966,-2.84773,350," 3500B053201","Shrewsbury"
67288,5,52.68957,-2.84767,350," 3500B053200","Shrewsbury"
68289,5,52.68245,-2.64127,350," 3500B221701","Shrewsbury"
68290,5,52.68266,-2.64218,350," 3500B221700","Shrewsbury"
68612,5,52.70603,-2.73694,350," 3500B268104","Shrewsbury"
68613,5,52.7059,-2.73704,350," 3500B268105","Shrewsbury"
68614,5,52.70568,-2.73588,350," 3500B268106","Shrewsbury"
68615,5,52.70552,-2.73576,350," 3500B268107","Shrewsbury"
68616,5,52.70741,-2.74436,350," 3500B268100","Shrewsbury"
68618,5,52.70704,-2.74102,350," 3500B268102","Shrewsbury"
68619,5,52.70684,-2.74093,350," 3500B268103","Shrewsbury"
68747,5,52.76194,-2.85779,350," 3500B128101","Shrewsbury"
69455,5,52.76487,-2.69862,350," 3500B245600","Shrewsbury"
69843,5,52.76915,-2.8402,350," 3500B069101","Shrewsbury"
69844,5,52.76922,-2.84068,350," 3500B069100","Shrewsbury"
71042,5,52.67915,-2.83717,350," 3500B036813","Shrewsbury"
71043,5,52.67906,-2.83745,350," 3500B036812","Shrewsbury"
71044,5,52.67927,-2.83484,350," 3500B036811","Shrewsbury"
71045,5,52.67935,-2.83518,350," 3500B036810","Shrewsbury"
71356,5,52.74047,-2.74325,350," 3500B128800","Shrewsbury"
71357,5,52.73851,-2.74406,350," 3500B128802","Shrewsbury"
71358,5,52.74132,-2.74301,350," 3500B128803","Shrewsbury"
71782,5,52.71397,-2.72281,350," 3500B113200","Shrewsbury"
71964,5,52.73698,-2.74488,350," 3500B074211","Shrewsbury"
71965,5,52.73586,-2.7425,350," 3500B074210","Shrewsbury"
73021,5,52.77187,-2.75234,350," 3500B103302","Shrewsbury"
73378,5,52.69679,-2.75084,350," 3500B077601","Shrewsbury"
73380,5,52.69592,-2.7522,350," 3500B077603","Shrewsbury"
73381,5,52.69607,-2.75171,350," 3500B077602","Shrewsbury"
73382,5,52.69511,-2.75374,350," 3500B077605","Shrewsbury"
73383,5,52.6949,-2.75354,350," 3500B077604","Shrewsbury"
73384,5,52.69254,-2.75551,350," 3500B077607","Shrewsbury"
73385,5,52.69267,-2.75572,350," 3500B077606","Shrewsbury"
73386,5,52.68617,-2.75711,350," 3500B077609","Shrewsbury"
74392,5,52.70928,-2.78878,350," 3500B246702","Shrewsbury"
74393,5,52.70905,-2.78902,350," 3500B246703","Shrewsbury"
74394,5,52.71062,-2.78777,350," 3500B246700","Shrewsbury"
74395,5,52.71061,-2.78793,350," 3500B246701","Shrewsbury"
74819,5,52.71261,-2.76926,350," 3500B014408","Shrewsbury"
74825,5,52.71279,-2.76939,350," 3500B014409","Shrewsbury"
75834,5,52.63591,-2.83061,350," 3500B162501","Shrewsbury"
76145,5,52.71498,-2.73025,350," 3500B071409","Shrewsbury"
76165,5,52.70908,-2.73785,350," 3500B071402","Shrewsbury"
76169,5,52.71066,-2.73684,350," 3500B071404","Shrewsbury"
76171,5,52.71264,-2.73429,350," 3500B071407","Shrewsbury"
76190,5,52.6974,-2.72408,350," 3500B344200","Shrewsbury"
76201,5,52.67969,-2.67888,350," 3500B221600","Shrewsbury"
76202,5,52.67955,-2.6795,350," 3500B221601","Shrewsbury"
76650,5,52.72248,-2.73973,350," 3500B072101","Shrewsbury"
76651,5,52.72067,-2.74137,350," 3500B072100","Shrewsbury"
76653,5,52.72284,-2.73928,350," 3500B072102","Shrewsbury"
79379,5,52.72649,-2.7041,350," 3500B462700","Shrewsbury"
79917,5,52.70538,-2.80125,350," 3500B086908","Shrewsbury"
79918,5,52.70545,-2.80055,350," 3500B086909","Shrewsbury"
79919,5,52.7064,-2.79615,350," 3500B086906","Shrewsbury"
79920,5,52.70651,-2.7967,350," 3500B086907","Shrewsbury"
79921,5,52.7067,-2.79143,350," 3500B086904","Shrewsbury"
79922,5,52.70684,-2.79046,350," 3500B086905","Shrewsbury"
79923,5,52.70678,-2.78859,350," 3500B086902","Shrewsbury"
79924,5,52.70693,-2.78876,350," 3500B086903","Shrewsbury"
79925,5,52.70751,-2.78171,350," 3500B086900","Shrewsbury"
79926,5,52.70752,-2.78283,350," 3500B086901","Shrewsbury"
81631,5,52.69561,-2.73969,350," 3500B259900","Shrewsbury"
82544,5,52.71252,-2.7885,350," 3500B246400","Shrewsbury"
83104,5,52.7141,-2.78011,350," 3500B014404","Shrewsbury"
83105,5,52.71427,-2.77977,350," 3500B014405","Shrewsbury"
83106,5,52.71349,-2.77491,350," 3500B014406","Shrewsbury"
83108,5,52.71385,-2.78749,350," 3500B014400","Shrewsbury"
83110,5,52.71419,-2.78185,350," 3500B014403","Shrewsbury"
83256,5,52.7162,-2.74017,350," 3500B251700","Shrewsbury"
83257,5,52.71624,-2.74026,350," 3500B251701","Shrewsbury"
84060,5,52.70218,-2.77955,350," 3500B238900","Shrewsbury"
84402,5,52.72925,-2.75175,350," 3500B126508","Shrewsbury"
84461,5,52.6695,-2.71309,350," 3500B414800","Shrewsbury"
