"node","layer","lat","lon","zone","atcocode","city"
998,5,51.50807,-0.54175,37," 910GLANGLEY","Slough"
998,2,51.50807,-0.54175,37," 910GLANGLEY","Slough"
2584,5,51.52887,-0.64846,37,"    037G0185","Slough"
2608,5,51.50963,-0.57853,37,"    037G0456","Slough"
4190,5,51.53003,-0.64773,37,"    037G0197","Slough"
4326,5,51.49612,-0.54176,37,"    037G0105","Slough"
4327,5,51.49615,-0.53834,37,"    037G0107","Slough"
4328,5,51.49959,-0.53682,37,"    037G0100","Slough"
4329,5,51.49889,-0.53739,37,"    037G0101","Slough"
5044,5,51.51188,-0.5915,37,"  910GSLOUGH","Slough"
5044,2,51.51188,-0.5915,37,"  910GSLOUGH","Slough"
5044,4,51.51188,-0.5915,37,"  910GSLOUGH","Slough"
6380,5,51.53369,-0.62417,37,"    037G0228","Slough"
6382,5,51.53486,-0.62547,37,"    037G0226","Slough"
6771,5,51.5235,-0.64637,37,"   910GBNHAM","Slough"
6771,2,51.5235,-0.64637,37,"   910GBNHAM","Slough"
8281,5,51.52858,-0.60562,37,"    037G0400","Slough"
8282,5,51.52767,-0.5983,37,"    037G0404","Slough"
8283,5,51.52533,-0.59769,37,"    037G0406","Slough"
8284,5,51.52275,-0.59859,37,"    037G0408","Slough"
9678,5,51.50912,-0.58551,37,"    037G0310","Slough"
9680,5,51.50519,-0.59843,37,"    037G0316","Slough"
9681,5,51.50293,-0.59998,37,"    037G0318","Slough"
10088,5,51.49701,-0.545,37,"    037G0153","Slough"
10089,5,51.49832,-0.5472,37,"    037G0150","Slough"
10107,5,51.5237,-0.63433,37,"    037G0486","Slough"
10138,5,51.58902,-0.55527,40," 910GGERRDSX","Slough"
10138,2,51.58902,-0.55527,40," 910GGERRDSX","Slough"
11506,5,51.5282,-0.61029,37,"    037G0398","Slough"
11510,5,51.52267,-0.60945,37,"    037G0392","Slough"
11511,5,51.5225,-0.61296,37,"    037G0394","Slough"
11512,5,51.52774,-0.61525,37,"    037G0396","Slough"
12175,5,51.5322,-0.6462,37,"    037G0214","Slough"
12176,5,51.53214,-0.64125,37,"    037G0216","Slough"
12177,5,51.52774,-0.62926,37,"    037G0210","Slough"
12181,5,51.53218,-0.63732,37,"    037G0218","Slough"
12623,5,51.51944,-0.57608,37,"    037G0056","Slough"
12624,5,51.52112,-0.57869,37,"    037G0054","Slough"
12625,5,51.52244,-0.57932,37,"    037G0052","Slough"
12628,5,51.51892,-0.5717,37,"    037G0058","Slough"
13098,5,51.52986,-0.57865,37,"    037G0047","Slough"
13995,5,51.50501,-0.61023,37,"    037G0290","Slough"
13998,5,51.50643,-0.60663,37,"    037G0293","Slough"
17652,5,51.50403,-0.5481,37,"    037G0126","Slough"
17937,5,51.52933,-0.61879,37,"    037G0241","Slough"
18377,5,51.49539,-0.55133,37,"    037G0084","Slough"
18379,5,51.49386,-0.54771,37,"    037G0086","Slough"
18380,5,51.49947,-0.56078,37,"    037G0080","Slough"
18381,5,51.49764,-0.55626,37,"    037G0082","Slough"
20200,5,51.51719,-0.64992,37,"    037G0008","Slough"
21727,5,51.50607,-0.59954,37,"    037G0460","Slough"
21738,5,51.5094,-0.61674,37,"    037G0286","Slough"
21752,5,51.51444,-0.63014,37,"    037G0280","Slough"
23048,5,51.53146,-0.61759,37,"    037G0372","Slough"
23049,5,51.5267,-0.6161,37,"    037G0371","Slough"
23050,5,51.52406,-0.61539,37,"    037G0370","Slough"
23474,5,51.528,-0.65076,37,"    037G0179","Slough"
23477,5,51.52976,-0.6523,37,"    037G0177","Slough"
25524,5,51.5307,-0.62338,37,"    037G0238","Slough"
25526,5,51.53724,-0.62947,37,"    037G0232","Slough"
25527,5,51.53717,-0.62584,37,"    037G0230","Slough"
25528,5,51.53272,-0.6309,37,"    037G0236","Slough"
25971,5,51.52254,-0.57164,37,"    037G0038","Slough"
25972,5,51.51725,-0.56996,37,"    037G0034","Slough"
25973,5,51.52046,-0.56953,37,"    037G0036","Slough"
25974,5,51.51198,-0.575,37,"    037G0031","Slough"
25975,5,51.51478,-0.57189,37,"    037G0033","Slough"
27418,5,51.49756,-0.54315,37,"    037G0469","Slough"
27453,5,51.52096,-0.58975,37,"    037G0410","Slough"
28915,5,51.50635,-0.57812,37,"    037G0308","Slough"
28917,5,51.49793,-0.59021,37,"    037G0305","Slough"
29333,5,51.50284,-0.56083,37,"    037G0142","Slough"
29334,5,51.50215,-0.55715,37,"    037G0144","Slough"
