"node","layer","lat","lon","zone","atcocode","city"
279,5,51.3559,-0.07278,490,"490G00003568","South Croydon"
320,5,51.34715,-0.02346,490," 940GZZCRKGH","South Croydon"
320,3,51.34715,-0.02346,490," 940GZZCRKGH","South Croydon"
619,5,51.37643,-0.04474,490,"490G00012097","South Croydon"
818,5,51.32574,0.02226,490,"490G00005836","South Croydon"
949,5,51.35233,-0.01074,490,"490G00006257","South Croydon"
1438,5,51.36779,-0.12591,490,"490G00009010","South Croydon"
2190,5,51.3699,-0.05449,490,"490G00012103","South Croydon"
2805,5,51.34661,-0.04308,490,"490G00011032","South Croydon"
3284,5,51.34749,-0.00898,490,"490G00008685","South Croydon"
3288,5,51.36764,-0.09906,490,"490G00005574","South Croydon"
3474,5,51.3467,-0.03953,490,"490G00010229","South Croydon"
3476,5,51.36084,-0.12585,490,"490G00007755","South Croydon"
4570,2,51.3674,-0.11733,490,"  910GWADDON","South Croydon"
4570,5,51.3674,-0.11733,490,"  910GWADDON","South Croydon"
5234,5,51.35611,-0.0502,490,"490G00007993","South Croydon"
5744,5,51.3471,-0.01203,490,"490G00003187","South Croydon"
5872,5,51.33791,-0.0541,490,"490G00006143","South Croydon"
6193,5,51.35649,-0.0446,490," 940GZZCRGRA","South Croydon"
6193,3,51.35649,-0.0446,490," 940GZZCRGRA","South Croydon"
6795,5,51.35764,-0.09764,490,"490G00007670","South Croydon"
8465,5,51.36412,-0.05169,490,"490G00011005","South Croydon"
8883,5,51.3523,-0.09851,490,"490G00011481","South Croydon"
9130,5,51.33957,-0.05814,490,"490G00007928","South Croydon"
9232,5,51.35577,-0.09191,490,"490G00004802","South Croydon"
10301,5,51.36282,-0.1111,490,"490G00005835","South Croydon"
10424,5,51.32196,0.02763,490,"490G00013017","South Croydon"
11481,5,51.3618,-0.11789,490,"490G00005466","South Croydon"
11773,5,51.34096,-0.03774,490,"490G00009665","South Croydon"
12766,5,51.34233,-0.0479,490,"490G00008858","South Croydon"
13532,5,51.34236,-0.06542,490,"490G00012748","South Croydon"
14000,5,51.34763,-0.01872,490,"490G00003945","South Croydon"
14736,5,51.34181,-0.05042,490,"490G00008745","South Croydon"
14891,5,51.35818,-0.02104,490,"490G00010420","South Croydon"
15232,5,51.37155,-0.08672,490,"490G00005088","South Croydon"
15321,5,51.34703,-0.07249,490,"490G00011574","South Croydon"
15396,5,51.37421,-0.0705,490,"490G00009623","South Croydon"
16050,5,51.3594,-0.12947,490,"490G00009186","South Croydon"
16718,5,51.3612,-0.13086,490,"490G00007112","South Croydon"
17851,5,51.36792,-0.09626,490,"490G00015290","South Croydon"
17994,5,51.33364,0.0277,490,"490G00003993","South Croydon"
18043,5,51.33538,-0.00105,490,"490G00006699","South Croydon"
19103,5,51.34739,-0.03551,490,"490G00013389","South Croydon"
20033,5,51.34945,-0.04303,490,"490G00008570","South Croydon"
20570,5,51.37168,-0.04033,490,"490G00003899","South Croydon"
21112,5,51.35619,-0.1148,490,"490G00013304","South Croydon"
21113,5,51.35464,-0.02072,490,"490G00013307","South Croydon"
21116,5,51.34343,-0.04728,490,"490G00010652","South Croydon"
22467,5,51.3566,-0.12865,490,"490G00012665","South Croydon"
22515,5,51.3284,0.01666,490,"490G00010493","South Croydon"
22558,5,51.34646,-0.05627,490,"490G00008836","South Croydon"
23601,5,51.35407,-0.10599,490,"490G00011517","South Croydon"
23648,5,51.34521,-0.06566,490,"490G00011314","South Croydon"
23905,5,51.35404,-0.01359,490,"490G00009824","South Croydon"
24324,5,51.35625,-0.03025,940," 940GZZCRADV","South Croydon"
24324,3,51.35625,-0.03025,940," 940GZZCRADV","South Croydon"
25430,5,51.34814,-0.06776,490,"490G00004298","South Croydon"
25594,5,51.35109,-0.06921,490,"490G00009216","South Croydon"
27651,5,51.35587,-0.02031,490,"490G00006968","South Croydon"
29145,5,51.35144,-0.09175,490,"490G00004236","South Croydon"
30155,5,51.33646,-0.00133,490,"490G00003093","South Croydon"
30156,5,51.35388,-0.03842,490,"490G00003094","South Croydon"
30485,5,51.34259,-0.01741,490," 940GZZCRNWA","South Croydon"
30485,3,51.34259,-0.01741,490," 940GZZCRNWA","South Croydon"
33773,5,51.36884,-0.08602,490,"490G00005154","South Croydon"
33864,5,51.34857,-0.01061,490,"490G00008753","South Croydon"
34085,5,51.34271,-0.06219,490,"490G00006230","South Croydon"
34528,5,51.34415,-0.00614,490,"490G00015467","South Croydon"
34805,5,51.35237,-0.08605,490,"490G00014472","South Croydon"
35102,5,51.37447,-0.05036,490,"490G00013551","South Croydon"
35157,5,51.34052,-0.05335,490,"490G00004569","South Croydon"
35289,5,51.37516,-0.04692,490,"490G00012096","South Croydon"
35291,5,51.37288,-0.05524,490,"490G00012094","South Croydon"
35304,5,51.33542,-0.00459,490,"490G00008332","South Croydon"
35307,5,51.37383,-0.05495,490,"490G00013945","South Croydon"
35333,5,51.34149,-0.06588,490,"490G00016426","South Croydon"
35386,5,51.35053,-0.08239,490,"490G00006508","South Croydon"
35618,5,51.34133,-0.00528,490,"490G00011493","South Croydon"
35811,5,51.36191,-0.12246,490,"490G00013291","South Croydon"
35852,5,51.3487,-0.04889,490,"490G00004364","South Croydon"
36814,5,51.32884,0.02382,490,"490G00007746","South Croydon"
37226,5,51.36681,-0.05282,490,"490G00010505","South Croydon"
37806,5,51.36274,-0.10329,490,"490G00005853","South Croydon"
38236,5,51.35924,-0.08062,490,"490G00005793","South Croydon"
38738,5,51.34767,-0.09626,490,"    910GSDSD","South Croydon"
38738,2,51.34767,-0.09626,490,"    910GSDSD","South Croydon"
38904,5,51.373,-0.04473,490,"490G00003902","South Croydon"
38909,5,51.37044,-0.04347,490,"490G00003908","South Croydon"
39039,5,51.34369,-0.0623,490,"490G00011989","South Croydon"
39040,5,51.34486,-0.05997,490,"490G00011988","South Croydon"
39565,5,51.34831,-0.07801,490,"490G00003377","South Croydon"
39838,5,51.36297,-0.09345,490," 910GSCROYDN","South Croydon"
39838,2,51.36297,-0.09345,490," 910GSCROYDN","South Croydon"
39899,5,51.34386,-0.01415,490,"490G00007135","South Croydon"
39927,5,51.35164,-0.02326,490," 940GZZCRFLD","South Croydon"
39927,3,51.35164,-0.02326,490," 940GZZCRFLD","South Croydon"
40003,5,51.34248,-0.06406,490,"490G00011993","South Croydon"
40151,5,51.33977,-0.01688,490,"490G00010669","South Croydon"
40496,5,51.33922,-0.00895,490,"490G00009926","South Croydon"
40679,5,51.32944,0.0129,490,"490G00008554","South Croydon"
40858,5,51.37505,-0.06584,490,"490G00004014","South Croydon"
40885,5,51.34268,-0.03756,490,"490G00003719","South Croydon"
42113,5,51.35782,-0.07738,490,"490G00009598","South Croydon"
42971,5,51.36241,-0.10603,490,"490G00004239","South Croydon"
43739,5,51.35036,-0.01026,490,"490G00007266","South Croydon"
43952,5,51.33628,-0.05261,490,"490G00011991","South Croydon"
44139,5,51.35909,-0.11716,490,"490G00008475","South Croydon"
44941,5,51.37232,-0.0993,490,"490G00005858","South Croydon"
45161,5,51.33479,-0.00901,490,"490G00008640","South Croydon"
45433,5,51.36123,-0.05876,490," 940GZZCRCOO","South Croydon"
45433,3,51.36123,-0.05876,490," 940GZZCRCOO","South Croydon"
45869,5,51.32542,0.02352,490,"490G00011874","South Croydon"
46117,5,51.35598,-0.01568,490,"490G00004844","South Croydon"
46210,5,51.34794,-0.04814,490,"490G00009977","South Croydon"
46491,5,51.33145,0.0087,490,"490G00008136","South Croydon"
48233,5,51.35397,-0.08855,490,"490G00008443","South Croydon"
48476,5,51.36034,-0.13008,490,"490G00011061","South Croydon"
48479,5,51.34611,-0.04464,490,"490G00009197","South Croydon"
48648,5,51.35332,-0.07001,490,"490G00006740","South Croydon"
49312,5,51.33874,-0.00505,490,"490G00004680","South Croydon"
49986,5,51.35499,-0.09775,490,"490G00012272","South Croydon"
50331,5,51.37077,-0.1003,490,"490G00005855","South Croydon"
50719,5,51.35034,-0.03673,490,"490G00015004","South Croydon"
51046,5,51.31421,0.02643,490,"490G00008816","South Croydon"
51060,5,51.34483,-0.06872,490,"490G00003397","South Croydon"
52938,5,51.36372,-0.11929,490,"  490012464W","South Croydon"
61095,5,51.33958,-0.03764,490,"  490016602S","South Croydon"
62557,5,51.35568,-0.10565,490,"  490012625N","South Croydon"
64664,5,51.35023,-0.04577,490," 490008001N2","South Croydon"
64665,5,51.35021,-0.04624,490," 490008001N1","South Croydon"
66836,5,51.3474,-0.05001,490,"  490015381W","South Croydon"
66913,5,51.36311,-0.09732,490,"  490001258F","South Croydon"
78667,5,51.34506,-0.01321,490,"  490004173N","South Croydon"
78785,5,51.35118,-0.0393,490,"  490006771W","South Croydon"
92010,5,51.356,-0.09223,490,"  490004802N","South Croydon"
92603,5,51.35644,-0.10507,490,"  490012576S","South Croydon"
96121,5,51.35897,-0.10624,490,"  490007669S","South Croydon"
99631,5,51.34959,-0.05388,490,"  490006418S","South Croydon"
106204,5,51.36653,-0.09917,490,"  490005574T","South Croydon"
108374,5,51.35891,-0.01857,490,"  490013449N","South Croydon"
110298,5,51.34748,-0.05206,490,"  490003426W","South Croydon"
111975,5,51.36058,-0.08454,490,"  490004728E","South Croydon"
111978,5,51.36076,-0.08602,490,"  490004728W","South Croydon"
112081,5,51.35218,-0.05586,490,"  490012685S","South Croydon"
116289,5,51.35241,-0.05299,490,"  490018696W","South Croydon"
117062,5,51.33194,0.00384,490,"  490012052W","South Croydon"
117703,5,51.36774,-0.10613,490,"  490006267W","South Croydon"
117707,5,51.36831,-0.10557,490,"  490006267E","South Croydon"
117912,5,51.35387,-0.09748,490,"  490015442S","South Croydon"
120293,5,51.3582,-0.10649,490,"  490007669N","South Croydon"
126224,5,51.35262,-0.01692,490,"  490007013W","South Croydon"
127835,5,51.36626,-0.08925,490,"  490015291N","South Croydon"
127965,5,51.35628,-0.11664,490,"  490003130N","South Croydon"
130992,5,51.33895,-0.0531,490,"  490011496N","South Croydon"
131145,5,51.37497,-0.04556,490,"  490015436S","South Croydon"
132069,5,51.33913,-0.01573,490,"  490008331S","South Croydon"
143507,5,51.3399,-0.01204,490,"  490012660E","South Croydon"
152819,5,51.36641,-0.02671,490,"  490012136E","South Croydon"
153657,5,51.33806,-0.01431,490,"  490005404S","South Croydon"
172770,5,51.34257,-0.06396,490,"  490011992E","South Croydon"
175169,5,51.35056,-0.05511,490,"  490018697S","South Croydon"
178455,5,51.36636,-0.02974,490,"  490006859E","South Croydon"
179993,5,51.34557,-0.03712,490,"  490005783W","South Croydon"
187052,5,51.35025,-0.05095,490,"  490007006N","South Croydon"
187058,5,51.34842,-0.0514,490,"  490018541S","South Croydon"
190921,5,51.33679,-0.01286,490,"  490013641N","South Croydon"
197565,5,51.33771,-0.05543,490,"  490011910N","South Croydon"
203235,5,51.34467,-0.03673,490,"  490005677S","South Croydon"
203927,5,51.34952,-0.04399,490,"  490008570N","South Croydon"
208512,5,51.36777,-0.03068,490,"  490008995S","South Croydon"
209280,5,51.3437,-0.06305,490,"  490003098S","South Croydon"
209973,5,51.35537,-0.01469,490,"  490010473N","South Croydon"
214230,5,51.37307,-0.08207,490,"  490018473S","South Croydon"
217953,5,51.34017,-0.01409,490,"  490004928N","South Croydon"
221025,5,51.36161,-0.10629,490,"  490004239N","South Croydon"
224472,5,51.35302,-0.01609,490,"  490010184E","South Croydon"
224954,5,51.33215,0.00391,490,"  490012189E","South Croydon"
232366,5,51.37291,-0.08205,490,"  490018473N","South Croydon"
243358,5,51.3658,-0.09874,490,"  490013269S","South Croydon"
246510,5,51.34842,-0.01523,490,"  490013672E","South Croydon"
252718,5,51.34627,-0.01911,490,"  490014804S","South Croydon"
256224,3,51.36419,-0.08222,940,"9400ZZCRLOY1","South Croydon"
256726,5,51.34603,-0.03654,490,"  490003594N","South Croydon"
257135,5,51.36478,-0.11662,490,"490006869EB1","South Croydon"
