"node","layer","lat","lon","zone","atcocode","city"
1163,5,54.97617,-1.44168,940," 940GZZTWTYD","South Shields"
1163,3,54.97617,-1.44168,940," 940GZZTWTYD","South Shields"
3886,5,55.00386,-1.4445,930,"     930GNSH","South Shields"
3886,1,55.00386,-1.4445,930,"     930GNSH","South Shields"
9011,5,54.98641,-1.43185,940," 940GZZTWCHT","South Shields"
9011,3,54.98641,-1.43185,940," 940GZZTWCHT","South Shields"
12626,5,54.9719,-1.45625,940," 940GZZTWSIM","South Shields"
12626,3,54.9719,-1.45625,940," 940GZZTWSIM","South Shields"
20998,5,54.95954,-1.46135,910," 910GBRWHINS","South Shields"
20998,2,54.95954,-1.46135,910," 910GBRWHINS","South Shields"
20998,3,54.95954,-1.46135,910," 910GBRWHINS","South Shields"
29288,5,54.97443,-1.46514,940," 940GZZTWBDE","South Shields"
29288,3,54.97443,-1.46514,940," 940GZZTWBDE","South Shields"
41082,4,54.99833,-1.43301,940," 940GZZTWSSH","South Shields"
41082,5,54.99833,-1.43301,940," 940GZZTWSSH","South Shields"
41082,3,54.99833,-1.43301,940," 940GZZTWSSH","South Shields"
50588,5,54.99764,-1.44005,930,"     930GSSH","South Shields"
50588,1,54.99764,-1.44005,930,"     930GSSH","South Shields"
52120,5,55.00221,-1.43671,410,"410000042201","South Shields"
52365,5,54.96681,-1.45138,410,"410000017187","South Shields"
52366,5,54.96415,-1.42209,410,"410000017180","South Shields"
52367,5,54.96679,-1.45123,410,"410000017181","South Shields"
52368,5,54.96851,-1.44533,410,"410000017182","South Shields"
56850,5,54.96816,-1.44616,410,"410000017185","South Shields"
56859,5,54.96948,-1.4421,410,"410000017183","South Shields"
59036,5,54.96354,-1.40751,410,"410000017020","South Shields"
59089,5,54.96952,-1.44141,410,"410000017184","South Shields"
60408,5,54.96974,-1.41577,410,"410000017089","South Shields"
60409,5,54.97137,-1.41628,410,"410000017088","South Shields"
60411,5,54.97218,-1.37728,410,"410000017085","South Shields"
60413,5,54.97362,-1.41697,410,"410000017087","South Shields"
60414,5,54.97442,-1.39399,410,"410000017081","South Shields"
60416,5,54.978,-1.38395,410,"410000017083","South Shields"
60417,5,54.97573,-1.38921,410,"410000017082","South Shields"
60809,5,54.97391,-1.42089,410,"410000017976","South Shields"
61553,5,54.9674,-1.46903,410,"410000016057","South Shields"
61554,5,54.96484,-1.47585,410,"410000016056","South Shields"
61555,5,54.97039,-1.46246,410,"410000016058","South Shields"
61668,5,55.00013,-1.41633,410,"410000042077","South Shields"
61677,5,54.99099,-1.40853,410,"410000042074","South Shields"
62082,5,54.96299,-1.43015,410,"410000017179","South Shields"
62083,5,54.96095,-1.43814,410,"410000017178","South Shields"
62088,5,54.96459,-1.44585,410,"410000017173","South Shields"
62316,5,54.96625,-1.41508,410,"410000017094","South Shields"
64685,5,54.9617,-1.46751,410,"410000016232","South Shields"
65442,5,54.97861,-1.41332,410,"410000042135","South Shields"
65489,5,54.999,-1.42953,410,"410000042155","South Shields"
65491,5,54.99791,-1.42149,410,"410000042157","South Shields"
66448,5,54.95449,-1.40158,410,"410000017925","South Shields"
67010,5,54.99629,-1.41031,410,"410000042076","South Shields"
67012,5,54.99384,-1.41128,410,"410000042075","South Shields"
67013,5,54.98177,-1.38708,410,"410000042072","South Shields"
67014,5,54.98821,-1.40288,410,"410000042073","South Shields"
67017,5,54.97986,-1.38355,410,"410000042071","South Shields"
69950,5,54.96408,-1.41398,410,"410000017092","South Shields"
69951,5,54.9646,-1.41463,410,"410000017093","South Shields"
69952,5,54.96764,-1.41509,410,"410000017090","South Shields"
69953,5,54.96993,-1.41622,410,"410000017096","South Shields"
69954,5,54.96799,-1.41563,410,"410000017095","South Shields"
69955,5,54.97356,-1.41736,410,"410000017098","South Shields"
69956,5,54.97639,-1.41822,410,"410000017099","South Shields"
71619,5,54.95958,-1.42767,410,"410000017168","South Shields"
71620,5,54.9588,-1.42975,410,"410000017169","South Shields"
71621,5,54.96408,-1.4229,410,"410000017166","South Shields"
71622,5,54.9633,-1.42868,410,"410000017167","South Shields"
71623,5,54.94992,-1.45494,410,"410000017164","South Shields"
71624,5,54.96272,-1.41677,410,"410000017165","South Shields"
71625,5,54.95114,-1.44167,410,"410000017162","South Shields"
71627,5,54.95127,-1.44096,410,"410000017160","South Shields"
71628,5,54.95136,-1.43695,410,"410000017161","South Shields"
74118,5,54.9636,-1.46119,410,"410000016228","South Shields"
74416,5,55.00283,-1.4518,410,"410000041979","South Shields"
75074,5,54.97851,-1.38623,410,"410000042089","South Shields"
75075,5,55.00566,-1.42954,410,"410000042085","South Shields"
78945,5,54.95879,-1.36983,410,"410000018045","South Shields"
80264,5,54.96611,-1.44457,410,"410000017149","South Shields"
80471,5,54.97092,-1.46031,410,"410000016902","South Shields"
81340,5,54.9669,-1.43995,410,"410000017150","South Shields"
81345,5,54.95074,-1.44664,410,"410000017159","South Shields"
81346,5,54.95007,-1.45403,410,"410000017158","South Shields"
83889,5,54.96552,-1.45896,410,"410000016212","South Shields"
83890,5,54.96717,-1.46494,410,"410000016211","South Shields"
83894,5,54.96354,-1.46652,410,"410000016215","South Shields"
83895,5,54.96585,-1.46811,410,"410000016214","South Shields"
83897,5,54.96503,-1.46012,410,"410000016218","South Shields"
84894,5,54.9837,-1.40387,410,"410000042094","South Shields"
84895,5,54.98548,-1.41022,410,"410000042095","South Shields"
84896,5,54.98818,-1.41274,410,"410000042096","South Shields"
84897,5,54.98911,-1.41663,410,"410000042097","South Shields"
84898,5,54.97897,-1.38958,410,"410000042090","South Shields"
84899,5,54.97946,-1.39329,410,"410000042091","South Shields"
84900,5,54.98037,-1.39837,410,"410000042092","South Shields"
85660,5,54.97522,-1.38848,410,"410000017904","South Shields"
85661,5,54.97185,-1.4196,410,"410000017905","South Shields"
85662,5,54.97121,-1.42017,410,"410000017906","South Shields"
85663,5,54.97044,-1.42379,410,"410000017907","South Shields"
85664,5,54.97032,-1.39797,410,"410000017900","South Shields"
85665,5,54.97567,-1.38396,410,"410000017901","South Shields"
85666,5,54.97588,-1.38519,410,"410000017903","South Shields"
85671,5,54.9726,-1.42654,410,"410000017909","South Shields"
85937,5,55.00167,-1.45397,410,"410000041022","South Shields"
85938,5,55.00435,-1.45056,410,"410000041023","South Shields"
86406,5,54.96535,-1.45739,410,"410000016909","South Shields"
90369,5,54.9697,-1.46304,410,"410000016060","South Shields"
90370,5,54.96722,-1.46878,410,"410000016061","South Shields"
90371,5,54.96478,-1.47534,410,"410000016062","South Shields"
90936,5,54.95985,-1.4382,410,"410000017140","South Shields"
90937,5,54.95562,-1.43694,410,"410000017141","South Shields"
90938,5,54.94674,-1.4392,410,"410000017142","South Shields"
90939,5,54.94764,-1.43987,410,"410000017143","South Shields"
90940,5,54.95206,-1.43589,410,"410000017144","South Shields"
90941,5,54.95635,-1.43728,410,"410000017145","South Shields"
90942,5,54.96071,-1.44021,410,"410000017146","South Shields"
90943,5,54.96325,-1.44361,410,"410000017147","South Shields"
90944,5,54.96539,-1.44665,410,"410000017148","South Shields"
92552,5,54.98058,-1.44026,410,"410000042982","South Shields"
92621,5,54.96092,-1.44289,410,"410000017177","South Shields"
93527,5,54.96815,-1.45329,410,"410000017188","South Shields"
93591,5,54.97654,-1.42399,410,"410000017073","South Shields"
93913,5,55.00178,-1.45181,410,"410000041955","South Shields"
93914,5,55.00164,-1.4518,410,"410000041956","South Shields"
93916,5,54.99976,-1.45353,410,"410000041951","South Shields"
93917,5,54.99877,-1.45101,410,"410000041952","South Shields"
93918,5,54.9986,-1.45118,410,"410000041953","South Shields"
95107,5,54.96248,-1.46019,410,"410000016227","South Shields"
95109,5,54.96328,-1.46069,410,"410000016224","South Shields"
95142,5,54.96304,-1.46559,410,"410000016221","South Shields"
97312,5,54.96421,-1.45487,410,"410000017218","South Shields"
98327,5,54.99965,-1.45364,410,"410000041950","South Shields"
98464,5,54.95272,-1.46766,410,"410000016125","South Shields"
98465,5,54.9532,-1.4707,410,"410000016124","South Shields"
98466,5,54.9509,-1.46336,410,"410000016127","South Shields"
98467,5,54.95344,-1.4637,410,"410000016126","South Shields"
98468,5,54.94468,-1.45698,410,"410000016129","South Shields"
98469,5,54.94734,-1.46025,410,"410000016128","South Shields"
98995,5,54.96434,-1.4346,410,"410000017049","South Shields"
98996,5,54.96642,-1.43653,410,"410000017048","South Shields"
98998,5,54.94541,-1.44523,410,"410000017041","South Shields"
99001,5,54.94422,-1.45036,410,"410000017042","South Shields"
99002,5,54.97772,-1.44506,410,"410000017044","South Shields"
99003,5,54.97122,-1.43953,410,"410000017047","South Shields"
100288,5,54.98773,-1.4225,410,"410000042104","South Shields"
100289,5,54.98844,-1.42014,410,"410000042105","South Shields"
100293,5,54.98918,-1.42504,410,"410000042103","South Shields"
100301,5,54.98999,-1.42759,410,"410000042101","South Shields"
100633,5,54.97272,-1.40594,410,"410000017135","South Shields"
100634,5,54.97546,-1.40327,410,"410000017134","South Shields"
100635,5,54.97803,-1.40105,410,"410000017137","South Shields"
100636,5,54.97581,-1.40308,410,"410000017136","South Shields"
100638,5,54.95226,-1.42074,410,"410000017130","South Shields"
100639,5,54.97757,-1.40133,410,"410000017133","South Shields"
100641,5,54.96428,-1.44437,410,"410000017139","South Shields"
100642,5,54.96668,-1.43984,410,"410000017138","South Shields"
100927,5,54.98049,-1.47392,410,"410000010523","South Shields"
100928,5,54.98045,-1.47367,410,"410000010522","South Shields"
100929,5,54.98221,-1.47771,410,"410000010521","South Shields"
100930,5,54.98241,-1.47816,410,"410000010520","South Shields"
102236,5,54.99277,-1.45225,410,"410000061238","South Shields"
103454,5,54.97312,-1.43111,410,"410000017109","South Shields"
104928,5,54.97567,-1.3811,410,"410000017084","South Shields"
104930,5,54.97647,-1.41786,410,"410000017086","South Shields"
104939,5,54.97394,-1.39617,410,"410000017080","South Shields"
105707,5,54.99713,-1.47109,410,"410000010930","South Shields"
105708,5,54.99534,-1.46142,410,"410000010931","South Shields"
105709,5,54.99497,-1.45728,410,"410000010932","South Shields"
108744,5,54.97106,-1.43975,410,"410000017058","South Shields"
108745,5,54.96371,-1.43423,410,"410000017056","South Shields"
108747,5,54.95897,-1.43111,410,"410000017054","South Shields"
108748,5,54.96093,-1.43196,410,"410000017055","South Shields"
110051,5,54.99702,-1.42965,410,"410000042212","South Shields"
110052,5,54.99407,-1.43191,410,"410000042213","South Shields"
110315,5,54.95312,-1.4108,410,"410000017128","South Shields"
110316,5,54.95232,-1.41587,410,"410000017129","South Shields"
110317,5,54.95339,-1.40956,410,"410000017122","South Shields"
110318,5,54.9548,-1.40003,410,"410000017123","South Shields"
110319,5,54.95226,-1.4186,410,"410000017120","South Shields"
110320,5,54.95245,-1.41537,410,"410000017121","South Shields"
110322,5,54.9542,-1.40287,410,"410000017127","South Shields"
110894,5,54.96198,-1.3663,410,"410000018023","South Shields"
111394,5,54.96532,-1.455,410,"410000016311","South Shields"
112425,5,54.96823,-1.4088,410,"410000017021","South Shields"
113082,5,54.94949,-1.45963,410,"410000016265","South Shields"
114314,5,54.99603,-1.43696,410,"410000042CS1","South Shields"
115040,5,54.96174,-1.43454,410,"410000017172","South Shields"
115044,5,54.9617,-1.45019,410,"410000017175","South Shields"
115053,5,54.96126,-1.44676,410,"410000017176","South Shields"
115598,5,54.99516,-1.47505,410,"410000010075","South Shields"
115599,5,54.99627,-1.46968,410,"410000010074","South Shields"
115601,5,54.99281,-1.48207,410,"410000010076","South Shields"
115602,5,55.00022,-1.45842,410,"410000010071","South Shields"
115603,5,54.99827,-1.46401,410,"410000010070","South Shields"
115604,5,54.99821,-1.46384,410,"410000010073","South Shields"
115605,5,55.00013,-1.45837,410,"410000010072","South Shields"
116681,5,54.97665,-1.38244,410,"410000017918","South Shields"
118097,5,54.95332,-1.47096,410,"410000016109","South Shields"
118098,5,54.95243,-1.4686,410,"410000016108","South Shields"
118103,5,54.95345,-1.46534,410,"410000016107","South Shields"
118104,5,54.95063,-1.46349,410,"410000016106","South Shields"
118105,5,54.94885,-1.46231,410,"410000016105","South Shields"
118106,5,54.94663,-1.45981,410,"410000016104","South Shields"
118666,5,54.97572,-1.38136,410,"410000017063","South Shields"
118667,5,54.97245,-1.37766,410,"410000017062","South Shields"
118668,5,54.97423,-1.39445,410,"410000017067","South Shields"
118669,5,54.97771,-1.38524,410,"410000017065","South Shields"
118670,5,54.97773,-1.38374,410,"410000017064","South Shields"
118671,5,54.97285,-1.40195,410,"410000017069","South Shields"
120272,5,54.97643,-1.42213,410,"410000017116","South Shields"
120275,5,54.97215,-1.43489,410,"410000017113","South Shields"
120276,5,54.97114,-1.43855,410,"410000017112","South Shields"
120277,5,54.97117,-1.43816,410,"410000017111","South Shields"
120278,5,54.97197,-1.43527,410,"410000017110","South Shields"
122774,5,54.97632,-1.45852,410,"410000016250","South Shields"
123110,5,55.00749,-1.44074,410,"410000041983","South Shields"
123113,5,55.0073,-1.441,410,"410000041984","South Shields"
123595,5,54.98089,-1.40166,410,"410000042141","South Shields"
123603,5,54.99111,-1.41934,410,"410000042145","South Shields"
125256,5,54.99289,-1.48226,410,"410000010066","South Shields"
125259,5,54.99558,-1.47314,410,"410000010068","South Shields"
125325,5,54.98953,-1.43576,410,"410000042049","South Shields"
125337,5,54.98297,-1.43044,410,"410000042041","South Shields"
125342,5,54.98428,-1.44074,410,"410000042045","South Shields"
125343,5,54.98133,-1.44312,410,"410000042044","South Shields"
128323,5,54.97196,-1.4072,410,"410000017070","South Shields"
128324,5,54.97166,-1.41179,410,"410000017071","South Shields"
128325,5,54.97203,-1.41823,410,"410000017072","South Shields"
128326,5,54.97748,-1.42643,410,"410000017074","South Shields"
128327,5,54.97768,-1.42685,410,"410000017075","South Shields"
128328,5,54.97581,-1.42267,410,"410000017076","South Shields"
128329,5,54.9718,-1.4121,410,"410000017077","South Shields"
128330,5,54.97253,-1.40474,410,"410000017078","South Shields"
128331,5,54.97311,-1.40099,410,"410000017079","South Shields"
129436,5,54.97699,-1.45943,410,"410000016024","South Shields"
129437,5,54.97784,-1.46455,410,"410000016025","South Shields"
129438,5,54.97693,-1.47049,410,"410000016026","South Shields"
129439,5,54.97714,-1.47023,410,"410000016021","South Shields"
129440,5,54.97779,-1.4657,410,"410000016022","South Shields"
129441,5,54.97701,-1.45918,410,"410000016023","South Shields"
130021,5,54.97493,-1.42699,410,"410000017108","South Shields"
130024,5,54.97696,-1.43597,410,"410000017105","South Shields"
130025,5,54.97823,-1.4337,410,"410000017106","South Shields"
130026,5,54.97577,-1.42425,410,"410000017107","South Shields"
130027,5,54.97804,-1.43375,410,"410000017100","South Shields"
130028,5,54.97691,-1.43573,410,"410000017101","South Shields"
132075,5,54.99498,-1.45699,410,"410000010933","South Shields"
132088,5,54.99692,-1.45627,410,"410000010935","South Shields"
132630,5,54.97651,-1.46366,410,"410000016249","South Shields"
134691,5,54.96318,-1.45006,410,"410000017174","South Shields"
137158,5,54.97974,-1.43155,410,"410000042043","South Shields"
137162,5,54.98148,-1.43076,410,"410000042042","South Shields"
137190,5,54.98671,-1.43947,410,"410000042047","South Shields"
137193,5,54.98581,-1.44003,410,"410000042046","South Shields"
138290,5,54.96539,-1.40767,410,"410000017004","South Shields"
138291,5,54.95443,-1.39985,410,"410000017007","South Shields"
138292,5,54.9569,-1.40231,410,"410000017006","South Shields"
138293,5,54.97569,-1.41217,410,"410000017001","South Shields"
138294,5,54.96873,-1.40878,410,"410000017003","South Shields"
138295,5,54.97217,-1.41054,410,"410000017002","South Shields"
140339,5,54.9682,-1.37304,410,"410000018975","South Shields"
146432,5,54.99335,-1.42903,410,"410000042S17","South Shields"
146440,5,54.99537,-1.43019,410,"410000042S16","South Shields"
147616,5,54.9713,-1.47094,410,"410000016176","South Shields"
147617,5,54.97216,-1.47221,410,"410000016177","South Shields"
147618,5,54.96953,-1.46903,410,"410000016174","South Shields"
147619,5,54.97152,-1.46872,410,"410000016175","South Shields"
147620,5,54.97221,-1.47012,410,"410000016178","South Shields"
147621,5,54.97121,-1.46821,410,"410000016179","South Shields"
148240,5,54.95738,-1.40277,410,"410000017018","South Shields"
148241,5,54.95969,-1.40466,410,"410000017019","South Shields"
148251,5,54.95455,-1.40058,410,"410000017017","South Shields"
149373,5,54.99074,-1.42821,410,"410000042005","South Shields"
149591,5,54.99999,-1.42673,410,"410000042061","South Shields"
149592,5,55.00114,-1.42115,410,"410000042063","South Shields"
149593,5,55.00087,-1.42265,410,"410000042062","South Shields"
149594,5,54.99509,-1.4105,410,"410000042065","South Shields"
149595,5,55.00018,-1.41611,410,"410000042064","South Shields"
149596,5,54.99052,-1.40766,410,"410000042067","South Shields"
149597,5,54.9938,-1.411,410,"410000042066","South Shields"
149598,5,54.98185,-1.387,410,"410000042069","South Shields"
150869,5,54.95712,-1.4644,410,"410000016353","South Shields"
150871,5,54.95558,-1.46946,410,"410000016351","South Shields"
152486,5,54.95913,-1.40365,410,"410000017005","South Shields"
152743,5,54.94861,-1.46457,410,"410000016930","South Shields"
153861,5,54.98087,-1.4238,410,"410000042114","South Shields"
154446,5,54.96887,-1.43892,410,"410000017995","South Shields"
154447,5,54.97172,-1.42895,410,"410000017993","South Shields"
154448,5,54.97176,-1.42885,410,"410000017992","South Shields"
154449,5,54.95643,-1.43033,410,"410000017991","South Shields"
154450,5,54.95838,-1.43078,410,"410000017990","South Shields"
154687,5,54.97668,-1.37833,410,"410000017206","South Shields"
154688,5,54.97618,-1.37701,410,"410000017205","South Shields"
154689,5,54.96906,-1.40807,410,"410000017204","South Shields"
154690,5,54.96966,-1.40464,410,"410000017203","South Shields"
154691,5,54.97052,-1.39972,410,"410000017202","South Shields"
154692,5,54.96979,-1.39787,410,"410000017201","South Shields"
154693,5,54.96854,-1.39741,410,"410000017200","South Shields"
158111,5,54.94559,-1.44374,410,"410000017027","South Shields"
158112,5,54.94501,-1.44873,410,"410000017026","South Shields"
158115,5,54.97568,-1.4123,410,"410000017023","South Shields"
158116,5,54.97212,-1.41073,410,"410000017022","South Shields"
159205,5,54.9808,-1.40263,410,"410000042132","South Shields"
159390,5,55.00098,-1.42156,410,"410000042078","South Shields"
164104,5,54.96616,-1.41467,410,"410000017091","South Shields"
164106,5,54.97259,-1.41705,410,"410000017097","South Shields"
164265,5,54.9635,-1.42809,410,"410000017988","South Shields"
164266,5,54.96023,-1.43142,410,"410000017989","South Shields"
164267,5,54.96186,-1.42871,410,"410000017984","South Shields"
164268,5,54.96213,-1.45106,410,"410000017985","South Shields"
164269,5,54.9613,-1.44787,410,"410000017986","South Shields"
164270,5,54.9609,-1.44416,410,"410000017987","South Shields"
164271,5,54.96902,-1.45315,410,"410000017980","South Shields"
164272,5,54.96824,-1.45336,410,"410000017982","South Shields"
164273,5,54.96465,-1.44595,410,"410000017983","South Shields"
164539,5,54.96288,-1.44316,410,"410000017216","South Shields"
164543,5,54.97194,-1.41543,410,"410000017212","South Shields"
164544,5,54.96275,-1.41505,410,"410000017213","South Shields"
164545,5,54.96446,-1.45368,410,"410000017219","South Shields"
165085,5,54.95024,-1.44808,410,"410000000052","South Shields"
165086,5,54.97545,-1.40682,410,"410000000053","South Shields"
167265,5,54.96198,-1.47266,410,"410000016156","South Shields"
167553,5,54.98072,-1.41668,410,"410000042137","South Shields"
168953,5,54.97341,-1.43056,410,"410000017114","South Shields"
169246,5,54.98786,-1.43714,410,"410000042048","South Shields"
169251,5,54.98388,-1.43043,410,"410000042040","South Shields"
171361,5,54.96338,-1.46389,410,"410000016216","South Shields"
172369,5,54.97823,-1.46181,410,"410000016910","South Shields"
172371,5,54.97608,-1.46029,410,"410000016913","South Shields"
174089,5,54.95058,-1.44751,410,"410000017163","South Shields"
174835,5,54.94706,-1.44851,410,"410000000064","South Shields"
174836,5,54.97565,-1.42789,410,"410000000062","South Shields"
175407,5,54.9893,-1.41465,410,"410000042928","South Shields"
175411,5,54.99777,-1.4124,410,"410000042925","South Shields"
175412,5,54.98095,-1.39903,410,"410000042926","South Shields"
175413,5,54.98104,-1.3982,410,"410000042927","South Shields"
179050,5,54.98109,-1.4432,410,"410000042059","South Shields"
179052,5,54.99174,-1.43534,410,"410000042050","South Shields"
179053,5,54.99221,-1.43492,410,"410000042053","South Shields"
179054,5,54.98923,-1.43551,410,"410000042054","South Shields"
184470,5,54.98301,-1.44133,410,"410000042058","South Shields"
184484,5,54.98656,-1.43908,410,"410000042057","South Shields"
185209,5,54.983,-1.44152,410,"410000042959","South Shields"
185210,5,54.98536,-1.44011,410,"410000042958","South Shields"
185211,5,54.98954,-1.43734,410,"410000042955","South Shields"
185212,5,54.98655,-1.42514,410,"410000042957","South Shields"
185213,5,54.99186,-1.43501,410,"410000042951","South Shields"
185214,5,54.9998,-1.42712,410,"410000042950","South Shields"
185215,5,54.98285,-1.43927,410,"410000042953","South Shields"
185216,5,54.99037,-1.44129,410,"410000042952","South Shields"
187768,5,54.96664,-1.43703,410,"410000017057","South Shields"
188787,5,54.99318,-1.43965,410,"410000042028","South Shields"
188791,5,54.98873,-1.44568,410,"410000042026","South Shields"
188794,5,54.98016,-1.44476,410,"410000042023","South Shields"
188795,5,54.97878,-1.44456,410,"410000042022","South Shields"
190272,5,54.97897,-1.38888,410,"410000042111","South Shields"
190275,5,54.97863,-1.38613,410,"410000042112","South Shields"
190278,5,54.98375,-1.42782,410,"410000042116","South Shields"
190425,5,54.96587,-1.46853,410,"410000016223","South Shields"
191210,5,54.99638,-1.46486,410,"410000010927","South Shields"
191217,5,54.99547,-1.46126,410,"410000010928","South Shields"
191529,5,54.99626,-1.42816,410,"410000042153","South Shields"
191945,5,55.00143,-1.42471,410,"410000042207","South Shields"
191947,5,55.00238,-1.43636,410,"410000042200","South Shields"
191948,5,55.00402,-1.43796,410,"410000042203","South Shields"
191949,5,55.00371,-1.43647,410,"410000042202","South Shields"
191953,5,55.00401,-1.42782,410,"410000042209","South Shields"
191954,5,55.00363,-1.42751,410,"410000042208","South Shields"
194738,5,54.96679,-1.36577,410,"410000018003","South Shields"
195708,5,55.00039,-1.43928,410,"410000061232","South Shields"
196529,5,54.96761,-1.45553,410,"410000016183","South Shields"
196530,5,54.96734,-1.45722,410,"410000016182","South Shields"
196531,5,54.96888,-1.46107,410,"410000016181","South Shields"
196532,5,54.96923,-1.46867,410,"410000016180","South Shields"
196533,5,54.96885,-1.46124,410,"410000016186","South Shields"
198473,5,54.99269,-1.43992,410,"410000042032","South Shields"
198474,5,54.99019,-1.44208,410,"410000042033","South Shields"
198475,5,54.98232,-1.44591,410,"410000042036","South Shields"
198476,5,54.98038,-1.44478,410,"410000042037","South Shields"
198477,5,54.98796,-1.44575,410,"410000042034","South Shields"
198478,5,54.98589,-1.44623,410,"410000042035","South Shields"
198479,5,54.97999,-1.43158,410,"410000042038","South Shields"
198480,5,54.982,-1.43082,410,"410000042039","South Shields"
200022,5,54.98516,-1.40847,410,"410000042108","South Shields"
200023,5,54.98363,-1.40338,410,"410000042109","South Shields"
200024,5,54.98905,-1.41832,410,"410000042106","South Shields"
200025,5,54.98705,-1.4118,410,"410000042107","South Shields"
200028,5,54.99038,-1.4266,410,"410000042102","South Shields"
200030,5,54.98722,-1.4248,410,"410000042100","South Shields"
200972,5,54.99685,-1.45618,410,"410000010934","South Shields"
201299,5,54.97195,-1.42607,410,"410000017910","South Shields"
201305,5,54.97185,-1.41548,410,"410000017919","South Shields"
202192,5,54.99673,-1.47008,410,"410000010194","South Shields"
202193,5,54.99708,-1.47414,410,"410000010195","South Shields"
