"node","layer","lat","lon","zone","atcocode","city"
557,5,51.56312,0.67126,158,"158G00000028","Southend-on-Sea"
558,5,51.55977,0.68671,158,"158G00000027","Southend-on-Sea"
559,5,51.55691,0.70083,158,"158G00000026","Southend-on-Sea"
560,5,51.56573,0.69541,158,"158G00000025","Southend-on-Sea"
561,5,51.57172,0.66485,158,"158G00000024","Southend-on-Sea"
562,5,51.56747,0.67614,158,"158G00000023","Southend-on-Sea"
693,5,51.61502,0.71734,150,"150G00000295","Southend-on-Sea"
694,5,51.61528,0.74395,150,"150G00000296","Southend-on-Sea"
695,5,51.61722,0.7503,150,"150G00000297","Southend-on-Sea"
696,5,51.59452,0.68351,150,"150G00000290","Southend-on-Sea"
697,5,51.59581,0.68766,150,"150G00000291","Southend-on-Sea"
698,5,51.59565,0.69296,150,"150G00000292","Southend-on-Sea"
699,5,51.61359,0.70668,150,"150G00000293","Southend-on-Sea"
702,5,51.6166,0.75435,150,"150G00000298","Southend-on-Sea"
703,5,51.61295,0.76259,150,"150G00000299","Southend-on-Sea"
1563,5,51.601,0.69494,150,"150G00000232","Southend-on-Sea"
1578,5,51.60336,0.69369,150,"150G00000233","Southend-on-Sea"
1588,5,51.54333,0.7224,158,"158G00000276","Southend-on-Sea"
1589,5,51.53337,0.70484,158,"158G00000277","Southend-on-Sea"
1590,5,51.55401,0.72112,158,"158G00000273","Southend-on-Sea"
3579,5,51.55732,0.79001,150,"150G00000316","Southend-on-Sea"
3580,5,51.56495,0.7842,150,"150G00000319","Southend-on-Sea"
3581,5,51.56322,0.78559,150,"150G00000318","Southend-on-Sea"
4191,2,51.53872,0.67061,158," 910GCHLKWEL","Southend-on-Sea"
4191,5,51.53872,0.67061,158," 910GCHLKWEL","Southend-on-Sea"
4778,5,51.56439,0.7627,150,"150G00000324","Southend-on-Sea"
5513,5,51.54565,0.68294,158,"158G00000157","Southend-on-Sea"
5514,5,51.54572,0.67761,158,"158G00000156","Southend-on-Sea"
5516,5,51.54196,0.69634,158,"158G00000159","Southend-on-Sea"
5517,5,51.54492,0.68823,158,"158G00000158","Southend-on-Sea"
6068,2,51.53757,0.76174,910," 910GTHOPBAY","Southend-on-Sea"
6068,5,51.53757,0.76174,910," 910GTHOPBAY","Southend-on-Sea"
6337,5,51.5974,0.66512,150,"150G00000249","Southend-on-Sea"
7208,5,51.56756,0.68357,158,"158G00000229","Southend-on-Sea"
7209,5,51.55924,0.69589,158,"158G00000228","Southend-on-Sea"
7210,5,51.55573,0.70626,158,"158G00000224","Southend-on-Sea"
7211,5,51.56268,0.69681,158,"158G00000227","Southend-on-Sea"
7212,5,51.55997,0.70349,158,"158G00000226","Southend-on-Sea"
7213,5,51.54977,0.69544,158,"158G00000220","Southend-on-Sea"
7214,5,51.55121,0.70245,158,"158G00000223","Southend-on-Sea"
7215,5,51.55428,0.70117,158,"158G00000222","Southend-on-Sea"
7415,5,51.55395,0.79012,150,"150G00000315","Southend-on-Sea"
7950,5,51.52771,0.77321,158,"158G00000055","Southend-on-Sea"
7951,5,51.53061,0.78334,158,"158G00000052","Southend-on-Sea"
7952,5,51.52745,0.78184,158,"158G00000053","Southend-on-Sea"
7953,5,51.544,0.78329,158,"158G00000050","Southend-on-Sea"
7954,5,51.53314,0.7813,158,"158G00000051","Southend-on-Sea"
9288,5,51.54468,0.80653,150,"150G00000328","Southend-on-Sea"
9289,5,51.54607,0.81277,150,"150G00000329","Southend-on-Sea"
9294,5,51.56741,0.78397,150,"150G00000320","Southend-on-Sea"
9295,5,51.57046,0.78342,150,"150G00000321","Southend-on-Sea"
9296,5,51.56878,0.77677,150,"150G00000322","Southend-on-Sea"
9297,5,51.56704,0.77372,150,"150G00000323","Southend-on-Sea"
9299,5,51.56408,0.76059,150,"150G00000325","Southend-on-Sea"
9300,5,51.56133,0.75819,150,"150G00000326","Southend-on-Sea"
9301,5,51.54217,0.80489,150,"150G00000327","Southend-on-Sea"
10982,5,51.55089,0.6553,158,"158G00000004","Southend-on-Sea"
11236,5,51.5373,0.78829,158,"158G00000295","Southend-on-Sea"
11238,5,51.55393,0.69398,158,"158G00000290","Southend-on-Sea"
11239,5,51.52819,0.75916,158,"158G00000291","Southend-on-Sea"
11240,5,51.55435,0.6607,158,"158G00000292","Southend-on-Sea"
11241,5,51.54824,0.64325,158,"158G00000293","Southend-on-Sea"
11265,5,51.54477,0.70819,158,"158G00000123","Southend-on-Sea"
11266,5,51.56009,0.65658,158,"158G00000120","Southend-on-Sea"
11267,5,51.55075,0.66137,158,"158G00000121","Southend-on-Sea"
11269,5,51.55159,0.73523,158,"158G00000124","Southend-on-Sea"
11270,5,51.53273,0.72322,158,"158G00000125","Southend-on-Sea"
11823,5,51.60088,0.7458,150,"150G00000174","Southend-on-Sea"
12117,5,51.61472,0.67947,150,"150G00000238","Southend-on-Sea"
12126,5,51.6134,0.68614,150,"150G00000236","Southend-on-Sea"
12129,5,51.60885,0.69054,150,"150G00000235","Southend-on-Sea"
12656,5,51.56664,0.69983,158,"    920GSEN1","Southend-on-Sea"
13030,5,51.54282,0.69744,158,"158G00000214","Southend-on-Sea"
13031,5,51.55763,0.69551,158,"158G00000215","Southend-on-Sea"
13032,5,51.55842,0.69636,158,"158G00000210","Southend-on-Sea"
13033,5,51.5617,0.67615,158,"158G00000211","Southend-on-Sea"
13034,5,51.54456,0.69375,158,"158G00000212","Southend-on-Sea"
13035,5,51.54674,0.69378,158,"158G00000213","Southend-on-Sea"
13038,5,51.5498,0.69911,158,"158G00000219","Southend-on-Sea"
13765,5,51.5539,0.65545,158,"158G00000007","Southend-on-Sea"
13766,5,51.54845,0.6516,158,"158G00000001","Southend-on-Sea"
13768,4,51.54386,0.69201,158,"158G00000002","Southend-on-Sea"
13768,5,51.54386,0.69201,158,"158G00000002","Southend-on-Sea"
13769,5,51.55142,0.66669,158,"158G00000009","Southend-on-Sea"
13770,5,51.55836,0.66359,158,"158G00000008","Southend-on-Sea"
13812,5,51.59346,0.67546,150,"150G00000253","Southend-on-Sea"
14513,2,51.53098,0.79536,158," 910GSHBRYNS","Southend-on-Sea"
14513,5,51.53098,0.79536,158," 910GSHBRYNS","Southend-on-Sea"
15059,5,51.61516,0.73807,150,"150G00000376","Southend-on-Sea"
15060,5,51.55609,0.755,150,"150G00000374","Southend-on-Sea"
15061,5,51.56618,0.76557,150,"150G00000373","Southend-on-Sea"
15062,5,51.55569,0.79028,150,"150G00000372","Southend-on-Sea"
15063,5,51.60137,0.73631,150,"150G00000371","Southend-on-Sea"
15064,5,51.61744,0.74507,150,"150G00000370","Southend-on-Sea"
15560,5,51.54708,0.73633,158,"158G00000085","Southend-on-Sea"
15561,5,51.54942,0.73657,158,"158G00000084","Southend-on-Sea"
15562,5,51.54469,0.73716,158,"158G00000086","Southend-on-Sea"
15563,5,51.52949,0.75221,158,"158G00000081","Southend-on-Sea"
15564,5,51.52996,0.74841,158,"158G00000080","Southend-on-Sea"
15565,5,51.55127,0.73632,158,"158G00000083","Southend-on-Sea"
15566,5,51.55123,0.73111,158,"158G00000082","Southend-on-Sea"
16545,5,51.54574,0.64351,158,"158G00000129","Southend-on-Sea"
18828,5,51.54185,0.73817,158,"158G00000171","Southend-on-Sea"
18829,5,51.53855,0.7498,158,"158G00000170","Southend-on-Sea"
18830,5,51.53012,0.73345,158,"158G00000173","Southend-on-Sea"
18831,5,51.5339,0.7239,158,"158G00000172","Southend-on-Sea"
18832,5,51.52597,0.76815,158,"158G00000175","Southend-on-Sea"
18833,5,51.53025,0.74563,158,"158G00000174","Southend-on-Sea"
19524,5,51.53339,0.77998,158,"158G00000039","Southend-on-Sea"
19526,5,51.53992,0.78665,158,"158G00000034","Southend-on-Sea"
19527,5,51.5378,0.78581,158,"158G00000035","Southend-on-Sea"
