"node","layer","lat","lon","zone","atcocode","city"
846,5,51.72561,-0.30095,210,"     210G744","St Albans"
847,5,51.72929,-0.30155,210,"     210G745","St Albans"
848,5,51.72339,-0.29524,210,"     210G740","St Albans"
849,5,51.7197,-0.29681,210,"     210G741","St Albans"
850,5,51.71782,-0.30059,210,"     210G742","St Albans"
851,5,51.72666,-0.29859,210,"     210G743","St Albans"
891,5,51.76111,-0.362,210,"    210G2091","St Albans"
893,5,51.77255,-0.37596,210,"    210G2092","St Albans"
2431,2,51.72546,-0.34028,210,"    910GPKST","St Albans"
2431,5,51.72546,-0.34028,210,"    910GPKST","St Albans"
2709,5,51.79694,-0.35091,210,"    210G2019","St Albans"
2710,5,51.80084,-0.35191,210,"    210G2018","St Albans"
2711,5,51.80479,-0.35219,210,"    210G2013","St Albans"
2712,5,51.80623,-0.34748,210,"    210G2012","St Albans"
2713,5,51.80176,-0.36003,210,"    210G2015","St Albans"
2714,5,51.80079,-0.36587,210,"    210G2017","St Albans"
2715,5,51.80385,-0.35626,210,"    210G2016","St Albans"
3387,5,51.75523,-0.30551,210,"    210G2195","St Albans"
3388,5,51.75896,-0.31715,210,"    210G2190","St Albans"
3389,5,51.75934,-0.31236,210,"    210G2192","St Albans"
3390,5,51.75987,-0.3069,210,"    210G2193","St Albans"
3456,5,51.76324,-0.34647,210,"    210G2222","St Albans"
3457,5,51.75902,-0.35216,210,"    210G2223","St Albans"
3458,5,51.7596,-0.3413,210,"    210G2220","St Albans"
3459,5,51.76171,-0.34985,210,"    210G2221","St Albans"
3460,5,51.76925,-0.3348,210,"    210G2226","St Albans"
3461,5,51.7706,-0.33413,210,"    210G2227","St Albans"
3462,5,51.76473,-0.34462,210,"    210G2224","St Albans"
4637,5,51.81884,-0.35674,210,"    210G1979","St Albans"
5336,5,51.76741,-0.3703,210,"    210G2090","St Albans"
8296,5,51.71913,-0.28764,210,"     210G739","St Albans"
8297,5,51.71842,-0.28539,210,"     210G738","St Albans"
8298,5,51.71724,-0.28054,210,"     210G735","St Albans"
8299,5,51.72161,-0.29335,210,"     210G734","St Albans"
8304,5,51.71609,-0.27676,210,"     210G733","St Albans"
8305,5,51.71408,-0.26869,210,"     210G732","St Albans"
8387,5,51.8029,-0.3768,210,"    210G2020","St Albans"
8388,5,51.78535,-0.3432,210,"    210G2021","St Albans"
8389,5,51.79006,-0.34561,210,"    210G2022","St Albans"
8390,5,51.78116,-0.33948,210,"    210G2023","St Albans"
8391,5,51.77689,-0.3368,210,"    210G2024","St Albans"
8392,5,51.77397,-0.33618,210,"    210G2025","St Albans"
8393,5,51.78789,-0.30062,210,"    210G2027","St Albans"
8394,5,51.78385,-0.30325,210,"    210G2028","St Albans"
8395,5,51.79977,-0.29684,210,"    210G2029","St Albans"
8442,5,51.75204,-0.30087,210,"    210G2133","St Albans"
9053,5,51.76435,-0.33936,210,"    210G9415","St Albans"
9091,5,51.75852,-0.33134,210,"    210G2270","St Albans"
9092,5,51.75638,-0.34826,210,"    210G2273","St Albans"
9093,5,51.75835,-0.32799,210,"    210G2272","St Albans"
