"node","layer","lat","lon","zone","atcocode","city"
6641,5,53.48853,-2.67213,910,"    910GGARW","St Helens"
6641,2,53.48853,-2.67213,910,"    910GGARW","St Helens"
38225,2,53.43659,-2.75937,910,"    910GTHHT","St Helens"
38225,5,53.43659,-2.75937,910,"    910GTHHT","St Helens"
43491,5,53.45115,-2.63766,910," 910GERLSTWN","St Helens"
43491,2,53.45115,-2.63766,910," 910GERLSTWN","St Helens"
43943,2,53.42711,-2.72384,910,"    910GLEGR","St Helens"
43943,5,53.42711,-2.72384,910,"    910GLEGR","St Helens"
45739,5,53.43374,-2.70026,910," 910GSTHLNSJ","St Helens"
45739,2,53.43374,-2.70026,910," 910GSTHLNSJ","St Helens"
45741,4,53.45313,-2.7303,910," 910GSTHLNSC","St Helens"
45741,2,53.45313,-2.7303,910," 910GSTHLNSC","St Helens"
45741,5,53.45313,-2.7303,910," 910GSTHLNSC","St Helens"
46791,5,53.43936,-2.66515,69,"  069GWAR295","St Helens"
46792,5,53.44073,-2.66775,69,"  069GWAR294","St Helens"
51543,5,53.43257,-2.68281,280," 2800S13112A","St Helens"
52040,5,53.46835,-2.74313,280," 2800S15047A","St Helens"
52042,5,53.46871,-2.74252,280," 2800S15047B","St Helens"
52049,5,53.45057,-2.67863,280," 2800S10097A","St Helens"
52051,5,53.45048,-2.67862,280," 2800S10097B","St Helens"
52474,5,53.48185,-2.75373,280," 2800S17038A","St Helens"
52475,5,53.48212,-2.75387,280," 2800S17038B","St Helens"
52508,5,53.41659,-2.71034,280," 2800S13058C","St Helens"
52509,5,53.41725,-2.71099,280," 2800S13058B","St Helens"
52510,5,53.41795,-2.71151,280," 2800S13058A","St Helens"
53357,5,53.43986,-2.75847,280," 2800S16028A","St Helens"
53358,5,53.44001,-2.75807,280," 2800S16028B","St Helens"
53822,5,53.47814,-2.72056,280," 2800S15025A","St Helens"
53824,5,53.47781,-2.72104,280," 2800S15025B","St Helens"
55018,5,53.4475,-2.75955,280," 2800S16019D","St Helens"
55019,5,53.44601,-2.75989,280," 2800S16019A","St Helens"
55020,5,53.44718,-2.7591,280," 2800S16019C","St Helens"
55021,5,53.4469,-2.75789,280," 2800S16019B","St Helens"
55547,5,53.4553,-2.76426,280," 2800S15032B","St Helens"
56591,5,53.43424,-2.74523,280," 2800S13158A","St Helens"
56655,5,53.42944,-2.74663,280," 2800S13084B","St Helens"
56656,5,53.42824,-2.74616,280," 2800S13084A","St Helens"
56657,5,53.47605,-2.72362,280," 2800S15093A","St Helens"
58367,5,53.47452,-2.68404,280," 2800S11053A","St Helens"
58558,5,53.4353,-2.70593,280," 2800S13022B","St Helens"
58559,5,53.43528,-2.7064,280," 2800S13022A","St Helens"
58805,5,53.41526,-2.73573,280," 2800S13079B","St Helens"
58806,5,53.41507,-2.73453,280," 2800S13079A","St Helens"
58847,5,53.42827,-2.73849,280," 2800S13253A","St Helens"
58848,5,53.42811,-2.7385,280," 2800S13253B","St Helens"
60275,5,53.44843,-2.68373,280," 2800S13031B","St Helens"
60276,5,53.44867,-2.68367,280," 2800S13031A","St Helens"
60277,5,53.45268,-2.76307,280," 2800S15004A","St Helens"
60278,5,53.45268,-2.76236,280," 2800S15004B","St Helens"
60523,5,53.43696,-2.70287,280," 2800S13048A","St Helens"
60576,5,53.41678,-2.73152,280," 2800S13262A","St Helens"
60867,5,53.45181,-2.74457,280," 2800S16016A","St Helens"
61412,5,53.44779,-2.69865,280," 2800S13101D","St Helens"
61414,5,53.44739,-2.69958,280," 2800S13101B","St Helens"
61417,5,53.44726,-2.69842,280," 2800S13101A","St Helens"
61751,5,53.47357,-2.73869,280," 2800S15044A","St Helens"
61752,5,53.47398,-2.73966,280," 2800S15044B","St Helens"
62890,5,53.48976,-2.67562,280," 2800S11034B","St Helens"
62891,5,53.48975,-2.67586,280," 2800S11034A","St Helens"
63548,5,53.50046,-2.70481,280," 2800S11018D","St Helens"
63549,5,53.50039,-2.70603,280," 2800S11018A","St Helens"
