"node","layer","lat","lon","zone","atcocode","city"
0,5,51.40078,-0.46353,400,"400G4402814B","Staines"
6,5,51.44995,-0.41833,490,"490G00012111","Staines"
160,5,51.44714,-0.47804,400,"400G4402013B","Staines"
472,5,51.43702,-0.51809,400,"400G4402135A","Staines"
917,5,51.43269,-0.45142,400,"400G4402103A","Staines"
1266,5,51.44956,-0.47069,400,"400G4402145A","Staines"
2035,5,51.45112,-0.47454,400,"400G4402144A","Staines"
2113,5,51.41054,-0.55675,400,"400G4401059A","Staines"
2126,5,51.37324,-0.47385,400,"400G4401084A","Staines"
2139,5,51.42904,-0.53184,400,"400G4401032A","Staines"
2172,5,51.42658,-0.52859,400,"400G4401033A","Staines"
2474,5,51.42846,-0.4226,400,"400G4402806B","Staines"
2735,5,51.4565,-0.44829,490,"490G00011963","Staines"
2861,5,51.4516,-0.44106,490,"490G00012792","Staines"
3240,5,51.4286,-0.57265,400,"400G4401013A","Staines"
3303,5,51.44602,-0.44073,490,"490G00003801","Staines"
3309,5,51.4272,-0.57269,400,"400G4401014B","Staines"
3409,5,51.42722,-0.48558,400,"400G4402117A","Staines"
3538,5,51.40469,-0.50567,400,"400G4401137A","Staines"
3592,5,51.41238,-0.53185,400,"400G4401042B","Staines"
3955,5,51.39555,-0.50574,400,"400G4401117E","Staines"
3998,5,51.41405,-0.49361,400,"400G4402076A","Staines"
4036,5,51.44082,-0.4827,400,"400G4402018A","Staines"
4262,5,51.42961,-0.51424,400,"400G4401130A","Staines"
4392,2,51.37305,-0.48445,400," 910GADLESTN","Staines"
4392,5,51.37305,-0.48445,400," 910GADLESTN","Staines"
4542,5,51.42913,-0.45562,400,"400G4402165A","Staines"
4703,5,51.44023,-0.41361,490,"490G00004997","Staines"
4827,5,51.44013,-0.47306,400,"400G4402108B","Staines"
5127,5,51.44523,-0.41971,490,"490G00007756","Staines"
5231,5,51.42352,-0.50319,400,"400G4402080B","Staines"
5712,5,51.44836,-0.44916,490,"490G00005439","Staines"
5726,5,51.4156,-0.54658,400,"400G4401062A","Staines"
5834,5,51.45331,-0.47343,400,"400G4402010B","Staines"
5984,5,51.39239,-0.50436,400,"400G4401123A","Staines"
6401,5,51.4076,-0.46279,400,"400G4402060A","Staines"
6943,5,51.41261,-0.44349,400,"400G4402088B","Staines"
7163,5,51.42998,-0.55796,400,"400G4401024A","Staines"
7332,2,51.40196,-0.56222,400," 910GVRGNWTR","Staines"
7332,5,51.40196,-0.56222,400," 910GVRGNWTR","Staines"
8372,5,51.43266,-0.45399,400,"400G4402104A","Staines"
9004,5,51.39829,-0.62148,36,"036G00000301","Staines"
9118,5,51.44381,-0.42317,490,"490G00011700","Staines"
9324,5,51.42677,-0.48076,400,"400G4402116A","Staines"
9477,5,51.42684,-0.44226,400,"400G4402095A","Staines"
9604,5,51.4233,-0.48077,400,"400G4402802C","Staines"
9737,5,51.40586,-0.48453,400,"400G4402073A","Staines"
9978,5,51.41006,-0.53383,400,"400G4401043B","Staines"
10209,5,51.4283,-0.45145,400,"400G4402097A","Staines"
10308,5,51.45354,-0.43958,490,"490G00003784","Staines"
10309,5,51.44027,-0.42519,490,"490G00003785","Staines"
10310,5,51.45126,-0.43871,490,"490G00003786","Staines"
10311,5,51.44829,-0.44499,490,"490G00003787","Staines"
10386,5,51.40033,-0.45983,400,"400G4402070A","Staines"
10846,5,51.38949,-0.46233,400,"400G4402034A","Staines"
10883,5,51.40429,-0.46274,400,"400G4402083A","Staines"
10921,5,51.45293,-0.43166,490,"490G00010257","Staines"
11414,5,51.41931,-0.49558,400,"400G4402132B","Staines"
11531,5,51.43451,-0.52891,400,"400G4401067B","Staines"
11729,5,51.40489,-0.45941,400,"400G4402813C","Staines"
12223,5,51.4195,-0.49783,400,"400G4402078B","Staines"
12236,5,51.46003,-0.44002,490,"490G00012056","Staines"
12260,5,51.42151,-0.43649,400,"400G4402067A","Staines"
12287,5,51.42577,-0.41764,400,"400G4402198A","Staines"
12637,5,51.44918,-0.47845,400,"400G4402012B","Staines"
12660,5,51.38234,-0.54329,400,"400G4401803C","Staines"
12661,5,51.37781,-0.53729,400,"400G4401803B","Staines"
12908,5,51.41657,-0.49546,400,"400G4402077A","Staines"
13257,5,51.43892,-0.49126,400,"400G4402019A","Staines"
13356,5,51.44526,-0.46295,400,"400G4402015B","Staines"
13696,5,51.43736,-0.40818,490,"490G00006782","Staines"
13697,5,51.42749,-0.48148,400,"400G4402804A","Staines"
13990,5,51.47866,-0.51465,37,"    037G0299","Staines"
14113,5,51.43295,-0.4441,400,"400G4402101B","Staines"
14397,5,51.44409,-0.53725,36,"036G00006470","Staines"
14401,5,51.46255,-0.53479,36,"036G00006478","Staines"
14907,5,51.45824,-0.433,490,"490G00007972","Staines"
15344,5,51.4099,-0.44439,400,"400G4402153C","Staines"
15382,5,51.40311,-0.54492,400,"400G4401047B","Staines"
15408,5,51.39091,-0.50257,400,"400G4401119B","Staines"
15444,5,51.43072,-0.53465,400,"400G4401031A","Staines"
15915,5,51.46427,-0.53336,36,"036G00006501","Staines"
15924,5,51.4697,-0.53026,36,"036G00006503","Staines"
16007,5,51.4259,-0.43565,400,"400G4402094B","Staines"
16162,5,51.42515,-0.41944,400,"400G4402062A","Staines"
16613,5,51.42599,-0.47591,400,"400G4402111B","Staines"
16690,5,51.42522,-0.43468,400,"400G4402092A","Staines"
16826,5,51.41893,-0.53455,400,"400G4401040A","Staines"
17163,5,51.37052,-0.49282,400,"400G4401111A","Staines"
17165,5,51.37236,-0.49348,400,"400G4401111D","Staines"
17277,5,51.42119,-0.53612,400,"400G4401039A","Staines"
17478,5,51.42775,-0.44799,400,"400G4402096A","Staines"
17507,5,51.40785,-0.50704,400,"400G4401125A","Staines"
17976,5,51.43517,-0.57382,400,"400G4401005A","Staines"
18416,5,51.39021,-0.48104,400,"400G4402031A","Staines"
18531,5,51.42842,-0.4939,400,"400G4402119D","Staines"
18533,5,51.40757,-0.45544,400,"400G4402086A","Staines"
18648,5,51.40223,-0.46927,400,"400G4402072B","Staines"
18678,5,51.40092,-0.54913,400,"400G4401048B","Staines"
18729,5,51.45099,-0.4218,490,"490G00013143","Staines"
19026,2,51.43246,-0.50316,400," 910GSTAINES","Staines"
19026,5,51.43246,-0.50316,400," 910GSTAINES","Staines"
19028,5,51.42514,-0.51227,400,"400G4401129B","Staines"
19298,5,51.43506,-0.43642,490,"490G00006829","Staines"
19460,5,51.37881,-0.51967,400,"400G4401213A","Staines"
19728,5,51.37961,-0.52113,400,"400G4401101B","Staines"
19982,5,51.43281,-0.44692,400,"400G4402102B","Staines"
20201,2,51.4191,-0.42104,400," 910GSUNBURY","Staines"
20201,5,51.4191,-0.42104,400," 910GSUNBURY","Staines"
20325,5,51.38717,-0.50967,400,"  910GCHTSEY","Staines"
20325,2,51.38717,-0.50967,400,"  910GCHTSEY","Staines"
21316,5,51.39681,-0.44678,400," 910GSHEPRTN","Staines"
21316,2,51.39681,-0.44678,400," 910GSHEPRTN","Staines"
21349,5,51.42196,-0.50111,400,"400G4402079B","Staines"
21504,5,51.43404,-0.44067,400,"400G4402205A","Staines"
21813,5,51.42162,-0.44139,400,"400G4402091E","Staines"
21814,5,51.4223,-0.44055,400,"400G4402091D","Staines"
22514,5,51.43208,-0.51918,400,"400G4401211B","Staines"
22527,5,51.45259,-0.44159,490,"490G00007903","Staines"
22551,5,51.43297,-0.47801,400,"400G4402114B","Staines"
22641,5,51.42963,-0.45383,400,"400G4402100B","Staines"
22758,5,51.3775,-0.5176,400,"400G4401212A","Staines"
23027,5,51.40815,-0.43184,400,"400G4402212A","Staines"
23101,5,51.42757,-0.52485,400,"400G4401034A","Staines"
23136,5,51.40115,-0.46342,400,"400G4402071A","Staines"
23607,5,51.42679,-0.45166,400,"400G4402099A","Staines"
23751,5,51.43735,-0.42547,490,"490G00005101","Staines"
23799,5,51.39857,-0.45539,400,"400G4402069B","Staines"
23818,5,51.43258,-0.57388,400,"400G4401006A","Staines"
23873,5,51.45116,-0.47595,400,"400G4402011B","Staines"
23979,5,51.43174,-0.55307,400,"400G4401025B","Staines"
24283,5,51.39077,-0.47682,400,"400G4402032B","Staines"
24287,5,51.43313,-0.52002,400,"400G4401069B","Staines"
24933,5,51.38504,-0.52596,400,"400G4401803E","Staines"
25058,5,51.39054,-0.49829,400,"400G4401120B","Staines"
25229,5,51.44243,-0.53293,36,"036G00006774","Staines"
25396,5,51.45499,-0.42303,490,"490G00004836","Staines"
25517,5,51.38711,-0.53758,400,"400G4401803D","Staines"
25603,5,51.42751,-0.42026,400,"400G4402061A","Staines"
25730,5,51.44225,-0.4165,490,"490G00011614","Staines"
25924,5,51.40455,-0.46165,400,"400G4402813B","Staines"
25927,5,51.44356,-0.43552,490,"490G00008914","Staines"
26111,5,51.41631,-0.44297,400,"400G4402089A","Staines"
26296,5,51.42751,-0.56471,400,"400G4401023A","Staines"
26739,5,51.44216,-0.47395,400,"400G4402017C","Staines"
26740,5,51.44264,-0.47502,400,"400G4402017D","Staines"
27005,5,51.45327,-0.44531,490,"490G00007415","Staines"
27142,5,51.42736,-0.49471,400,"400G4402119B","Staines"
27317,5,51.42236,-0.49115,400,"400G4402802G","Staines"
27318,5,51.4225,-0.48573,400,"400G4402802F","Staines"
27319,5,51.42254,-0.48293,400,"400G4402802E","Staines"
27320,5,51.42332,-0.48313,400,"400G4402802D","Staines"
27322,5,51.42406,-0.48081,400,"400G4402802B","Staines"
27323,5,51.42541,-0.48293,400,"400G4402802A","Staines"
27330,5,51.42975,-0.46534,400,"400G4402109B","Staines"
27377,5,51.4329,-0.41805,490,"490G00007697","Staines"
27567,2,51.45771,-0.54192,36," 910GWRYSBRY","Staines"
27567,5,51.45771,-0.54192,36," 910GWRYSBRY","Staines"
27710,5,51.4062,-0.53493,400,"400G4401045B","Staines"
28172,5,51.4279,-0.58085,400,"400G4401010B","Staines"
28845,5,51.43859,-0.40329,490,"490G00011672","Staines"
