"node","layer","lat","lon","zone","atcocode","city"
737,5,51.88886,-0.19731,210,"    210G1358","Stevenage"
739,5,51.88592,-0.19436,210,"    210G1356","Stevenage"
740,5,51.88903,-0.18798,210,"    210G1354","Stevenage"
741,5,51.88479,-0.18806,210,"    210G1353","Stevenage"
743,5,51.88287,-0.19053,210,"    210G1351","Stevenage"
744,5,51.88103,-0.18654,210,"    210G1350","Stevenage"
819,5,51.93022,-0.17451,210,"    210G3728","Stevenage"
3037,5,51.86464,-0.22172,210,"    210G1296","Stevenage"
3230,5,51.85696,-0.11048,210,"    210G1257","Stevenage"
3235,5,51.8546,-0.10819,210,"    210G1258","Stevenage"
4919,5,51.90169,-0.20711,210," 910GSTEVNGE","Stevenage"
4919,2,51.90169,-0.20711,210," 910GSTEVNGE","Stevenage"
4919,4,51.90169,-0.20711,210," 910GSTEVNGE","Stevenage"
5543,5,51.86205,-0.23557,210,"    210G3400","Stevenage"
5936,5,51.8632,-0.12717,210,"    210G9086","Stevenage"
6339,5,51.88605,-0.15079,210,"    210G1325","Stevenage"
6340,5,51.87525,-0.16622,210,"    210G1323","Stevenage"
6965,5,51.90424,-0.16562,210,"    210G1424","Stevenage"
6966,5,51.90669,-0.16723,210,"    210G1426","Stevenage"
6967,5,51.91922,-0.16173,210,"    210G1421","Stevenage"
6968,5,51.91934,-0.16003,210,"    210G1420","Stevenage"
6969,5,51.90172,-0.16804,210,"    210G1422","Stevenage"
7022,5,51.8589,-0.18357,210,"    210G1285","Stevenage"
7183,5,51.87123,-0.08422,210,"     210G567","Stevenage"
7187,5,51.88751,-0.10005,210,"     210G568","Stevenage"
10255,5,51.91538,-0.22011,210,"    210G1519","Stevenage"
10256,5,51.91014,-0.22336,210,"    210G1511","Stevenage"
10257,5,51.91281,-0.22096,210,"    210G1512","Stevenage"
10258,5,51.91526,-0.21356,210,"    210G1515","Stevenage"
10892,5,51.90552,-0.19756,210,"    210G1497","Stevenage"
11708,5,51.91516,-0.1294,210,"     210G182","Stevenage"
11709,5,51.93729,-0.13524,210,"     210G183","Stevenage"
11710,5,51.9195,-0.12726,210,"     210G180","Stevenage"
11711,5,51.91691,-0.13557,210,"     210G181","Stevenage"
12783,5,51.91311,-0.16283,210,"    210G1419","Stevenage"
12785,5,51.91593,-0.16078,210,"    210G1415","Stevenage"
12787,5,51.91089,-0.16175,210,"    210G1417","Stevenage"
12788,5,51.91567,-0.16969,210,"    210G1412","Stevenage"
12789,5,51.91628,-0.16549,210,"    210G1413","Stevenage"
13949,5,51.89262,-0.18334,210,"    210G1375","Stevenage"
13951,5,51.89934,-0.19278,210,"    210G1371","Stevenage"
