"node","layer","lat","lon","zone","atcocode","city"
133,5,53.36988,-2.03389,60,"   061GCH459","Stockport"
3122,2,53.43308,-2.20925,910," 910GMLDTHRD","Stockport"
3122,5,53.43308,-2.20925,910," 910GMLDTHRD","Stockport"
7021,5,53.34421,-2.08813,60,"   060GMA146","Stockport"
7026,5,53.34441,-2.09699,60,"   060GMA149","Stockport"
7027,5,53.34409,-2.09999,60,"   060GMA148","Stockport"
7562,2,53.43594,-2.15876,910," 910GREDISHS","Stockport"
7562,5,53.43594,-2.15876,910," 910GREDISHS","Stockport"
12002,5,53.39292,-2.23123,910,"  910GGATLEY","Stockport"
12002,2,53.39292,-2.23123,910,"  910GGATLEY","Stockport"
12261,2,53.37756,-2.12202,910,"    910GHAZL","Stockport"
12261,5,53.37756,-2.12202,910,"    910GHAZL","Stockport"
14531,2,53.39624,-2.07652,910,"    910GROHL","Stockport"
14531,5,53.39624,-2.07652,910,"    910GROHL","Stockport"
14637,5,53.35394,-2.11894,60,"   060GMA190","Stockport"
14638,5,53.35162,-2.1204,60,"   060GMA191","Stockport"
15291,5,53.34773,-2.10693,60,"    060GMA27","Stockport"
18410,2,53.42558,-2.17904,910,"    910GHTCP","Stockport"
18410,5,53.42558,-2.17904,910,"    910GHTCP","Stockport"
20443,5,53.34705,-2.08561,60,"   060GMA165","Stockport"
22904,5,53.35782,-2.05387,60,"    060GMA94","Stockport"
22906,5,53.35999,-2.03358,60,"    060GMA96","Stockport"
29030,2,53.44418,-2.19267,910,"    910GLVHM","Stockport"
29030,5,53.44418,-2.19267,910,"    910GLVHM","Stockport"
29151,2,53.42317,-2.11049,910," 910GBREDBRY","Stockport"
29151,5,53.42317,-2.11049,910," 910GBREDBRY","Stockport"
29213,5,53.38649,-2.14208,910,"    910GWMOR","Stockport"
29213,2,53.38649,-2.14208,910,"    910GWMOR","Stockport"
32050,5,53.36017,-2.0565,60,"   060GMA102","Stockport"
33577,2,53.43213,-2.13512,910,"  910GBRNGTN","Stockport"
33577,5,53.43213,-2.13512,910,"  910GBRNGTN","Stockport"
35257,5,53.36063,-2.16359,910,"    910GBMHL","Stockport"
35257,2,53.36063,-2.16359,910,"    910GBMHL","Stockport"
35268,2,53.42119,-2.21568,910,"    910GBAGE","Stockport"
35268,5,53.42119,-2.21568,910,"    910GBAGE","Stockport"
35892,5,53.37595,-2.1883,910,"    910GCHDH","Stockport"
35892,2,53.37595,-2.1883,910,"    910GCHDH","Stockport"
37012,5,53.34569,-2.10123,60,"   060GMA346","Stockport"
37013,5,53.34487,-2.103,60,"   060GMA345","Stockport"
40760,4,53.40556,-2.16301,910,"    910GSTKP","Stockport"
40760,2,53.40556,-2.16301,910,"    910GSTKP","Stockport"
40760,5,53.40556,-2.16301,910,"    910GSTKP","Stockport"
41333,5,53.3482,-2.11541,60,"   060GMA224","Stockport"
41334,5,53.34786,-2.11278,60,"   060GMA225","Stockport"
42714,2,53.39092,-2.15296,910," 910GDAVNPRT","Stockport"
42714,5,53.39092,-2.15296,910," 910GDAVNPRT","Stockport"
42877,5,53.34407,-2.09208,60,"   060GMA145","Stockport"
42884,5,53.34695,-2.10306,60,"   060GMA147","Stockport"
43900,2,53.3504,-2.13441,910," 910GPOYNTON","Stockport"
43900,5,53.3504,-2.13441,910," 910GPOYNTON","Stockport"
44557,5,53.34298,-2.10501,60,"   060GMA318","Stockport"
44564,5,53.35068,-2.08671,60,"   060GMA311","Stockport"
45310,5,53.34909,-2.12221,60,"   060GMA129","Stockport"
46315,2,53.44943,-2.15625,910," 910GREDISHN","Stockport"
46315,5,53.44943,-2.15625,910," 910GREDISHN","Stockport"
48346,5,53.36059,-2.11644,60,"   060GMA189","Stockport"
50555,2,53.3582,-2.04248,910,"  910GDISLEY","Stockport"
50555,5,53.3582,-2.04248,910,"  910GDISLEY","Stockport"
51130,5,53.40933,-2.222,910," 910GEDIDBRY","Stockport"
51130,2,53.40933,-2.222,910," 910GEDIDBRY","Stockport"
51544,5,53.42612,-2.1718,180," 1800SG13171","Stockport"
51852,5,53.38008,-2.05018,180," 1800SG35591","Stockport"
52130,5,53.42485,-2.17544,180," 1800SG12671","Stockport"
52311,5,53.42719,-2.12117,180," 1800SG38151","Stockport"
52488,5,53.39045,-2.19388,180," 1800SG46181","Stockport"
52545,5,53.41723,-2.10579,180," 1800SG37971","Stockport"
52593,5,53.40254,-2.12586,180," 1800SGH2701","Stockport"
52696,5,53.43229,-2.15602,180," 1800SG39121","Stockport"
52699,5,53.39616,-2.12243,180," 1800SGH0021","Stockport"
52807,5,53.37041,-2.07142,180," 1800SGH2091","Stockport"
52861,5,53.37475,-2.20195,180," 1800SG19331","Stockport"
52883,5,53.4009,-2.12118,180," 1800SGH0231","Stockport"
53133,5,53.4006,-2.15523,180," 1800SG40521","Stockport"
53205,5,53.39015,-2.1059,180," 1800SGH3481","Stockport"
53339,5,53.40893,-2.1637,180," 1800STBS0U1","Stockport"
53342,5,53.40681,-2.13289,180," 1800SG13791","Stockport"
53402,5,53.4502,-2.18098,180," 1800EB10591","Stockport"
53663,5,53.45507,-2.15874,180," 1800EB38191","Stockport"
53929,5,53.42234,-2.11528,180," 1800SG38021","Stockport"
54230,5,53.40055,-2.19282,180," 1800SG07731","Stockport"
54266,5,53.43411,-2.16688,180," 1800SG39231","Stockport"
54341,5,53.4063,-2.12896,180," 1800SG13811","Stockport"
54372,5,53.36458,-2.05777,180," 1800SGH2161","Stockport"
54419,5,53.42174,-2.22919,180," 1800EB04321","Stockport"
