"node","layer","lat","lon","zone","atcocode","city"
206,5,54.57731,-1.32392,77,"   077G72443","Stockton-on-Tees"
207,5,54.57976,-1.32507,77,"   077G72442","Stockton-on-Tees"
208,5,54.58185,-1.32603,77,"   077G72441","Stockton-on-Tees"
209,5,54.58213,-1.32879,77,"   077G72440","Stockton-on-Tees"
210,5,54.58193,-1.35918,77,"   077G72447","Stockton-on-Tees"
211,5,54.58521,-1.35905,77,"   077G72446","Stockton-on-Tees"
212,5,54.57498,-1.32353,77,"   077G72445","Stockton-on-Tees"
213,5,54.5679,-1.36998,77,"   077G72449","Stockton-on-Tees"
214,5,54.59,-1.35426,77,"   077G72448","Stockton-on-Tees"
1284,5,54.57581,-1.32192,77,"   077G72444","Stockton-on-Tees"
1629,5,54.552,-1.31562,77,"   077G72759","Stockton-on-Tees"
1630,5,54.55876,-1.31796,77,"   077G72758","Stockton-on-Tees"
1633,5,54.51192,-1.32044,77,"   077G72755","Stockton-on-Tees"
1634,5,54.54617,-1.3194,77,"   077G72754","Stockton-on-Tees"
1635,5,54.52533,-1.31875,77,"   077G72752","Stockton-on-Tees"
2721,5,54.57059,-1.3707,77,"   077G72380","Stockton-on-Tees"
2722,5,54.5701,-1.33075,77,"   077G72381","Stockton-on-Tees"
2723,5,54.57117,-1.3363,77,"   077G72382","Stockton-on-Tees"
2724,5,54.57439,-1.33617,77,"   077G72383","Stockton-on-Tees"
2725,5,54.58295,-1.33947,77,"   077G72384","Stockton-on-Tees"
2726,5,54.57603,-1.32886,77,"   077G72385","Stockton-on-Tees"
2727,5,54.57397,-1.32554,77,"   077G72386","Stockton-on-Tees"
4102,5,54.58525,-1.33645,77,"   077G72490","Stockton-on-Tees"
4107,5,54.57106,-1.36734,77,"   077G72496","Stockton-on-Tees"
4108,5,54.55723,-1.34618,77,"   077G72497","Stockton-on-Tees"
4494,5,54.54719,-1.29931,77,"   077G72302","Stockton-on-Tees"
4498,5,54.52222,-1.30677,77,"   077G72307","Stockton-on-Tees"
4549,5,54.56194,-1.35923,77,"   077G72366","Stockton-on-Tees"
4550,5,54.56248,-1.36176,77,"   077G72367","Stockton-on-Tees"
4552,5,54.56483,-1.35387,77,"   077G72364","Stockton-on-Tees"
4555,5,54.56491,-1.35696,77,"   077G72365","Stockton-on-Tees"
5422,5,54.49377,-1.35309,910,"    910GYAAM","Stockton-on-Tees"
5422,2,54.49377,-1.35309,910,"    910GYAAM","Stockton-on-Tees"
5760,5,54.55457,-1.35592,77,"   077G72352","Stockton-on-Tees"
5838,5,54.58525,-1.32455,77,"   077G72418","Stockton-on-Tees"
