"node","layer","lat","lon","zone","atcocode","city"
8568,2,52.45559,-2.14182,910," 910GSTRBDGT","Stourbridge"
8568,5,52.45559,-2.14182,910," 910GSTRBDGT","Stourbridge"
12477,2,52.45993,-2.11593,910,"    910GLYEE","Stourbridge"
12477,5,52.45993,-2.11593,910,"    910GLYEE","Stourbridge"
43114,2,52.4476,-2.13385,910," 910GSTRBDGJ","Stourbridge"
43114,5,52.4476,-2.13385,910," 910GSTRBDGJ","Stourbridge"
48724,2,52.42241,-2.14701,910,"  910GHAGLEY","Stourbridge"
48724,5,52.42241,-2.14701,910,"  910GHAGLEY","Stourbridge"
51932,5,52.48163,-2.14039,430," 43008385002","Stourbridge"
51934,5,52.47402,-2.1383,430," 43000831502","Stourbridge"
51935,5,52.47408,-2.13851,430," 43000831501","Stourbridge"
52107,5,52.46775,-2.15346,430," 43000828501","Stourbridge"
52264,5,52.45284,-2.16428,430," 43000825201","Stourbridge"
52529,5,52.45728,-2.13176,430," 43000819801","Stourbridge"
52530,5,52.4576,-2.13123,430," 43000819802","Stourbridge"
52984,5,52.45607,-2.23613,380," 3800C613100","Stourbridge"
54342,5,52.49048,-2.16519,430," 43000843301","Stourbridge"
54343,5,52.49091,-2.16529,430," 43000843302","Stourbridge"
54449,5,52.51625,-2.20174,380," 3800C641701","Stourbridge"
54998,5,52.49055,-2.13958,430," 43000847902","Stourbridge"
55000,5,52.49063,-2.13968,430," 43000847901","Stourbridge"
56117,5,52.39922,-2.15709,200," 2000G038600","Stourbridge"
56226,5,52.42319,-2.13313,200," 2000G621017","Stourbridge"
56613,5,52.45396,-2.13051,430," 43000818201","Stourbridge"
56614,5,52.45402,-2.13134,430," 43000818202","Stourbridge"
57253,5,52.45133,-2.13934,430," 43008682002","Stourbridge"
57255,5,52.45137,-2.1395,430," 43008682001","Stourbridge"
57428,5,52.46331,-2.13564,430," 43000832801","Stourbridge"
57713,5,52.44746,-2.14069,430," 43008681002","Stourbridge"
57715,5,52.48128,-2.12369,430," 43000835301","Stourbridge"
57762,5,52.4748,-2.15662,430," 43000840301","Stourbridge"
57763,5,52.47544,-2.15689,430," 43000840302","Stourbridge"
59072,5,52.4767,-2.15142,430," 43000830302","Stourbridge"
59813,5,52.49371,-2.15659,430," 43008441502","Stourbridge"
59923,5,52.47354,-2.14105,430," 43000831402","Stourbridge"
59924,5,52.47313,-2.14228,430," 43000831401","Stourbridge"
60257,5,52.39164,-2.11852,200," 2000G038702","Stourbridge"
60258,5,52.39212,-2.11847,200," 2000G038701","Stourbridge"
60354,5,52.44681,-2.22217,380," 3800C605900","Stourbridge"
60448,5,52.44906,-2.16786,430," 43000824801","Stourbridge"
60449,5,52.4493,-2.16714,430," 43000824802","Stourbridge"
60560,5,52.45724,-2.12349,430," 43000819702","Stourbridge"
60561,5,52.45753,-2.12252,430," 43000819701","Stourbridge"
60783,5,52.43791,-2.13134,430," 43000820302","Stourbridge"
60785,5,52.43825,-2.13185,430," 43000820301","Stourbridge"
60951,5,52.4658,-2.14219,430," 43008290004","Stourbridge"
61143,5,52.4385,-2.12485,430," 43000820202","Stourbridge"
62454,5,52.49179,-2.16195,430," 43000843402","Stourbridge"
62455,5,52.4916,-2.16234,430," 43000843401","Stourbridge"
62577,5,52.49023,-2.14457,430," 43000846303","Stourbridge"
62578,5,52.49026,-2.14326,430," 43000846301","Stourbridge"
62589,5,52.4444,-2.16553,430," 43000824302","Stourbridge"
65001,5,52.45364,-2.11138,430," 43008210001","Stourbridge"
65823,5,52.41524,-2.12103,200," 2000G621005","Stourbridge"
65824,5,52.39959,-2.11727,200," 2000G621004","Stourbridge"
65825,5,52.42254,-2.1371,200," 2000G621007","Stourbridge"
66357,5,52.4605,-2.14128,430," 43000829201","Stourbridge"
66358,5,52.46056,-2.141,430," 43000829202","Stourbridge"
66428,5,52.5004,-2.15774,430," 43000844602","Stourbridge"
67528,5,52.4537,-2.16947,430," 43000825401","Stourbridge"
67892,5,52.47741,-2.12792,430," 43000831702","Stourbridge"
67981,5,52.4078,-2.11487,200," 2000G503130","Stourbridge"
68077,5,52.45783,-2.11749,430," 43008561003","Stourbridge"
68298,5,52.4827,-2.25253,380," 3800C605800","Stourbridge"
68299,5,52.48278,-2.25272,380," 3800C605801","Stourbridge"
68504,5,52.43935,-2.14071,430," 43008681201","Stourbridge"
68505,5,52.43933,-2.14052,430," 43008681202","Stourbridge"
68989,5,52.43356,-2.13122,430," 43000820101","Stourbridge"
68990,5,52.434,-2.13207,430," 43000820102","Stourbridge"
70003,5,52.45693,-2.13148,430," 43000817903","Stourbridge"
70004,5,52.45714,-2.13144,430," 43000817904","Stourbridge"
70338,5,52.45128,-2.10358,430," 43000814201","Stourbridge"
70339,5,52.45161,-2.102,430," 43000814202","Stourbridge"
70346,5,52.49313,-2.16667,430," 43000843502","Stourbridge"
70347,5,52.4937,-2.16664,430," 43000843501","Stourbridge"
70482,5,52.49009,-2.14878,430," 43000846202","Stourbridge"
70483,5,52.4899,-2.14916,430," 43000846201","Stourbridge"
70645,5,52.50388,-2.17909,430," 43000845801","Stourbridge"
70788,5,52.48236,-2.17277,430," 43000841201","Stourbridge"
70847,5,52.48615,-2.16058,430," 43000840901","Stourbridge"
71087,5,52.49553,-2.16762,430," 43000843603","Stourbridge"
71115,5,52.47136,-2.11897,430," 43000832601","Stourbridge"
71116,5,52.47064,-2.12008,430," 43000832602","Stourbridge"
72697,5,52.45086,-2.14975,430," 43000823202","Stourbridge"
72698,5,52.451,-2.14966,430," 43000823201","Stourbridge"
72946,5,52.45675,-2.10957,430," 43008210101","Stourbridge"
73394,5,52.45242,-2.24054,380," 3800C615701","Stourbridge"
74172,5,52.46286,-2.14445,430," 43000829301","Stourbridge"
74243,5,52.49334,-2.15962,430," 43000844102","Stourbridge"
74244,5,52.49314,-2.15975,430," 43000844101","Stourbridge"
74441,5,52.48929,-2.16049,430," 43000843102","Stourbridge"
74735,5,52.46916,-2.112,430," 43000833301","Stourbridge"
75341,5,52.45502,-2.16862,430," 43000825502","Stourbridge"
75343,5,52.45465,-2.16898,430," 43000825501","Stourbridge"
75740,5,52.47561,-2.13293,430," 43000831601","Stourbridge"
75741,5,52.4755,-2.13301,430," 43000831602","Stourbridge"
75926,5,52.46049,-2.16361,430," 43000826902","Stourbridge"
75927,5,52.46027,-2.16391,430," 43000826901","Stourbridge"
76426,5,52.43881,-2.13706,430," 43008681301","Stourbridge"
76427,5,52.43873,-2.13705,430," 43008681302","Stourbridge"
76886,5,52.44184,-2.11121,430," 43000820001","Stourbridge"
76887,5,52.44119,-2.11138,430," 43000820002","Stourbridge"
77636,5,52.40779,-2.11459,200," 2000G503129","Stourbridge"
77637,5,52.40874,-2.1118,200," 2000G503128","Stourbridge"
78058,5,52.45374,-2.12366,430," 43000817803","Stourbridge"
78186,5,52.47077,-2.14633,430," 43000828601","Stourbridge"
78480,5,52.48935,-2.15386,430," 43000846101","Stourbridge"
78481,5,52.48916,-2.15414,430," 43000846102","Stourbridge"
78873,5,52.48554,-2.162,430," 43000840802","Stourbridge"
78875,5,52.48542,-2.16214,430," 43000840801","Stourbridge"
79208,5,52.47247,-2.11658,430," 43000832701","Stourbridge"
79209,5,52.47262,-2.11613,430," 43000832702","Stourbridge"
79238,5,52.4504,-2.16392,430," 43000824901","Stourbridge"
80306,5,52.4641,-2.16009,430," 43000827101","Stourbridge"
80307,5,52.4644,-2.15985,430," 43000827102","Stourbridge"
80378,5,52.44273,-2.11084,430," 43000814701","Stourbridge"
80530,5,52.49578,-2.17402,430," 43008482501","Stourbridge"
80843,5,52.4508,-2.15293,430," 43000823304","Stourbridge"
81348,5,52.45284,-2.10964,430," 43000814101","Stourbridge"
82434,5,52.48038,-2.12083,430," 43000844002","Stourbridge"
82435,5,52.48035,-2.12064,430," 43000844001","Stourbridge"
82894,5,52.46616,-2.11449,430," 43000833202","Stourbridge"
82895,5,52.46683,-2.11435,430," 43000833201","Stourbridge"
83977,5,52.46003,-2.16943,430," 43000826801","Stourbridge"
84476,5,52.43862,-2.13429,430," 43008681402","Stourbridge"
84477,5,52.43869,-2.13426,430," 43008681401","Stourbridge"
84478,5,52.47223,-2.10958,430," 43008381004","Stourbridge"
85800,5,52.44499,-2.1186,430," 43000816501","Stourbridge"
85801,5,52.44499,-2.11889,430," 43000816502","Stourbridge"
86434,5,52.48373,-2.15471,430," 43000846001","Stourbridge"
86822,5,52.47458,-2.17176,430," 43000841602","Stourbridge"
86824,5,52.47498,-2.17212,430," 43000841601","Stourbridge"
87580,5,52.45302,-2.23306,380," 3800C636702","Stourbridge"
87581,5,52.45306,-2.23337,380," 3800C636701","Stourbridge"
88948,5,52.46488,-2.16022,430," 43000823003","Stourbridge"
89365,5,52.41068,-2.15894,200," 2000G593082","Stourbridge"
90998,5,52.46439,-2.11546,430," 43000833101","Stourbridge"
90999,5,52.46485,-2.11569,430," 43000833102","Stourbridge"
91444,5,52.4472,-2.10547,430," 43008140001","Stourbridge"
91660,5,52.45363,-2.21375,380," 3800C637301","Stourbridge"
91661,5,52.45366,-2.21316,380," 3800C637302","Stourbridge"
91726,5,52.4175,-2.14488,200," 2000G039200","Stourbridge"
91727,5,52.41733,-2.14545,200," 2000G039201","Stourbridge"
91977,5,52.44287,-2.14218,430," 43008680801","Stourbridge"
93773,5,52.465,-2.16558,430," 43000851001","Stourbridge"
93893,5,52.44199,-2.1163,430," 43000816202","Stourbridge"
93894,5,52.44227,-2.11674,430," 43000816201","Stourbridge"
94245,5,52.46668,-2.14339,430," 43000828401","Stourbridge"
94246,5,52.46683,-2.14376,430," 43000828402","Stourbridge"
95221,5,52.47276,-2.1244,430," 43000832902","Stourbridge"
95222,5,52.47287,-2.12458,430," 43000832901","Stourbridge"
95920,5,52.44098,-2.14077,430," 43008681101","Stourbridge"
96930,5,52.45384,-2.14779,430," 43000823101","Stourbridge"
96931,5,52.45367,-2.14794,430," 43000823102","Stourbridge"
97519,5,52.47641,-2.15133,430," 43000830301","Stourbridge"
98439,5,52.50521,-2.17099,430," 43000845201","Stourbridge"
100290,5,52.45309,-2.16642,430," 43000825301","Stourbridge"
100292,5,52.45306,-2.16702,430," 43000825302","Stourbridge"
100999,5,52.50586,-2.19717,380," 3800C641202","Stourbridge"
101051,5,52.48597,-2.1314,430," 43008122501","Stourbridge"
101052,5,52.48591,-2.13132,430," 43008122502","Stourbridge"
101845,5,52.44096,-2.11946,430," 43000816302","Stourbridge"
101846,5,52.4408,-2.11985,430," 43000816301","Stourbridge"
102197,5,52.46746,-2.15269,430," 43000828302","Stourbridge"
102198,5,52.46732,-2.15221,430," 43000828301","Stourbridge"
104132,5,52.39211,-2.11877,200," 2000G038700","Stourbridge"
104392,5,52.4133,-2.15283,200," 2000G503080","Stourbridge"
104393,5,52.41263,-2.15412,200," 2000G503081","Stourbridge"
104394,5,52.41117,-2.1582,200," 2000G503082","Stourbridge"
104660,5,52.48514,-2.12952,430," 43000850901","Stourbridge"
104882,5,52.44515,-2.15051,430," 43000823602","Stourbridge"
104883,5,52.44507,-2.15057,430," 43000823601","Stourbridge"
105785,5,52.45733,-2.14727,430," 43000822901","Stourbridge"
105939,5,52.44095,-2.14057,430," 43008681102","Stourbridge"
106490,5,52.50403,-2.17156,430," 43000845302","Stourbridge"
106491,5,52.50419,-2.17141,430," 43000845301","Stourbridge"
107134,5,52.46404,-2.12759,430," 43000833702","Stourbridge"
107135,5,52.46434,-2.12809,430," 43000833701","Stourbridge"
107381,5,52.45412,-2.23487,380," 3800C606801","Stourbridge"
107382,5,52.45408,-2.23509,380," 3800C606800","Stourbridge"
108594,5,52.48486,-2.13332,430," 43000834402","Stourbridge"
109059,5,52.4383,-2.126,430," 43000820201","Stourbridge"
110378,5,52.46494,-2.15057,430," 43000828202","Stourbridge"
110379,5,52.46489,-2.15074,430," 43000828201","Stourbridge"
111529,5,52.51424,-2.20256,380," 3800C609200","Stourbridge"
111530,5,52.51463,-2.20277,380," 3800C609201","Stourbridge"
111856,5,52.46451,-2.09694,430," 43000812102","Stourbridge"
111871,5,52.45057,-2.22995,380," 3800C636801","Stourbridge"
112394,5,52.48013,-2.12177,430," 43000835504","Stourbridge"
113023,5,52.45009,-2.15278,430," 43000823702","Stourbridge"
113964,5,52.44437,-2.12972,430," 43000817102","Stourbridge"
113965,5,52.44432,-2.13006,430," 43000817101","Stourbridge"
114264,5,52.44514,-2.14635,430," 43000821601","Stourbridge"
115303,5,52.47386,-2.11191,430," 43000833602","Stourbridge"
115304,5,52.47371,-2.11129,430," 43000833601","Stourbridge"
115584,5,52.4494,-2.22938,380," 3800C606901","Stourbridge"
117262,5,52.44445,-2.13865,430," 43000821102","Stourbridge"
117264,5,52.44491,-2.13932,430," 43000821101","Stourbridge"
118370,5,52.4411,-2.11399,430," 43000816101","Stourbridge"
118371,5,52.44115,-2.11387,430," 43000816102","Stourbridge"
119244,5,52.48176,-2.17683,430," 43000841302","Stourbridge"
119245,5,52.48215,-2.17666,430," 43000841301","Stourbridge"
119983,5,52.51224,-2.20251,380," 3800C636302","Stourbridge"
119984,5,52.51264,-2.20241,380," 3800C636301","Stourbridge"
120652,5,52.48174,-2.13111,430," 43000835402","Stourbridge"
120654,5,52.48163,-2.13018,430," 43000835401","Stourbridge"
122409,5,52.47289,-2.16052,430," 43000846901","Stourbridge"
122411,5,52.4729,-2.16052,430," 43000846902","Stourbridge"
124052,5,52.48201,-2.14012,430," 43000830801","Stourbridge"
125238,5,52.45012,-2.14129,430," 43000821201","Stourbridge"
125239,5,52.45112,-2.14223,430," 43000821202","Stourbridge"
125771,5,52.46306,-2.12524,430," 43008339002","Stourbridge"
125772,5,52.46305,-2.12546,430," 43008339001","Stourbridge"
126490,5,52.4647,-2.14649,430," 43000829401","Stourbridge"
127909,5,52.44728,-2.1197,430," 43000815301","Stourbridge"
128055,5,52.47091,-2.15359,430," 43000831102","Stourbridge"
128056,5,52.47093,-2.15307,430," 43000831101","Stourbridge"
128619,5,52.44342,-2.16891,430," 43000824501","Stourbridge"
128628,5,52.47215,-2.10952,430," 43008381003","Stourbridge"
128759,5,52.47459,-2.1145,430," 43000835701","Stourbridge"
128760,5,52.47477,-2.11473,430," 43000835702","Stourbridge"
130837,5,52.50486,-2.18703,430," 43000845601","Stourbridge"
131331,5,52.47114,-2.13024,430," 43000832002","Stourbridge"
131332,5,52.47127,-2.13026,430," 43000832001","Stourbridge"
131520,5,52.42357,-2.12948,200," 2000G039000","Stourbridge"
131530,5,52.46482,-2.14453,430," 43000829502","Stourbridge"
131576,5,52.4993,-2.18059,430," 43000844901","Stourbridge"
132243,5,52.48176,-2.13599,430," 43000830901","Stourbridge"
132244,5,52.48188,-2.13503,430," 43000830902","Stourbridge"
132363,5,52.46565,-2.1685,430," 43000827602","Stourbridge"
132364,5,52.46576,-2.1687,430," 43000827601","Stourbridge"
132454,5,52.45472,-2.23734,380," 3800C607000","Stourbridge"
132455,5,52.45461,-2.2374,380," 3800C607001","Stourbridge"
133316,5,52.45325,-2.14318,430," 43000821301","Stourbridge"
133745,5,52.41391,-2.1513,200," 2000G503079","Stourbridge"
133746,5,52.41563,-2.14794,200," 2000G503078","Stourbridge"
133747,5,52.42801,-2.12258,200," 2000G503073","Stourbridge"
133748,5,52.42768,-2.12275,200," 2000G503074","Stourbridge"
133858,5,52.4742,-2.12392,430," 43008339102","Stourbridge"
133859,5,52.47415,-2.1241,430," 43008339101","Stourbridge"
134667,5,52.46475,-2.14444,430," 43000829501","Stourbridge"
136234,5,52.47501,-2.12029,430," 43000831002","Stourbridge"
136235,5,52.4751,-2.12042,430," 43000831001","Stourbridge"
136730,5,52.44245,-2.16814,430," 43000824401","Stourbridge"
136731,5,52.44265,-2.16839,430," 43000824402","Stourbridge"
136752,5,52.44752,-2.12096,430," 43000816602","Stourbridge"
136864,5,52.47651,-2.11584,430," 43000835601","Stourbridge"
136865,5,52.47668,-2.1158,430," 43000835602","Stourbridge"
137399,5,52.43758,-2.13297,430," 43000820601","Stourbridge"
138395,5,52.49384,-2.17308,430," 43000842501","Stourbridge"
138396,5,52.49394,-2.17302,430," 43000842502","Stourbridge"
138533,5,52.44824,-2.1277,430," 43000817202","Stourbridge"
138997,5,52.48292,-2.15334,430," 43000846702","Stourbridge"
138998,5,52.48344,-2.15213,430," 43000846701","Stourbridge"
139468,5,52.46598,-2.14269,430," 43008290003","Stourbridge"
139600,5,52.46454,-2.13935,430," 43000832102","Stourbridge"
139601,5,52.4642,-2.13913,430," 43000832101","Stourbridge"
139955,5,52.50139,-2.17743,430," 43000844801","Stourbridge"
140320,5,52.46349,-2.17953,380," 3800C630701","Stourbridge"
140321,5,52.46333,-2.17882,380," 3800C630702","Stourbridge"
