"node","layer","lat","lon","zone","atcocode","city"
27023,4,51.74457,-2.21939,910,"   910GSTRUD","Stroud"
27023,2,51.74457,-2.21939,910,"   910GSTRUD","Stroud"
27023,5,51.74457,-2.21939,910,"   910GSTRUD","Stroud"
30883,5,51.74589,-2.27951,910,"  910GSTNHSE","Stroud"
30883,2,51.74589,-2.27951,910,"  910GSTNHSE","Stroud"
50328,4,51.72161,-2.15661,160,"900GNX002035","Stroud"
50328,5,51.72161,-2.15661,160,"900GNX002035","Stroud"
52022,5,51.79594,-2.25646,160," 1600GLS1068","Stroud"
52653,5,51.758,-2.3375,160,"  1600GLS433","Stroud"
53937,5,51.79327,-2.28797,160,"  1600GLB459","Stroud"
54468,5,51.74707,-2.13772,160,"  1600GLS186","Stroud"
54470,5,51.74708,-2.13761,160,"  1600GLS185","Stroud"
54471,5,51.74513,-2.21101,160,"  1600GLS182","Stroud"
54473,5,51.75435,-2.14357,160,"  1600GLS180","Stroud"
54474,5,51.74521,-2.21099,160,"  1600GLS181","Stroud"
54475,5,51.73579,-2.12594,160,"  1600GLS188","Stroud"
54476,5,51.73362,-2.12193,160,"  1600GLS189","Stroud"
56133,5,51.68994,-2.22327,160,"  1600GLS698","Stroud"
56134,5,51.68749,-2.22573,160,"  1600GLS699","Stroud"
56140,5,51.74679,-2.24327,160,"  1600GLS695","Stroud"
56691,5,51.80174,-2.19204,160,"  1600GLS809","Stroud"
56692,5,51.80693,-2.1849,160,"  1600GLS808","Stroud"
56693,5,51.80675,-2.18503,160,"  1600GLS807","Stroud"
56694,5,51.80998,-2.18068,160,"  1600GLS806","Stroud"
56695,5,51.80982,-2.18072,160,"  1600GLS805","Stroud"
56696,5,51.81307,-2.17696,160,"  1600GLS804","Stroud"
56697,5,51.81248,-2.17754,160,"  1600GLS803","Stroud"
56698,5,51.80905,-2.13417,160,"  1600GLS802","Stroud"
56699,5,51.80896,-2.13324,160,"  1600GLS801","Stroud"
56700,5,51.77357,-2.21268,160,"  1600GLS800","Stroud"
58336,5,51.79165,-2.27253,160,"  1600GLS972","Stroud"
58337,5,51.79144,-2.27251,160,"  1600GLS971","Stroud"
58338,5,51.7036,-2.32256,160,"  1600GLS970","Stroud"
59230,5,51.73756,-2.15913,160,"  1600GL1749","Stroud"
59231,5,51.73655,-2.16175,160,"  1600GL1747","Stroud"
59569,5,51.76108,-2.31612,160,"  1600GL5099","Stroud"
60283,5,51.70849,-2.22865,160,"  1600GLS359","Stroud"
60284,5,51.71096,-2.23056,160,"  1600GLS358","Stroud"
60285,5,51.71077,-2.2303,160,"  1600GLS357","Stroud"
60286,5,51.71419,-2.2312,160,"  1600GLS356","Stroud"
60287,5,51.71312,-2.23107,160,"  1600GLS355","Stroud"
60288,5,51.71837,-2.23017,160,"  1600GLS354","Stroud"
60289,5,51.72056,-2.22957,160,"  1600GLS352","Stroud"
60290,5,51.72032,-2.22951,160,"  1600GLS351","Stroud"
60291,5,51.76093,-2.28395,160,"  1600GLS350","Stroud"
60371,5,51.77891,-2.09645,160," 1600GLS1154","Stroud"
60374,5,51.77053,-2.32605,160," 1600GLS1058","Stroud"
60375,5,51.77322,-2.33049,160," 1600GLS1059","Stroud"
60377,5,51.78283,-2.12728,160," 1600GLS1151","Stroud"
60378,5,51.73936,-2.2416,160," 1600GLS1052","Stroud"
60380,5,51.77049,-2.32613,160," 1600GLS1057","Stroud"
60388,5,51.78278,-2.12728,160," 1600GLS1152","Stroud"
61969,5,51.70885,-2.18082,160,"   1600GL526","Stroud"
61970,5,51.70892,-2.18077,160,"   1600GL525","Stroud"
63940,5,51.74834,-2.22286,160,"  1600GL4524","Stroud"
63942,5,51.74843,-2.22274,160,"  1600GL4523","Stroud"
64851,5,51.72763,-2.15798,160,"    1600GL33","Stroud"
65854,5,51.72733,-2.31225,160,"  1600GL2103","Stroud"
65856,5,51.72716,-2.31188,160,"  1600GL2104","Stroud"
66253,5,51.71974,-2.18333,160,"  1600GL4690","Stroud"
66326,5,51.75869,-2.18945,160,"  1600GLS818","Stroud"
66331,5,51.80199,-2.19212,160,"  1600GLS810","Stroud"
66332,5,51.79924,-2.19089,160,"  1600GLS811","Stroud"
66333,5,51.79927,-2.19115,160,"  1600GLS812","Stroud"
66334,5,51.796,-2.18803,160,"  1600GLS813","Stroud"
66335,5,51.79597,-2.18818,160,"  1600GLS814","Stroud"
66336,5,51.79252,-2.18945,160,"  1600GLS815","Stroud"
66337,5,51.7928,-2.18948,160,"  1600GLS816","Stroud"
66338,5,51.75919,-2.18924,160,"  1600GLS817","Stroud"
66658,5,51.81593,-2.15375,160,"  1600GLS591","Stroud"
66659,5,51.80872,-2.12718,160,"  1600GLS590","Stroud"
66660,5,51.73462,-2.20437,160,"  1600GLS593","Stroud"
66661,5,51.81583,-2.15383,160,"  1600GLS592","Stroud"
66662,5,51.73121,-2.20392,160,"  1600GLS595","Stroud"
66663,5,51.73549,-2.20514,160,"  1600GLS594","Stroud"
66664,5,51.72733,-2.20186,160,"  1600GLS597","Stroud"
66665,5,51.73168,-2.20417,160,"  1600GLS596","Stroud"
66666,5,51.7246,-2.19897,160,"  1600GLS599","Stroud"
66667,5,51.72654,-2.20137,160,"  1600GLS598","Stroud"
67436,5,51.72686,-2.16681,160,"  1600GLS621","Stroud"
67438,5,51.72878,-2.16942,160,"  1600GLS620","Stroud"
67479,5,51.70053,-2.25501,160,"  1600GL2035","Stroud"
67480,5,51.69946,-2.23498,160,"  1600GL2034","Stroud"
67482,5,51.70067,-2.25563,160,"  1600GL2036","Stroud"
67487,5,51.70054,-2.23659,160,"  1600GL2038","Stroud"
69131,5,51.70696,-2.32693,160,"  1600GL2329","Stroud"
69134,5,51.69517,-2.16757,160,"  1600GL2321","Stroud"
69135,5,51.69518,-2.16769,160,"  1600GL2322","Stroud"
69845,5,51.734,-2.24263,160,"  1600GLS340","Stroud"
69846,5,51.78062,-2.28729,160,"  1600GLS341","Stroud"
69847,5,51.78115,-2.28861,160,"  1600GLS342","Stroud"
69848,5,51.77297,-2.28547,160,"  1600GLS343","Stroud"
69849,5,51.77251,-2.28475,160,"  1600GLS344","Stroud"
69850,5,51.76844,-2.28029,160,"  1600GLS345","Stroud"
69851,5,51.76629,-2.27882,160,"  1600GLS347","Stroud"
73399,5,51.72597,-2.08465,160,"  1600GLC260","Stroud"
74031,5,51.77411,-2.28955,160,"  1600GL4394","Stroud"
