"node","layer","lat","lon","zone","atcocode","city"
1481,5,54.92954,-1.38669,910," 910GSEABURN","Sunderland"
1481,2,54.92954,-1.38669,910," 910GSEABURN","Sunderland"
1481,3,54.92954,-1.38669,910," 910GSEABURN","Sunderland"
10843,2,54.94641,-1.42031,910," 910GEBOLDON","Sunderland"
10843,5,54.94641,-1.42031,910," 910GEBOLDON","Sunderland"
10843,3,54.94641,-1.42031,910," 910GEBOLDON","Sunderland"
17739,5,54.91284,-1.4171,940," 940GZZTWPLN","Sunderland"
17739,3,54.91284,-1.4171,940," 940GZZTWPLN","Sunderland"
23449,5,54.91823,-1.3829,940," 940GZZTWSOL","Sunderland"
23449,3,54.91823,-1.3829,940," 940GZZTWSOL","Sunderland"
29097,5,54.91145,-1.3838,910," 910GSNDRMNK","Sunderland"
29097,2,54.91145,-1.3838,910," 910GSNDRMNK","Sunderland"
29097,3,54.91145,-1.3838,910," 910GSNDRMNK","Sunderland"
30669,5,54.90285,-1.39223,940," 940GZZTWUNI","Sunderland"
30669,3,54.90285,-1.39223,940," 940GZZTWUNI","Sunderland"
34182,5,54.90386,-1.44826,940," 940GZZTWSHY","Sunderland"
34182,3,54.90386,-1.44826,940," 940GZZTWSHY","Sunderland"
35077,5,54.90659,-1.40131,940," 940GZZTWMFD","Sunderland"
35077,3,54.90659,-1.40131,940," 940GZZTWMFD","Sunderland"
36943,4,54.90534,-1.3823,910," 910GSNDRLND","Sunderland"
36943,2,54.90534,-1.3823,910," 910GSNDRLND","Sunderland"
36943,3,54.90534,-1.3823,910," 910GSNDRLND","Sunderland"
36943,5,54.90534,-1.3823,910," 910GSNDRLND","Sunderland"
52645,5,54.89248,-1.36575,410,"410000025408","Sunderland"
52646,5,54.89534,-1.36608,410,"410000025409","Sunderland"
52647,5,54.90457,-1.3706,410,"410000025400","Sunderland"
52648,5,54.9004,-1.36669,410,"410000025402","Sunderland"
52649,5,54.89768,-1.36591,410,"410000025403","Sunderland"
52650,5,54.89029,-1.36454,410,"410000025407","Sunderland"
53193,5,54.92791,-1.42738,410,"410000024211","Sunderland"
53197,5,54.92856,-1.44125,410,"410000024216","Sunderland"
54214,5,54.90519,-1.3726,410,"410000025314","Sunderland"
54215,5,54.9056,-1.36991,410,"410000025315","Sunderland"
54216,5,54.90635,-1.36752,410,"410000025316","Sunderland"
54217,5,54.90935,-1.36652,410,"410000025317","Sunderland"
54218,5,54.90919,-1.36657,410,"410000025310","Sunderland"
54219,5,54.90639,-1.36738,410,"410000025311","Sunderland"
54220,5,54.90509,-1.37331,410,"410000025313","Sunderland"
54221,5,54.9105,-1.36478,410,"410000025318","Sunderland"
54222,5,54.91153,-1.3662,410,"410000025319","Sunderland"
56415,5,54.88488,-1.38103,410,"410000029218","Sunderland"
57454,5,54.91768,-1.37219,410,"410000025138","Sunderland"
57455,5,54.91657,-1.37519,410,"410000025139","Sunderland"
58300,5,54.89419,-1.3659,410,"410000025404","Sunderland"
58578,5,54.88763,-1.37049,410,"410000030018","Sunderland"
58664,5,54.89602,-1.42186,410,"410000024483","Sunderland"
58665,5,54.89487,-1.42068,410,"410000024482","Sunderland"
58666,5,54.89507,-1.41645,410,"410000024481","Sunderland"
58669,5,54.89494,-1.4177,410,"410000024484","Sunderland"
59021,5,54.94506,-1.43307,410,"410000017029","Sunderland"
60115,5,54.91631,-1.37909,410,"410000024809","Sunderland"
60116,5,54.91517,-1.44723,410,"410000024808","Sunderland"
60117,5,54.91494,-1.44783,410,"410000024807","Sunderland"
60118,5,54.9252,-1.45083,410,"410000024806","Sunderland"
60119,5,54.91859,-1.42569,410,"410000024805","Sunderland"
60120,5,54.91895,-1.42526,410,"410000024804","Sunderland"
60121,5,54.91493,-1.4504,410,"410000024803","Sunderland"
60122,5,54.9175,-1.4302,410,"410000024801","Sunderland"
60123,5,54.91727,-1.43153,410,"410000024800","Sunderland"
63301,5,54.83658,-1.33613,130,"   13003661A","Sunderland"
63302,5,54.83669,-1.336,130,"   13003661E","Sunderland"
65819,5,54.92366,-1.38051,410,"410000024089","Sunderland"
65820,5,54.91992,-1.3794,410,"410000024087","Sunderland"
65821,5,54.91735,-1.37777,410,"410000024086","Sunderland"
66446,5,54.95144,-1.38359,410,"410000017926","Sunderland"
66447,5,54.93486,-1.39437,410,"410000017927","Sunderland"
66979,5,54.90251,-1.38514,410,"4100024PARHS","Sunderland"
68315,5,54.89805,-1.40874,410,"410000024491","Sunderland"
68316,5,54.89745,-1.41157,410,"410000024492","Sunderland"
68317,5,54.89692,-1.41399,410,"410000024493","Sunderland"
68318,5,54.89644,-1.41618,410,"410000024494","Sunderland"
68320,5,54.89685,-1.41463,410,"410000024496","Sunderland"
68321,5,54.89739,-1.41218,410,"410000024497","Sunderland"
69240,5,54.94085,-1.36822,410,"410000018055","Sunderland"
69241,5,54.94091,-1.37024,410,"410000018054","Sunderland"
69242,5,54.94119,-1.37225,410,"410000018053","Sunderland"
69243,5,54.94211,-1.37403,410,"410000018052","Sunderland"
69244,5,54.94294,-1.37156,410,"410000018051","Sunderland"
69245,5,54.9424,-1.36875,410,"410000018050","Sunderland"
69656,5,54.84951,-1.34532,130,"   13003600G","Sunderland"
69657,5,54.84973,-1.3447,130,"   13003600C","Sunderland"
69704,5,54.92525,-1.40645,410,"410000024811","Sunderland"
69705,5,54.92535,-1.40663,410,"410000024812","Sunderland"
70144,5,54.89594,-1.43976,410,"410000024549","Sunderland"
75239,5,54.9216,-1.37979,410,"410000024099","Sunderland"
75241,5,54.93278,-1.37959,410,"410000024094","Sunderland"
75242,5,54.9323,-1.38229,410,"410000024095","Sunderland"
75243,5,54.92916,-1.38136,410,"410000024096","Sunderland"
75244,5,54.9268,-1.3809,410,"410000024097","Sunderland"
75245,5,54.9272,-1.38112,410,"410000024090","Sunderland"
75246,5,54.93,-1.38196,410,"410000024091","Sunderland"
75247,5,54.9318,-1.38265,410,"410000024092","Sunderland"
75248,5,54.9329,-1.37941,410,"410000024093","Sunderland"
77292,5,54.9143,-1.38235,410,"410000024906","Sunderland"
77295,5,54.91433,-1.38277,410,"410000024904","Sunderland"
77301,5,54.92957,-1.41286,410,"410000024900","Sunderland"
78940,5,54.95363,-1.36882,410,"410000018048","Sunderland"
78941,5,54.95087,-1.36804,410,"410000018049","Sunderland"
78944,5,54.95718,-1.36922,410,"410000018044","Sunderland"
78946,5,54.95797,-1.36928,410,"410000018046","Sunderland"
78947,5,54.95665,-1.36902,410,"410000018047","Sunderland"
78948,5,54.93304,-1.36861,410,"410000018040","Sunderland"
78949,5,54.95741,-1.36579,410,"410000018041","Sunderland"
78950,5,54.95128,-1.36833,410,"410000018042","Sunderland"
78951,5,54.95392,-1.36897,410,"410000018043","Sunderland"
79384,5,54.84475,-1.33743,130,"   13003601H","Sunderland"
79385,5,54.8448,-1.33729,130,"   13003601D","Sunderland"
79704,5,54.89468,-1.43585,410,"410000024558","Sunderland"
79705,5,54.89525,-1.44456,410,"410000024551","Sunderland"
79706,5,54.8967,-1.44181,410,"410000024550","Sunderland"
79707,5,54.89374,-1.44834,410,"410000024552","Sunderland"
79708,5,54.89464,-1.43822,410,"410000024557","Sunderland"
81069,5,54.8854,-1.36909,410,"410000030975","Sunderland"
81337,5,54.94976,-1.40329,410,"410000017153","Sunderland"
