"node","layer","lat","lon","zone","atcocode","city"
142,5,51.3439,-0.18511,490,"490G00011008","Sutton"
910,5,51.34932,-0.19386,490,"490G00007142","Sutton"
3443,5,51.35304,-0.19197,490,"490G00006067","Sutton"
5280,5,51.34735,-0.18154,490,"490G00014520","Sutton"
5345,5,51.37141,-0.21878,490,"490G00008065","Sutton"
6235,5,51.34381,-0.19885,490,"    910GBELM","Sutton"
6235,2,51.34381,-0.19885,490,"    910GBELM","Sutton"
8142,2,51.35953,-0.19121,490,"  910GSUTTON","Sutton"
8142,5,51.35953,-0.19121,490,"  910GSUTTON","Sutton"
10471,5,51.33994,-0.19411,400,"400G4409033A","Sutton"
15218,5,51.34869,-0.20301,490,"490G00008284","Sutton"
19290,5,51.36606,-0.22367,490,"490G00009524","Sutton"
20503,5,51.34811,-0.22439,400,"400G4406048A","Sutton"
23964,2,51.35548,-0.21417,490,"   910GCHEAM","Sutton"
23964,5,51.35548,-0.21417,490,"   910GCHEAM","Sutton"
24409,5,51.34734,-0.1734,490,"490G00014888","Sutton"
31530,5,51.33631,-0.19484,400,"400G4409034A","Sutton"
34017,5,51.36803,-0.21809,490,"490G00003048","Sutton"
35711,5,51.37266,-0.20581,490,"490G00005503","Sutton"
35882,5,51.36139,-0.21863,490,"490G00009451","Sutton"
36334,5,51.37033,-0.20343,490,"490G00003202","Sutton"
36484,5,51.34993,-0.22306,400,"400G4406102A","Sutton"
37712,5,51.35744,-0.22096,490,"490G00010294","Sutton"
38033,5,51.3599,-0.20595,490,"490G00007103","Sutton"
38991,5,51.3721,-0.20919,490,"490G00007106","Sutton"
38992,5,51.36132,-0.20568,490,"490G00007104","Sutton"
40360,2,51.36585,-0.20517,490," 910GWSUTTON","Sutton"
40360,5,51.36585,-0.20517,490," 910GWSUTTON","Sutton"
40583,5,51.36342,-0.22024,490,"490G00013668","Sutton"
42815,5,51.36916,-0.19871,490,"490G00013063","Sutton"
43929,5,51.36785,-0.19698,490,"490G00005844","Sutton"
44605,5,51.37106,-0.21352,490,"490G00014776","Sutton"
47274,5,51.35409,-0.20279,490,"490G00007360","Sutton"
47275,5,51.35497,-0.19688,490,"490G00007361","Sutton"
49964,5,51.35098,-0.17897,490,"490G00005822","Sutton"
52954,5,51.36548,-0.1954,490,"  490011856W","Sutton"
57794,5,51.35068,-0.2148,490,"  490006066N","Sutton"
64350,5,51.34129,-0.18879,490,"  490006185E","Sutton"
87553,5,51.34337,-0.19119,490,"  490011767L","Sutton"
100272,5,51.35231,-0.20383,490,"  490008283N","Sutton"
104664,5,51.35689,-0.18793,490,"  490007987E","Sutton"
105134,5,51.36872,-0.19996,490,"  490004646S","Sutton"
108167,5,51.35723,-0.18598,490,"  490003293E","Sutton"
116049,5,51.34718,-0.17639,490,"  490016743W","Sutton"
117721,5,51.35249,-0.21489,490,"  490014427S","Sutton"
121011,5,51.36871,-0.20114,490,"  490005504N","Sutton"
122964,5,51.36374,-0.19189,490,"  490013679J","Sutton"
130438,5,51.37308,-0.20986,490,"  490016058N","Sutton"
133261,5,51.3475,-0.21432,490,"  490012275S","Sutton"
138955,5,51.36054,-0.20269,490,"  490014453E","Sutton"
147575,5,51.36803,-0.22517,490,"  490005059S","Sutton"
155081,5,51.36191,-0.1945,490,"  490013064V","Sutton"
156581,5,51.36953,-0.2219,490,"  490007945S","Sutton"
157411,5,51.3415,-0.18782,490,"  490003589S","Sutton"
159327,5,51.35141,-0.20312,490,"  490008285S","Sutton"
160201,5,51.34852,-0.17924,490,"   490016744","Sutton"
161855,5,51.35155,-0.19238,490,"  490006458S","Sutton"
175081,5,51.36097,-0.19923,490,"  490012085W","Sutton"
185886,5,51.3479,-0.17781,490,"  490016739E","Sutton"
189447,5,51.37036,-0.20797,490,"  490016056N","Sutton"
192479,5,51.35094,-0.17389,490,"  490007058N","Sutton"
201819,5,51.34915,-0.17366,490,"  490014885S","Sutton"
211190,5,51.35339,-0.21571,490,"  490007218N","Sutton"
217644,5,51.33805,-0.19006,400,"40004409330A","Sutton"
224836,5,51.36074,-0.19539,490,"  490013080T","Sutton"
236446,5,51.36314,-0.20641,490,"  490016062S","Sutton"
251963,5,51.36127,-0.19739,490,"  490011969U","Sutton"
