"node","layer","lat","lon","zone","atcocode","city"
3239,5,51.64872,-4.03597,910," 910GGOWERTN","Swansea"
3239,2,51.64872,-4.03597,910," 910GGOWERTN","Swansea"
3488,2,51.62514,-3.94158,910," 910GSWANSEA","Swansea"
3488,5,51.62514,-3.94158,910," 910GSWANSEA","Swansea"
51538,5,51.61727,-3.94729,581,"5810WDB47290","Swansea"
51669,5,51.65872,-3.903,581,"5810AWC52193","Swansea"
51694,5,51.66309,-3.91499,581,"5810AWC52198","Swansea"
51704,5,51.66465,-3.91433,581,"5810AWC52199","Swansea"
51944,5,51.65439,-3.98506,581,"5810AWC51383","Swansea"
51980,5,51.65079,-3.978,581,"5810AWC51388","Swansea"
52293,5,51.64269,-3.95273,581,"5810AWC52076","Swansea"
52295,5,51.64438,-3.94642,581,"5810AWC52078","Swansea"
52617,5,51.61593,-3.99194,581,"5810AWC50189","Swansea"
52618,5,51.61586,-3.99184,581,"5810AWC50188","Swansea"
52619,5,51.61702,-3.97973,581,"5810AWC50181","Swansea"
52620,5,51.61759,-3.98362,581,"5810AWC50182","Swansea"
52621,5,51.61769,-3.98727,581,"5810AWC50185","Swansea"
52622,5,51.61792,-3.98549,581,"5810AWC50184","Swansea"
52623,5,51.61638,-3.98915,581,"5810AWC50187","Swansea"
52624,5,51.61662,-3.98906,581,"5810AWC50186","Swansea"
53281,5,51.70666,-3.97329,581,"5810SWX18356","Swansea"
53312,5,51.58302,-4.0161,581,"5810AWO26345","Swansea"
53316,5,51.67238,-3.93084,581,"5810WDB22859","Swansea"
53787,5,51.64792,-3.95293,581,"5810AWC51461","Swansea"
53788,5,51.64843,-3.95312,581,"5810AWC51460","Swansea"
53789,5,51.64566,-3.95558,581,"5810AWC51463","Swansea"
53790,5,51.64472,-3.96106,581,"5810AWC51464","Swansea"
53791,5,51.64505,-3.96229,581,"5810AWC51466","Swansea"
54352,5,51.64227,-3.971,581,"5810AWC51413","Swansea"
54354,5,51.64121,-3.9582,581,"5810AWC51418","Swansea"
54355,5,51.6418,-3.95535,581,"5810AWC51419","Swansea"
54943,5,51.59091,-4.06956,581,"5810AWC50276","Swansea"
54944,5,51.59091,-4.06969,581,"5810AWC50275","Swansea"
54946,5,51.60245,-4.06118,581,"5810AWC50278","Swansea"
55036,5,51.57233,-4.01554,581,"5810AWC50132","Swansea"
55598,5,51.64681,-3.9122,581,"5810AWC52299","Swansea"
55600,5,51.64871,-3.90952,581,"5810AWC52297","Swansea"
55602,5,51.65046,-3.90779,581,"5810AWC52295","Swansea"
55603,5,51.64938,-3.90653,581,"5810AWC52294","Swansea"
55604,5,51.64928,-3.9065,581,"5810AWC52293","Swansea"
55605,5,51.64763,-3.90806,581,"5810AWC52292","Swansea"
55706,5,51.67096,-3.92404,581,"5810AWC51299","Swansea"
56382,5,51.643,-3.95212,581,"5810AWC52077","Swansea"
57358,5,51.67341,-3.99309,581,"5810WDB24179","Swansea"
58748,5,51.64691,-4.0423,581,"5810AWC50528","Swansea"
58792,5,51.64364,-4.03434,581,"5810AWC50522","Swansea"
58801,5,51.63857,-4.03268,581,"5810AWC50521","Swansea"
59692,5,51.66146,-3.90587,581,"5810AWC52196","Swansea"
59693,5,51.66155,-3.90671,581,"5810AWC52197","Swansea"
59695,5,51.65088,-3.91774,581,"5810AWC52191","Swansea"
60604,5,51.62003,-3.9374,581,"5810AWC50328","Swansea"
60693,5,51.62241,-3.94237,581,"5810AWC50325","Swansea"
62297,5,51.61261,-4.00377,581,"5810AWC50198","Swansea"
62298,5,51.61452,-4.00672,581,"5810AWC50196","Swansea"
62299,5,51.61192,-4.00376,581,"5810AWC50197","Swansea"
62300,5,51.61535,-4.00031,581,"5810AWC50194","Swansea"
62302,5,51.61524,-3.99859,581,"5810AWC50192","Swansea"
62303,5,51.61557,-3.99963,581,"5810AWC50193","Swansea"
62304,5,51.616,-3.99485,581,"5810AWC50190","Swansea"
62305,5,51.61556,-3.99642,581,"5810AWC50191","Swansea"
64629,5,51.58019,-4.06679,581,"5810AWC50259","Swansea"
64654,5,51.58287,-4.06225,581,"5810AWC50258","Swansea"
65173,5,51.64107,-3.91065,581,"5810AWC52288","Swansea"
65174,5,51.64204,-3.91008,581,"5810AWC52284","Swansea"
65175,5,51.64204,-3.90986,581,"5810AWC52285","Swansea"
