"node","layer","lat","lon","zone","atcocode","city"
8561,4,51.56547,-1.78551,910,"    910GSDON","Swindon"
8561,2,51.56547,-1.78551,910,"    910GSDON","Swindon"
8561,5,51.56547,-1.78551,910,"    910GSDON","Swindon"
8661,4,51.54679,-1.74274,468,"900GNX001416","Swindon"
8661,5,51.54679,-1.74274,468,"900GNX001416","Swindon"
14941,4,51.55924,-1.76322,468,"900GNX001418","Swindon"
14941,5,51.55924,-1.76322,468,"900GNX001418","Swindon"
18172,4,51.54257,-1.90313,460,"900GNX002684","Swindon"
18172,5,51.54257,-1.90313,460,"900GNX002684","Swindon"
51573,5,51.6002,-1.79602,468,"4680SWA90855","Swindon"
51574,5,51.55742,-1.77913,468,"4680SWA90854","Swindon"
51575,5,51.57742,-1.7732,468,"4680SWA90853","Swindon"
54573,5,51.54716,-1.84582,468,"4680WIA12795","Swindon"
55071,5,51.55324,-1.79051,468,"4680SWA10451","Swindon"
57155,5,51.54843,-1.70228,468,"4680TTY38533","Swindon"
57156,5,51.52999,-1.79238,468,"4680TTY38531","Swindon"
57157,5,51.54884,-1.67888,468,"4680TTY38536","Swindon"
57161,5,51.5503,-1.65336,468,"4680TTY38538","Swindon"
57162,5,51.55128,-1.64765,468,"4680TTY38539","Swindon"
57622,5,51.52311,-1.78639,468,"4680SWA10869","Swindon"
57623,5,51.52277,-1.79544,468,"4680SWA10860","Swindon"
57624,5,51.52288,-1.79522,468,"4680SWA10861","Swindon"
57625,5,51.51777,-1.80747,468,"4680SWA10862","Swindon"
57626,5,51.51814,-1.80711,468,"4680SWA10863","Swindon"
58166,5,51.57167,-1.79405,468,"4680SWA10609","Swindon"
58282,5,51.57798,-1.83097,468,"4680SWA10638","Swindon"
58287,5,51.58145,-1.782,468,"4680SWA10631","Swindon"
58290,5,51.58007,-1.83051,468,"4680SWA10634","Swindon"
58291,5,51.57797,-1.82874,468,"4680SWA10637","Swindon"
58635,5,51.54852,-1.84828,468,"4680SWA11020","Swindon"
58636,5,51.6071,-1.79918,468,"4680SWA11025","Swindon"
58637,5,51.60685,-1.79893,468,"4680SWA11024","Swindon"
58638,5,51.61214,-1.77694,468,"4680SWA11029","Swindon"
58639,5,51.59636,-1.80559,468,"4680SWA11028","Swindon"
59655,5,51.59258,-1.78647,468,"4680SWA10184","Swindon"
59674,5,51.59357,-1.74514,468,"4680SWA10785","Swindon"
59677,5,51.59769,-1.74161,468,"4680SWA10787","Swindon"
59681,5,51.60463,-1.73636,468,"4680SWA10789","Swindon"
59971,5,51.56378,-1.75975,468,"4680SWA10125","Swindon"
59972,5,51.56492,-1.7561,468,"4680SWA10124","Swindon"
59973,5,51.56201,-1.75907,468,"4680SWA10127","Swindon"
59974,5,51.56393,-1.75982,468,"4680SWA10126","Swindon"
59975,5,51.56199,-1.7525,468,"4680SWA10120","Swindon"
59976,5,51.5651,-1.75683,468,"4680SWA10123","Swindon"
59977,5,51.5609,-1.75629,468,"4680SWA10129","Swindon"
59978,5,51.56242,-1.75989,468,"4680SWA10128","Swindon"
61266,5,51.54996,-1.83654,468,"4680SWA90842","Swindon"
61267,5,51.55385,-1.83068,468,"4680SWA90840","Swindon"
61268,5,51.54997,-1.83677,468,"4680SWA90841","Swindon"
61270,5,51.56798,-1.80864,468,"4680SWA90847","Swindon"
63753,5,51.59929,-1.8141,468,"4680SWA01153","Swindon"
64569,5,51.58492,-1.77657,468,"4680SWA10243","Swindon"
64593,5,51.58408,-1.78245,468,"4680SWA10246","Swindon"
64679,5,51.55635,-1.76035,468,"4680SWA10444","Swindon"
64680,5,51.55959,-1.77237,468,"4680SWA10445","Swindon"
64682,5,51.55621,-1.76048,468,"4680SWA10443","Swindon"
64683,5,51.55569,-1.76597,468,"4680SWA10440","Swindon"
64684,5,51.55552,-1.76539,468,"4680SWA10441","Swindon"
65522,5,51.57263,-1.86774,460,"4600WIA64213","Swindon"
65612,5,51.55074,-1.77407,468,"4680TTZ01253","Swindon"
65618,5,51.58969,-1.67371,340,"340001025NOR","Swindon"
66783,5,51.61361,-1.74739,468,"4680TTY38507","Swindon"
66784,5,51.61123,-1.74451,468,"4680TTY38506","Swindon"
66785,5,51.61103,-1.74157,468,"4680TTY38504","Swindon"
66789,5,51.62408,-1.73563,468,"4680TTY38508","Swindon"
67756,5,51.57288,-1.87172,460,"4600WIA12807","Swindon"
67933,5,51.57968,-1.78332,468,"4680SWA10628","Swindon"
67934,5,51.57939,-1.78373,468,"4680SWA10629","Swindon"
67935,5,51.57749,-1.78509,468,"4680SWA10626","Swindon"
67936,5,51.57329,-1.78628,468,"4680SWA10624","Swindon"
67937,5,51.57355,-1.78654,468,"4680SWA10625","Swindon"
67938,5,51.5717,-1.78578,468,"4680SWA10622","Swindon"
67939,5,51.5717,-1.78568,468,"4680SWA10623","Swindon"
67940,5,51.57169,-1.78173,468,"4680SWA10620","Swindon"
67941,5,51.57175,-1.78209,468,"4680SWA10621","Swindon"
68016,5,51.56248,-1.75175,468,"4680SWA10119","Swindon"
68388,5,51.62551,-1.71287,468,"4680TTY38438","Swindon"
69569,5,51.55564,-1.75006,468,"4680SWA10138","Swindon"
69570,5,51.55493,-1.74796,468,"4680SWA10139","Swindon"
69571,5,51.55914,-1.7594,468,"4680SWA10132","Swindon"
69572,5,51.55501,-1.75531,468,"4680SWA10133","Swindon"
69573,5,51.56046,-1.75687,468,"4680SWA10130","Swindon"
69574,5,51.55891,-1.75963,468,"4680SWA10131","Swindon"
69575,5,51.55394,-1.74943,468,"4680SWA10136","Swindon"
69576,5,51.55479,-1.75621,468,"4680SWA10134","Swindon"
69577,5,51.55393,-1.75033,468,"4680SWA10135","Swindon"
72952,5,51.55842,-1.77863,468,"4680SWA10450","Swindon"
72953,5,51.55397,-1.7933,468,"4680SWA10453","Swindon"
72954,5,51.5535,-1.79098,468,"4680SWA10452","Swindon"
72955,5,51.55422,-1.7941,468,"4680SWA10454","Swindon"
74115,5,51.56154,-1.80223,468,"4680SWA10479","Swindon"
74121,5,51.56212,-1.79193,468,"4680SWA10471","Swindon"
74122,5,51.5621,-1.79163,468,"4680SWA10470","Swindon"
75020,5,51.60406,-1.79126,468,"4680SWA10559","Swindon"
76341,5,51.63062,-1.71107,468,"4680TTY38515","Swindon"
76343,5,51.62969,-1.71178,468,"4680TTY38517","Swindon"
76349,5,51.52,-1.7631,468,"4680TTY38518","Swindon"
77537,5,51.58545,-1.88088,460,"4600WIA12925","Swindon"
77539,5,51.48192,-1.73217,460,"4600WIA12927","Swindon"
77540,5,51.48189,-1.73227,460,"4600WIA12926","Swindon"
77543,5,51.58698,-1.88368,460,"4600WIA12923","Swindon"
77603,5,51.5721,-1.77842,468,"4680SWA10619","Swindon"
77604,5,51.57201,-1.77838,468,"4680SWA10618","Swindon"
79269,5,51.57889,-1.84309,460,"4600WIA12819","Swindon"
79270,5,51.56738,-1.85018,460,"4600WIA12818","Swindon"
79271,5,51.5704,-1.86206,460,"4600WIA12811","Swindon"
79272,5,51.57208,-1.86488,460,"4600WIA12810","Swindon"
79273,5,51.56957,-1.86019,460,"4600WIA12813","Swindon"
79275,5,51.56888,-1.85612,460,"4600WIA12815","Swindon"
79276,5,51.56905,-1.85844,460,"4600WIA12814","Swindon"
79277,5,51.56802,-1.85076,460,"4600WIA12817","Swindon"
79278,5,51.56871,-1.85582,460,"4600WIA12816","Swindon"
79335,5,51.57075,-1.73918,468,"4680SWA10109","Swindon"
79336,5,51.57176,-1.74167,468,"4680SWA10108","Swindon"
79337,5,51.57192,-1.74159,468,"4680SWA10107","Swindon"
79338,5,51.57377,-1.74312,468,"4680SWA10106","Swindon"
79339,5,51.57404,-1.74315,468,"4680SWA10105","Swindon"
79340,5,51.57267,-1.74888,468,"4680SWA10104","Swindon"
79341,5,51.57311,-1.74859,468,"4680SWA10103","Swindon"
79342,5,51.57433,-1.7442,468,"4680SWA10102","Swindon"
79343,5,51.57468,-1.74303,468,"4680SWA10101","Swindon"
79344,5,51.57499,-1.74093,468,"4680SWA10100","Swindon"
80794,5,51.56365,-1.78311,468,"4680SWA10273","Swindon"
80795,5,51.5637,-1.78314,468,"4680SWA10272","Swindon"
80796,5,51.56361,-1.7831,468,"4680SWA10275","Swindon"
