"node","layer","lat","lon","zone","atcocode","city"
21038,2,52.63713,-1.68728,910," 910GTMWTHLL","Tamworth"
21038,5,52.63713,-1.68728,910," 910GTMWTHLL","Tamworth"
29202,2,52.61086,-1.6795,910," 910GWILNECT","Tamworth"
29202,5,52.61086,-1.6795,910," 910GWILNECT","Tamworth"
48202,5,52.62593,-1.60995,910,"    910GPWTH","Tamworth"
48202,2,52.62593,-1.60995,910,"    910GPWTH","Tamworth"
52260,5,52.67673,-1.68898,380," 3800C403200","Tamworth"
52261,5,52.67656,-1.68928,380," 3800C403201","Tamworth"
52528,5,52.63363,-1.69216,380," 3800C904400","Tamworth"
52812,5,52.64753,-1.70235,380," 3800C923102","Tamworth"
52813,5,52.64692,-1.70111,380," 3800C923101","Tamworth"
52844,5,52.62625,-1.70162,380," 3800C919701","Tamworth"
52845,5,52.62619,-1.70237,380," 3800C919702","Tamworth"
53838,5,52.62846,-1.66613,380," 3800C914702","Tamworth"
53839,5,52.62813,-1.66634,380," 3800C914701","Tamworth"
54306,5,52.61299,-1.68721,380," 3800C925801","Tamworth"
54309,5,52.61348,-1.68934,380," 3800C925802","Tamworth"
54756,5,52.59602,-1.68573,380," 3800C900901","Tamworth"
54758,5,52.59597,-1.6856,380," 3800C900900","Tamworth"
55561,5,52.58348,-1.59929,420," 4200F171101","Tamworth"
55562,5,52.58326,-1.5993,420," 4200F171102","Tamworth"
55701,5,52.64484,-1.71272,380," 3800C918501","Tamworth"
56160,5,52.6463,-1.703,380," 3800C905902","Tamworth"
56162,5,52.64625,-1.70317,380," 3800C905901","Tamworth"
56453,5,52.60535,-1.65021,380," 3800C903401","Tamworth"
56454,5,52.60522,-1.65064,380," 3800C903400","Tamworth"
56549,5,52.6265,-1.66479,380," 3800C913102","Tamworth"
58099,5,52.64588,-1.69729,380," 3800C924101","Tamworth"
58541,5,52.56007,-1.68217,420," 4200F033300","Tamworth"
58543,5,52.56578,-1.6812,420," 4200F033301","Tamworth"
60875,5,52.64563,-1.69894,380," 3800C923201","Tamworth"
61325,5,52.61971,-1.68058,380," 3800C921402","Tamworth"
61981,5,52.63087,-1.67214,380," 3800C914402","Tamworth"
62635,5,52.63551,-1.69572,380," 3800C909802","Tamworth"
64058,5,52.62758,-1.70938,380," 3800C916001","Tamworth"
64906,5,52.61557,-1.61701,420," 4200F176101","Tamworth"
64907,5,52.61553,-1.61681,420," 4200F176102","Tamworth"
65083,5,52.61659,-1.67965,380," 3800C907902","Tamworth"
66125,5,52.64633,-1.69558,380," 3800C924001","Tamworth"
66221,5,52.61914,-1.6332,420," 4200F175901","Tamworth"
66342,5,52.60525,-1.66244,380," 3800C906101","Tamworth"
67181,5,52.6105,-1.6158,420," 4200F179502","Tamworth"
67373,5,52.61593,-1.65518,380," 3800C910902","Tamworth"
67465,5,52.64895,-1.70893,380," 3800C905101","Tamworth"
