"node","layer","lat","lon","zone","atcocode","city"
621,4,50.979,-3.22703,360,"900GNX001683","Taunton"
621,5,50.979,-3.22703,360,"900GNX001683","Taunton"
2014,5,51.02329,-3.10277,910," 910GTAUNTON","Taunton"
2014,2,51.02329,-3.10277,910," 910GTAUNTON","Taunton"
51873,5,51.0609,-3.11452,360,"3600SOC30980","Taunton"
55714,5,51.05776,-3.01617,360,"3600SOC30627","Taunton"
55826,5,51.02937,-3.14002,360,"3600SOA30004","Taunton"
57240,5,51.03164,-3.06079,360,"3600SOA10432","Taunton"
57241,5,51.03171,-3.06089,360,"3600SOA10433","Taunton"
61198,5,51.03545,-3.09062,360,"3600SOC31179","Taunton"
62846,5,51.02763,-3.12691,360,"3600SOA14127","Taunton"
63118,5,51.02695,-3.12514,360,"3600SOA10242","Taunton"
63125,5,51.00759,-3.11645,360,"3600SOC30934","Taunton"
64112,5,51.01944,-3.04801,360,"3600SOC31018","Taunton"
66873,5,51.06241,-3.0353,360,"3600SOA10403","Taunton"
66877,5,51.05907,-3.03491,360,"3600SOA10405","Taunton"
66878,5,51.06225,-3.03509,360,"3600SOA10404","Taunton"
67401,5,50.99969,-3.21888,360,"3600SOY38719","Taunton"
67404,5,50.99962,-3.20542,360,"3600SOY38715","Taunton"
67405,5,51.01482,-3.19641,360,"3600SOY38714","Taunton"
67406,5,50.99967,-3.20576,360,"3600SOY38716","Taunton"
67407,5,51.02589,-3.20933,360,"3600SOY38711","Taunton"
67408,5,51.01512,-3.19688,360,"3600SOY38713","Taunton"
67409,5,51.02345,-3.20715,360,"3600SOY38712","Taunton"
69892,5,50.97838,-2.9978,360,"3600SOB20360","Taunton"
69893,5,50.97138,-2.99772,360,"3600SOB20361","Taunton"
69894,5,50.96552,-2.99547,360,"3600SOB20363","Taunton"
69895,5,50.97113,-2.99858,360,"3600SOB20365","Taunton"
70780,5,51.01861,-3.08756,360,"3600SOC31082","Taunton"
73051,5,50.99273,-3.11498,360,"3600SOX38515","Taunton"
73106,5,50.98677,-3.1224,360,"3600SOX38518","Taunton"
75763,5,51.01454,-3.11217,360,"3600SOX28780","Taunton"
75764,5,51.01445,-3.11187,360,"3600SOX28781","Taunton"
76445,5,51.05533,-3.19054,360,"3600SOA10110","Taunton"
79367,5,50.99073,-3.17955,360,"3600SOA10071","Taunton"
79671,5,50.99479,-3.08166,360,"3600SOB20311","Taunton"
79672,5,50.99483,-3.08181,360,"3600SOB20310","Taunton"
79954,5,51.012,-3.08083,360,"3600SOX38487","Taunton"
80464,5,50.95909,-3.207,360,"3600SOY38566","Taunton"
