"node","layer","lat","lon","zone","atcocode","city"
24143,5,52.70132,-2.51716,910," 910GWELNGTN","Telford"
24143,2,52.70132,-2.51716,910," 910GWELNGTN","Telford"
33317,5,52.66609,-2.37185,910," 910GSHIFNAL","Telford"
33317,2,52.66609,-2.37185,910," 910GSHIFNAL","Telford"
38988,2,52.68112,-2.44098,910," 910GTELFRDC","Telford"
38988,5,52.68112,-2.44098,910," 910GTELFRDC","Telford"
39680,2,52.69341,-2.45019,910," 910GOAKNGTS","Telford"
39680,5,52.69341,-2.45019,910," 910GOAKNGTS","Telford"
51605,5,52.70648,-2.49394,359," 3590E062500","Telford"
52092,5,52.71533,-2.49712,359," 3590E061900","Telford"
52999,5,52.71713,-2.53158,359," 3590E098800","Telford"
53034,5,52.69324,-2.5063,359," 3590E067000","Telford"
53035,5,52.69319,-2.50653,359," 3590E067001","Telford"
53134,5,52.67387,-2.47439,359," 3590E030900","Telford"
54001,5,52.66303,-2.48103,359," 3590E032800","Telford"
54130,5,52.71123,-2.49078,359," 3590E059700","Telford"
54456,5,52.69831,-2.52426,359," 3590E005100","Telford"
54510,5,52.70479,-2.43857,359," 3590E045400","Telford"
54855,5,52.63874,-2.44014,359," 3590E021700","Telford"
54873,5,52.70642,-2.52485,359," 3590E003800","Telford"
54981,5,52.69583,-2.44951,359," 3590E010500","Telford"
55038,5,52.62702,-2.44327,359," 3590E098200","Telford"
55608,5,52.71914,-2.44246,359," 3590E054600","Telford"
56055,5,52.63838,-2.47794,359," 3590E023300","Telford"
56070,5,52.69596,-2.35781,350," 3500B018600","Telford"
56210,5,52.71283,-2.44302,359," 3590E050400","Telford"
56220,5,52.70826,-2.48789,359," 3590E060100","Telford"
56263,5,52.67618,-2.57782,350," 3500B142801","Telford"
56768,5,52.63816,-2.44549,359," 3590E019200","Telford"
56796,5,52.71003,-2.52402,359," 3590E064300","Telford"
56843,5,52.74422,-2.39863,359," 3590E075400","Telford"
56867,5,52.71314,-2.45307,359," 3590E051500","Telford"
57133,5,52.67557,-2.4474,359," 3590E105100","Telford"
57627,5,52.69717,-2.50912,359," 3590E002000","Telford"
57790,5,52.62693,-2.47316,359," 3590E035700","Telford"
58138,5,52.66882,-2.46094,359," 3590E029000","Telford"
58323,5,52.71466,-2.43729,359," 3590E046700","Telford"
58419,5,52.69283,-2.5176,359," 3590E007000","Telford"
58899,5,52.68944,-2.44009,359," 3590E042900","Telford"
59496,5,52.66894,-2.37313,350," 3500B218700","Telford"
59769,5,52.6947,-2.4368,359," 3590E043600","Telford"
60026,5,52.63905,-2.43961,359," 3590E021600","Telford"
60057,5,52.71189,-2.49753,359," 3590E061800","Telford"
60432,5,52.63649,-2.44411,359," 3590E019300","Telford"
61971,5,52.62606,-2.47263,359," 3590E035800","Telford"
62593,5,52.69923,-2.52158,359," 3590E005000","Telford"
62960,5,52.69607,-2.44974,359," 3590E010400","Telford"
63299,5,52.69933,-2.46168,359," 3590E012300","Telford"
63400,5,52.665,-2.46609,359," 3590E027800","Telford"
63531,5,52.72306,-2.34897,350," 3500B028900","Telford"
63532,5,52.72306,-2.34904,350," 3500B028901","Telford"
63635,5,52.67456,-2.46131,359," 3590E037700","Telford"
64012,5,52.63889,-2.47765,359," 3590E023200","Telford"
64115,5,52.67876,-2.45868,359," 3590E108300","Telford"
