"node","layer","lat","lon","zone","atcocode","city"
23669,2,50.46112,-3.5433,910," 910GTORQUAY","Torquay"
23669,5,50.46112,-3.5433,910," 910GTORQUAY","Torquay"
27141,5,50.47317,-3.54644,910,"   910GTORRE","Torquay"
27141,2,50.47317,-3.54644,910,"   910GTORRE","Torquay"
54366,5,50.46286,-3.54911,119,"1190TOA10772","Torquay"
54367,5,50.46281,-3.54572,119,"1190TOA10770","Torquay"
54368,5,50.46313,-3.54538,119,"1190TOA10771","Torquay"
54369,5,50.46385,-3.55425,119,"1190TOA10776","Torquay"
54370,5,50.46323,-3.55016,119,"1190TOA10774","Torquay"
54371,5,50.46367,-3.5525,119,"1190TOA10775","Torquay"
54373,5,50.46569,-3.5541,119,"1190TOA10779","Torquay"
56586,5,50.46677,-3.54067,119,"1190TOA11121","Torquay"
56587,5,50.47836,-3.56381,119,"1190TOA11122","Torquay"
56588,5,50.45817,-3.52424,119,"1190TOA11123","Torquay"
56589,5,50.46117,-3.52428,119,"1190TOA11124","Torquay"
57933,5,50.47315,-3.51801,119,"1190TOA10851","Torquay"
57934,5,50.47188,-3.51586,119,"1190TOA10850","Torquay"
57935,5,50.47232,-3.52773,119,"1190TOA10859","Torquay"
57936,5,50.47187,-3.52743,119,"1190TOA10858","Torquay"
64021,5,50.4739,-3.55689,119,"1190TOA10747","Torquay"
64022,5,50.47447,-3.5596,119,"1190TOA10746","Torquay"
64023,5,50.47459,-3.56072,119,"1190TOA10745","Torquay"
64024,5,50.47528,-3.56206,119,"1190TOA10742","Torquay"
64025,5,50.47591,-3.56165,119,"1190TOA10741","Torquay"
64026,5,50.47928,-3.56767,119,"1190TOA10740","Torquay"
64027,5,50.4732,-3.55621,119,"1190TOA10749","Torquay"
65603,5,50.46168,-3.51198,119,"1190TOA10517","Torquay"
67403,5,50.46639,-3.51932,119,"1190TOA10896","Torquay"
67605,5,50.47495,-3.5129,119,"1190TOA10840","Torquay"
67606,5,50.47581,-3.51654,119,"1190TOA10842","Torquay"
67607,5,50.47586,-3.51664,119,"1190TOA10843","Torquay"
67608,5,50.47413,-3.51734,119,"1190TOA10844","Torquay"
67609,5,50.47403,-3.51694,119,"1190TOA10845","Torquay"
67610,5,50.47123,-3.5138,119,"1190TOA10847","Torquay"
67611,5,50.47119,-3.51392,119,"1190TOA10848","Torquay"
67612,5,50.47197,-3.51576,119,"1190TOA10849","Torquay"
70573,5,50.48333,-3.55641,119,"1190TOX28466","Torquay"
70574,5,50.48045,-3.56354,119,"1190TOX28467","Torquay"
70575,5,50.47708,-3.52795,119,"1190TOX28464","Torquay"
70576,5,50.4832,-3.55642,119,"1190TOX28465","Torquay"
70577,5,50.48284,-3.53328,119,"1190TOX28462","Torquay"
70578,5,50.48031,-3.52758,119,"1190TOX28463","Torquay"
70579,5,50.48467,-3.54429,119,"1190TOX28460","Torquay"
70580,5,50.48465,-3.5439,119,"1190TOX28461","Torquay"
72561,5,50.48559,-3.56352,119,"1190TOA10528","Torquay"
73462,5,50.4714,-3.5528,119,"1190TOA10754","Torquay"
73463,5,50.46948,-3.5522,119,"1190TOA10757","Torquay"
73464,5,50.47303,-3.55508,119,"1190TOA10751","Torquay"
73465,5,50.4727,-3.55446,119,"1190TOA10752","Torquay"
73466,5,50.47141,-3.55288,119,"1190TOA10753","Torquay"
73468,5,50.46814,-3.54991,119,"1190TOA10758","Torquay"
77209,5,50.47669,-3.51384,119,"1190TOA10835","Torquay"
77210,5,50.477,-3.51601,119,"1190TOA10834","Torquay"
77211,5,50.47511,-3.512,119,"1190TOA10837","Torquay"
77212,5,50.47659,-3.51377,119,"1190TOA10836","Torquay"
77213,5,50.4779,-3.51686,119,"1190TOA10831","Torquay"
77214,5,50.47832,-3.51773,119,"1190TOA10830","Torquay"
77215,5,50.47707,-3.516,119,"1190TOA10833","Torquay"
77216,5,50.47745,-3.51621,119,"1190TOA10832","Torquay"
77218,5,50.47612,-3.51576,119,"1190TOA10839","Torquay"
77219,5,50.47564,-3.5116,119,"1190TOA10838","Torquay"
79413,5,50.49109,-3.54253,119,"1190TOZ00843","Torquay"
79416,5,50.49133,-3.54457,119,"1190TOZ00846","Torquay"
79417,5,50.49123,-3.54449,119,"1190TOZ00847","Torquay"
80327,5,50.48233,-3.55131,119,"1190TOX28457","Torquay"
80328,5,50.48288,-3.55299,119,"1190TOX28456","Torquay"
80329,5,50.48298,-3.55301,119,"1190TOX28455","Torquay"
80330,5,50.48359,-3.54821,119,"1190TOX28459","Torquay"
80331,5,50.48382,-3.54828,119,"1190TOX28458","Torquay"
84908,5,50.47157,-3.54132,119,"1190TOA10695","Torquay"
84909,5,50.47174,-3.54204,119,"1190TOA10696","Torquay"
84910,5,50.46864,-3.5331,119,"1190TOA10691","Torquay"
84911,5,50.46856,-3.53299,119,"1190TOA10690","Torquay"
84913,5,50.46869,-3.53323,119,"1190TOA10692","Torquay"
85407,5,50.48024,-3.56142,119,"1190TOA11171","Torquay"
86159,5,50.45517,-3.55242,119,"1190TOA10449","Torquay"
86871,5,50.48094,-3.52206,119,"1190TOA10828","Torquay"
86872,5,50.47906,-3.52222,119,"1190TOA10829","Torquay"
86873,5,50.48711,-3.54244,119,"1190TOA10823","Torquay"
86874,5,50.48968,-3.5499,119,"1190TOA10820","Torquay"
86875,5,50.47978,-3.52511,119,"1190TOA10826","Torquay"
86876,5,50.48091,-3.5221,119,"1190TOA10827","Torquay"
86877,5,50.48739,-3.54276,119,"1190TOA10824","Torquay"
94659,5,50.46492,-3.52666,119,"1190TOA10688","Torquay"
94660,5,50.46851,-3.53289,119,"1190TOA10689","Torquay"
94661,5,50.46736,-3.5343,119,"1190TOA10682","Torquay"
94662,5,50.4683,-3.53301,119,"1190TOA10683","Torquay"
94663,5,50.46527,-3.52885,119,"1190TOA10680","Torquay"
94664,5,50.46527,-3.52856,119,"1190TOA10681","Torquay"
94665,5,50.46764,-3.531,119,"1190TOA10686","Torquay"
95225,5,50.46489,-3.55409,119,"1190TOA11165","Torquay"
95806,5,50.46605,-3.50674,119,"1190TOA01080","Torquay"
96672,5,50.48983,-3.55019,119,"1190TOA10819","Torquay"
96673,5,50.49193,-3.55911,119,"1190TOA10818","Torquay"
96674,5,50.49129,-3.56005,119,"1190TOA10817","Torquay"
96675,5,50.48974,-3.5556,119,"1190TOA10816","Torquay"
100469,5,50.48456,-3.53341,119,"1190TOA01103","Torquay"
102294,5,50.46754,-3.53083,119,"1190TOA10687","Torquay"
102597,5,50.46961,-3.55594,119,"1190TOA10785","Torquay"
102602,5,50.48894,-3.55771,119,"1190TOA56645","Torquay"
104849,5,50.46665,-3.54761,119,"1190TOA11194","Torquay"
104850,5,50.46661,-3.54769,119,"1190TOA11197","Torquay"
106366,5,50.46692,-3.53873,119,"1190TOA10805","Torquay"
106367,5,50.46769,-3.53855,119,"1190TOA10801","Torquay"
106368,5,50.46772,-3.53818,119,"1190TOA10802","Torquay"
106369,5,50.46678,-3.53875,119,"1190TOA10803","Torquay"
109030,5,50.46827,-3.50907,119,"1190TOA01082","Torquay"
109033,5,50.46799,-3.51327,119,"1190TOA01083","Torquay"
109666,5,50.48325,-3.54296,119,"1190TOA88878","Torquay"
109667,5,50.47815,-3.54355,119,"1190TOA88879","Torquay"
109669,5,50.46132,-3.52412,119,"1190TOA88871","Torquay"
109670,5,50.4804,-3.56124,119,"1190TOA88873","Torquay"
109673,5,50.47798,-3.5422,119,"1190TOA88877","Torquay"
112429,5,50.46372,-3.54437,119,"1190TOA10793","Torquay"
112430,5,50.46471,-3.54366,119,"1190TOA10794","Torquay"
112431,5,50.46475,-3.54331,119,"1190TOA10795","Torquay"
112432,5,50.4652,-3.54183,119,"1190TOA10796","Torquay"
112433,5,50.46621,-3.54123,119,"1190TOA10798","Torquay"
113835,5,50.49419,-3.53964,119,"1190TOA10633","Torquay"
113850,5,50.4893,-3.54026,119,"1190TOA10639","Torquay"
114522,5,50.47255,-3.53842,119,"1190TOA10905","Torquay"
114524,5,50.47584,-3.54265,119,"1190TOA10903","Torquay"
114525,5,50.47784,-3.54315,119,"1190TOA10902","Torquay"
114527,5,50.48643,-3.53788,119,"1190TOA10909","Torquay"
114528,5,50.48665,-3.53873,119,"1190TOA10908","Torquay"
117834,5,50.49102,-3.5426,119,"1190TOZ00845","Torquay"
120300,5,50.45275,-3.55016,119,"1190TOA10309","Torquay"
120307,5,50.45548,-3.54546,119,"1190TOA10300","Torquay"
123105,5,50.46693,-3.50661,119,"1190TOA10493","Torquay"
123106,5,50.46803,-3.50465,119,"1190TOA10491","Torquay"
124102,5,50.49055,-3.53505,119,"1190TOA10918","Torquay"
124103,5,50.4906,-3.53486,119,"1190TOA10919","Torquay"
124104,5,50.4852,-3.53636,119,"1190TOA10912","Torquay"
124105,5,50.48537,-3.53693,119,"1190TOA10910","Torquay"
124106,5,50.49037,-3.53688,119,"1190TOA10916","Torquay"
124107,5,50.49043,-3.53678,119,"1190TOA10917","Torquay"
124108,5,50.48429,-3.53548,119,"1190TOA10914","Torquay"
124109,5,50.48409,-3.53535,119,"1190TOA10915","Torquay"
125739,5,50.47771,-3.52684,119,"1190TOA10881","Torquay"
132910,5,50.48176,-3.5227,119,"1190TOA10480","Torquay"
132911,5,50.481,-3.52079,119,"1190TOA10481","Torquay"
132912,5,50.48072,-3.52046,119,"1190TOA10482","Torquay"
132913,5,50.47971,-3.51758,119,"1190TOA10483","Torquay"
132914,5,50.47884,-3.5157,119,"1190TOA10485","Torquay"
132915,5,50.47804,-3.51418,119,"1190TOA10486","Torquay"
132916,5,50.4778,-3.51351,119,"1190TOA10487","Torquay"
134420,5,50.4864,-3.54231,119,"1190TOA88860","Torquay"
138483,5,50.46493,-3.54682,119,"1190TOA10767","Torquay"
141287,5,50.50785,-3.51937,119,"1190TOA10583","Torquay"
141288,5,50.50551,-3.52558,119,"1190TOA10584","Torquay"
141289,5,50.50188,-3.5236,119,"1190TOA10587","Torquay"
141290,5,50.50474,-3.52539,119,"1190TOA10586","Torquay"
141571,5,50.49551,-3.52706,119,"1190TOA56632","Torquay"
142165,5,50.46133,-3.52458,119,"1190TOA10279","Torquay"
142166,5,50.46122,-3.52394,119,"1190TOA10278","Torquay"
146701,5,50.45653,-3.54541,119,"1190TOA11006","Torquay"
151166,5,50.49051,-3.52772,119,"1190TOA10596","Torquay"
151167,5,50.48741,-3.5259,119,"1190TOA10597","Torquay"
151168,5,50.49143,-3.52731,119,"1190TOA10595","Torquay"
151169,5,50.49467,-3.52403,119,"1190TOA10593","Torquay"
151170,5,50.50094,-3.52415,119,"1190TOA10590","Torquay"
151171,5,50.49511,-3.52371,119,"1190TOA10591","Torquay"
151172,5,50.48485,-3.52425,119,"1190TOA10598","Torquay"
151173,5,50.48428,-3.52443,119,"1190TOA10599","Torquay"
151391,5,50.47168,-3.55871,119,"1190TOA10788","Torquay"
157854,5,50.5137,-3.51796,119,"1190TOA10581","Torquay"
161935,5,50.45684,-3.54443,119,"1190TOA10298","Torquay"
161936,5,50.45725,-3.54357,119,"1190TOA10295","Torquay"
161937,5,50.45903,-3.54182,119,"1190TOA10294","Torquay"
163066,5,50.48082,-3.56342,119,"1190TOA10717","Torquay"
163507,5,50.50187,-3.55023,110,"1100DEB10193","Torquay"
163512,5,50.50199,-3.5502,110,"1100DEB10194","Torquay"
169817,5,50.47687,-3.56539,119,"1190TOA56608","Torquay"
170907,5,50.50821,-3.51886,119,"1190TOA10582","Torquay"
171712,5,50.46213,-3.53716,119,"1190TOA10288","Torquay"
171713,5,50.46266,-3.53643,119,"1190TOA10289","Torquay"
171714,5,50.46157,-3.52961,119,"1190TOA10286","Torquay"
171715,5,50.46143,-3.528,119,"1190TOA10284","Torquay"
171716,5,50.46157,-3.53042,119,"1190TOA10285","Torquay"
171717,5,50.46127,-3.52769,119,"1190TOA10282","Torquay"
171718,5,50.46129,-3.52805,119,"1190TOA10283","Torquay"
171719,5,50.46184,-3.52629,119,"1190TOA10280","Torquay"
171720,5,50.46126,-3.52731,119,"1190TOA10281","Torquay"
172733,5,50.48907,-3.57325,110,"1100DEM55074","Torquay"
173430,5,50.48066,-3.52894,119,"1190PLY38590","Torquay"
177216,5,50.49006,-3.54565,119,"1190TOZ00868","Torquay"
179066,5,50.48095,-3.53057,119,"1190TOA10651","Torquay"
179067,5,50.48289,-3.53379,119,"1190TOA10650","Torquay"
179068,5,50.47914,-3.53154,119,"1190TOA10653","Torquay"
179069,5,50.48076,-3.53054,119,"1190TOA10652","Torquay"
179070,5,50.4795,-3.53134,119,"1190TOA10655","Torquay"
179071,5,50.478,-3.53401,119,"1190TOA10657","Torquay"
179072,5,50.47811,-3.53311,119,"1190TOA10656","Torquay"
179073,4,50.47562,-3.53643,119,"1190TOA10658","Torquay"
179073,5,50.47562,-3.53643,119,"1190TOA10658","Torquay"
180090,5,50.46087,-3.51452,119,"1190TOA01059","Torquay"
180323,5,50.46814,-3.55552,119,"1190TOA10782","Torquay"
182160,5,50.45752,-3.55696,119,"1190TOA10435","Torquay"
182162,5,50.45909,-3.55801,119,"1190TOA10436","Torquay"
186635,5,50.46788,-3.54947,119,"1190TOA10759","Torquay"
186948,5,50.46598,-3.51602,119,"1190TOZ00852","Torquay"
186950,5,50.47919,-3.54619,119,"1190TOZ00855","Torquay"
186951,5,50.48491,-3.54141,119,"1190TOZ00859","Torquay"
186952,5,50.4775,-3.56331,119,"1190TOZ00858","Torquay"
188818,5,50.48473,-3.53895,119,"1190TOA10646","Torquay"
188819,5,50.48435,-3.53857,119,"1190TOA10647","Torquay"
188820,5,50.48504,-3.54115,119,"1190TOA10644","Torquay"
188821,5,50.48614,-3.54218,119,"1190TOA10643","Torquay"
188822,5,50.48907,-3.54057,119,"1190TOA10640","Torquay"
188825,5,50.48335,-3.5354,119,"1190TOA10649","Torquay"
196622,5,50.48982,-3.5472,119,"1190TOZ00848","Torquay"
196623,5,50.48976,-3.54715,119,"1190TOZ00849","Torquay"
197204,5,50.46138,-3.52465,119,"1190TOA56640","Torquay"
197205,5,50.46134,-3.52416,119,"1190TOA56641","Torquay"
197206,5,50.46176,-3.52641,119,"1190TOA56643","Torquay"
197207,5,50.48023,-3.57166,119,"1190TOA56644","Torquay"
197208,5,50.48918,-3.55762,119,"1190TOA56646","Torquay"
197209,5,50.47651,-3.56817,119,"1190TOA56647","Torquay"
198076,5,50.4768,-3.55557,119,"1190TOA88885","Torquay"
198078,5,50.45729,-3.51617,119,"1190TOA88887","Torquay"
