"node","layer","lat","lon","zone","atcocode","city"
109,5,53.70265,-1.47738,450,"    450G6512","Wakefield"
508,5,53.73786,-1.491,450,"    450G5751","Wakefield"
546,5,53.63332,-1.50315,450,"    450G7246","Wakefield"
876,5,53.71794,-1.51682,450,"    450G5013","Wakefield"
1841,5,53.67276,-1.52038,450,"    450G5765","Wakefield"
1939,5,53.69021,-1.47445,450,"    450G5372","Wakefield"
1994,5,53.68792,-1.42478,450,"    450G7253","Wakefield"
2206,5,53.71746,-1.53683,450,"    450G5684","Wakefield"
2236,5,53.67487,-1.46348,450,"    450G8145","Wakefield"
2237,5,53.63449,-1.5034,450,"    450G8144","Wakefield"
2259,5,53.69584,-1.54468,450,"    450G5474","Wakefield"
2261,5,53.6904,-1.53313,450,"    450G5470","Wakefield"
2262,5,53.69205,-1.53639,450,"    450G5471","Wakefield"
2263,5,53.69442,-1.54023,450,"    450G5472","Wakefield"
2342,5,53.62942,-1.41635,450,"    450G7310","Wakefield"
2344,5,53.68911,-1.53038,450,"    450G5469","Wakefield"
2345,5,53.688,-1.52817,450,"    450G5468","Wakefield"
2416,5,53.65869,-1.41349,450,"    450G5806","Wakefield"
2632,5,53.66215,-1.54775,450,"    450G5922","Wakefield"
2643,5,53.65983,-1.55192,450,"    450G5926","Wakefield"
2903,5,53.71715,-1.45835,450,"    450G5674","Wakefield"
3590,5,53.71746,-1.46086,450,"    450G5673","Wakefield"
3591,5,53.71657,-1.46663,450,"    450G5670","Wakefield"
3595,5,53.71783,-1.46493,450,"    450G5671","Wakefield"
3598,5,53.71789,-1.45354,450,"    450G5676","Wakefield"
4187,5,53.73274,-1.48841,450,"    450G5742","Wakefield"
4247,5,53.68622,-1.53363,450,"    450G5423","Wakefield"
4385,5,53.70796,-1.49856,450,"    450G5579","Wakefield"
4386,5,53.70643,-1.49765,450,"    450G5578","Wakefield"
4390,2,53.66309,-1.48141,910,"    910GSABR","Wakefield"
4390,5,53.66309,-1.48141,910,"    910GSABR","Wakefield"
4400,5,53.62063,-1.5182,450,"    450G7190","Wakefield"
4403,5,53.65683,-1.4768,450,"    450G7197","Wakefield"
4404,5,53.65736,-1.47914,450,"    450G7196","Wakefield"
4405,5,53.65452,-1.46888,450,"    450G7199","Wakefield"
4528,5,53.68372,-1.47353,450,"    450G5386","Wakefield"
5473,5,53.64877,-1.49629,450,"    450G5508","Wakefield"
5477,5,53.65736,-1.48405,450,"    450G5503","Wakefield"
5605,5,53.66713,-1.48749,450,"    450G7833","Wakefield"
6000,5,53.68833,-1.47173,450,"    450G5373","Wakefield"
6283,5,53.6566,-1.42877,450,"    450G6790","Wakefield"
6284,5,53.65732,-1.42554,450,"    450G6791","Wakefield"
6493,5,53.70393,-1.50415,450,"    450G5041","Wakefield"
6495,5,53.69932,-1.50526,450,"    450G5043","Wakefield"
6640,5,53.73236,-1.49907,450,"    450G5452","Wakefield"
6861,5,53.74084,-1.48846,450,"    450G7564","Wakefield"
6870,5,53.73076,-1.48787,450,"    450G7565","Wakefield"
6890,5,53.72695,-1.48032,450,"    450G7567","Wakefield"
6905,5,53.62037,-1.41501,450,"    450G7322","Wakefield"
6906,5,53.62487,-1.4175,450,"    450G7320","Wakefield"
6907,5,53.62231,-1.41755,450,"    450G7321","Wakefield"
6937,5,53.73109,-1.49743,450,"    450G5453","Wakefield"
6953,5,53.62099,-1.5691,450,"    450G6056","Wakefield"
7247,5,53.71051,-1.49145,450,"    450G5582","Wakefield"
7248,5,53.71714,-1.48347,450,"    450G5589","Wakefield"
7904,5,53.6884,-1.48183,450,"    450G5429","Wakefield"
7911,5,53.68481,-1.53408,450,"    450G5422","Wakefield"
7912,5,53.68336,-1.53404,450,"    450G5421","Wakefield"
8809,5,53.69662,-1.52132,450,"    450G4508","Wakefield"
9012,5,53.66663,-1.50619,450,"    450G6270","Wakefield"
9075,5,53.72088,-1.46152,450,"    450G5679","Wakefield"
9377,5,53.67284,-1.49027,450,"    450G5338","Wakefield"
9396,5,53.6498,-1.51341,450,"    450G7136","Wakefield"
9490,5,53.65129,-1.46938,450,"    450G7207","Wakefield"
9492,5,53.64867,-1.46514,450,"    450G7203","Wakefield"
9836,5,53.69011,-1.48,450,"    450G4377","Wakefield"
9843,5,53.68915,-1.47905,450,"    450G4379","Wakefield"
10077,5,53.67985,-1.54507,450,"    450G5691","Wakefield"
10205,5,53.63822,-1.53354,450,"    450G5529","Wakefield"
10211,5,53.6412,-1.53138,450,"    450G5524","Wakefield"
10225,5,53.7399,-1.49085,450,"    450G5755","Wakefield"
10388,5,53.6819,-1.53108,450,"    450G5419","Wakefield"
10403,5,53.68146,-1.52794,450,"    450G5417","Wakefield"
11105,5,53.67199,-1.5607,450,"    450G5702","Wakefield"
11168,5,53.67133,-1.56414,450,"    450G5703","Wakefield"
11280,5,53.65979,-1.44141,450,"    450G7284","Wakefield"
11320,5,53.72651,-1.49588,450,"    450G5458","Wakefield"
11752,5,53.73528,-1.50348,450,"    450G5450","Wakefield"
12053,5,53.64881,-1.53445,450,"    450G6291","Wakefield"
12054,5,53.65138,-1.52452,450,"    450G6290","Wakefield"
12055,5,53.64546,-1.53562,450,"    450G6293","Wakefield"
12056,5,53.64735,-1.53852,450,"    450G6292","Wakefield"
12058,5,53.64359,-1.5316,450,"    450G6294","Wakefield"
12059,5,53.6341,-1.54594,450,"    450G6297","Wakefield"
12060,5,53.63903,-1.53942,450,"    450G6296","Wakefield"
12061,5,53.62048,-1.56265,450,"    450G6299","Wakefield"
12062,5,53.63619,-1.54195,450,"    450G6298","Wakefield"
12086,5,53.72869,-1.49658,450,"    450G5455","Wakefield"
12269,5,53.65439,-1.54221,450,"    450G5847","Wakefield"
12335,5,53.65321,-1.5191,450,"    450G6289","Wakefield"
12467,5,53.6634,-1.55505,450,"    450G5858","Wakefield"
12468,5,53.66591,-1.55437,450,"    450G5859","Wakefield"
12471,5,53.66175,-1.55529,450,"    450G5854","Wakefield"
12473,5,53.65949,-1.55073,450,"    450G5852","Wakefield"
12493,5,53.70211,-1.47483,450,"    450G6508","Wakefield"
12497,5,53.70693,-1.439,450,"    450G6501","Wakefield"
12499,5,53.70524,-1.45305,450,"    450G6503","Wakefield"
12501,5,53.70201,-1.46688,450,"    450G6504","Wakefield"
12503,5,53.70174,-1.47118,450,"    450G6506","Wakefield"
12723,5,53.68608,-1.41781,450,"    450G7373","Wakefield"
12724,5,53.68665,-1.42136,450,"    450G7372","Wakefield"
13013,5,53.67277,-1.48474,450,"    450G5554","Wakefield"
13014,5,53.67103,-1.48016,450,"    450G5553","Wakefield"
13016,5,53.66979,-1.47643,450,"    450G5551","Wakefield"
13017,5,53.66866,-1.47568,450,"    450G5550","Wakefield"
13138,5,53.71894,-1.47806,450,"    450G7571","Wakefield"
13139,5,53.70693,-1.50316,450,"   450G20082","Wakefield"
13639,5,53.69115,-1.53275,450,"    450G8147","Wakefield"
13655,5,53.69248,-1.53543,450,"    450G8149","Wakefield"
13659,5,53.69263,-1.53251,450,"    450G8148","Wakefield"
13731,5,53.69648,-1.51891,450,"    450G4506","Wakefield"
14563,5,53.70119,-1.51792,450,"    450G6392","Wakefield"
14564,5,53.69973,-1.51698,450,"    450G6393","Wakefield"
14587,5,53.67507,-1.54012,450,"    450G4570","Wakefield"
14802,5,53.69468,-1.42231,450,"    450G7171","Wakefield"
14847,5,53.70879,-1.51679,450,"    450G5620","Wakefield"
14848,5,53.7106,-1.51248,450,"    450G5623","Wakefield"
14851,5,53.70633,-1.51898,450,"    450G5626","Wakefield"
15028,5,53.7307,-1.48864,450,"    450G6622","Wakefield"
15081,5,53.68987,-1.50807,450,"    450G7794","Wakefield"
15084,5,53.67048,-1.52107,450,"    450G5649","Wakefield"
15094,5,53.66958,-1.50967,450,"    450G5646","Wakefield"
16403,5,53.73158,-1.49438,450,"    450G5725","Wakefield"
16435,5,53.73202,-1.49979,450,"    450G5720","Wakefield"
16892,5,53.66509,-1.48929,450,"    450G5349","Wakefield"
17284,5,53.70699,-1.4756,450,"    450G7213","Wakefield"
17484,5,53.66106,-1.54949,450,"    450G5923","Wakefield"
17833,5,53.65757,-1.40963,450,"    450G6736","Wakefield"
17834,5,53.65665,-1.40608,450,"    450G6737","Wakefield"
17835,5,53.66026,-1.42312,450,"    450G6735","Wakefield"
18239,5,53.66866,-1.47193,450,"    450G6531","Wakefield"
18240,5,53.66517,-1.45293,450,"    450G6532","Wakefield"
18241,5,53.66521,-1.44158,450,"    450G6533","Wakefield"
18242,5,53.66425,-1.43236,450,"    450G6534","Wakefield"
18243,5,53.66499,-1.43664,450,"    450G6535","Wakefield"
18244,5,53.6649,-1.42442,450,"    450G6537","Wakefield"
18245,5,53.6671,-1.41602,450,"    450G6538","Wakefield"
18466,5,53.66026,-1.43827,450,"    450G7289","Wakefield"
18469,5,53.67546,-1.5046,450,"    450G9412","Wakefield"
18470,5,53.67629,-1.51092,450,"    450G9410","Wakefield"
18471,5,53.67559,-1.50801,450,"    450G9411","Wakefield"
18759,5,53.67506,-1.5569,450,"    450G5697","Wakefield"
18798,5,53.64192,-1.52758,450,"    450G5522","Wakefield"
18801,5,53.64276,-1.52318,450,"    450G5521","Wakefield"
19554,5,53.70841,-1.4349,450,"    450G7172","Wakefield"
19607,5,53.69119,-1.51135,450,"    450G7796","Wakefield"
19608,5,53.68999,-1.5106,450,"    450G7795","Wakefield"
19803,5,53.6869,-1.47965,450,"    450G8191","Wakefield"
19978,5,53.67885,-1.51699,450,"    450G4532","Wakefield"
19999,5,53.62583,-1.50133,450,"    450G9684","Wakefield"
20958,5,53.69455,-1.48455,450,"    450G5577","Wakefield"
20993,5,53.71472,-1.49067,450,"    450G8012","Wakefield"
21085,5,53.64926,-1.46322,450,"    450G7269","Wakefield"
21266,5,53.70115,-1.5238,450,"    450G5612","Wakefield"
21289,5,53.70355,-1.52116,450,"    450G5618","Wakefield"
21413,5,53.68285,-1.51792,450,"    450G5405","Wakefield"
21415,5,53.68563,-1.52078,450,"    450G5407","Wakefield"
21588,5,53.67366,-1.55553,450,"    450G5699","Wakefield"
21793,5,53.71726,-1.45691,450,"    450G5675","Wakefield"
21805,5,53.64147,-1.52057,450,"    450G5519","Wakefield"
21816,5,53.6462,-1.49427,450,"    450G5510","Wakefield"
21884,5,53.66322,-1.56658,450,"    450G5884","Wakefield"
21887,5,53.66162,-1.5618,450,"    450G5882","Wakefield"
22696,5,53.71256,-1.47896,450,"    450G6899","Wakefield"
22697,5,53.7127,-1.48115,450,"    450G6898","Wakefield"
22785,5,53.67395,-1.53677,450,"    450G5314","Wakefield"
22984,5,53.70948,-1.49495,450,"    450G5580","Wakefield"
23155,5,53.67003,-1.51234,450,"    450G5647","Wakefield"
23201,5,53.70884,-1.50312,450,"    450G5481","Wakefield"
23202,5,53.71121,-1.50082,450,"    450G5480","Wakefield"
23204,5,53.70598,-1.55737,450,"    450G5487","Wakefield"
23205,5,53.70156,-1.55281,450,"    450G5486","Wakefield"
23518,5,53.67136,-1.53629,450,"    450G5771","Wakefield"
23521,5,53.6692,-1.53225,450,"    450G5770","Wakefield"
23557,5,53.6268,-1.52433,450,"    450G7185","Wakefield"
23828,5,53.65891,-1.54845,450,"    450G5851","Wakefield"
23834,5,53.73103,-1.49114,450,"    450G5726","Wakefield"
23994,5,53.706,-1.44154,450,"    450G6502","Wakefield"
24466,5,53.6616,-1.54431,450,"    450G5843","Wakefield"
24536,5,53.68307,-1.48049,450,"    450G5395","Wakefield"
24705,5,53.69531,-1.5319,450,"    450G7805","Wakefield"
24706,5,53.69551,-1.53383,450,"    450G7804","Wakefield"
24707,5,53.69553,-1.53949,450,"    450G7803","Wakefield"
24708,5,53.69702,-1.53628,450,"    450G7801","Wakefield"
24709,5,53.69796,-1.52921,450,"    450G7800","Wakefield"
24898,5,53.70428,-1.52069,450,"    450G6389","Wakefield"
25360,5,53.68384,-1.47799,450,"    450G5403","Wakefield"
25815,5,53.67867,-1.48856,910," 910GWKFLDKG","Wakefield"
25815,2,53.67867,-1.48856,910," 910GWKFLDKG","Wakefield"
25833,5,53.67195,-1.50083,450,"    450G5834","Wakefield"
25837,5,53.67415,-1.49649,450,"    450G5832","Wakefield"
25838,5,53.67326,-1.4985,450,"    450G5833","Wakefield"
25841,5,53.66694,-1.53694,450,"    450G5839","Wakefield"
25874,5,53.67501,-1.42301,450,"    450G6560","Wakefield"
26095,5,53.62722,-1.41639,450,"    450G7315","Wakefield"
26096,5,53.64337,-1.51357,450,"    450G7314","Wakefield"
26432,5,53.69653,-1.48921,450,"    450G5571","Wakefield"
26634,5,53.7169,-1.47733,450,"    450G5654","Wakefield"
26788,5,53.6143,-1.5625,450,"    450G7333","Wakefield"
26853,5,53.64058,-1.53413,450,"    450G5528","Wakefield"
27118,5,53.67815,-1.52378,450,"    450G4529","Wakefield"
27122,5,53.69531,-1.53025,450,"    450G4527","Wakefield"
27123,5,53.69573,-1.53658,450,"    450G4526","Wakefield"
