"node","layer","lat","lon","zone","atcocode","city"
413,2,53.40915,-3.07857,910,"  910GBDSTON","Wallasey"
413,5,53.40915,-3.07857,910,"  910GBDSTON","Wallasey"
1254,2,53.37319,-3.18377,910,"  910GWKIRBY","Wallasey"
1254,5,53.37319,-3.18377,910,"  910GWKIRBY","Wallasey"
3628,5,53.40445,-3.05754,910," 910GBRKNHDN","Wallasey"
3628,2,53.40445,-3.05754,910," 910GBRKNHDN","Wallasey"
5316,5,53.39023,-3.17884,910," 910GHOYLAKE","Wallasey"
5316,2,53.39023,-3.17884,910," 910GHOYLAKE","Wallasey"
8309,2,53.3948,-3.17145,910,"    910GMNRD","Wallasey"
8309,5,53.3948,-3.17145,910,"    910GMNRD","Wallasey"
10298,2,53.43741,-3.04797,910,"    910GNBTN","Wallasey"
10298,5,53.43741,-3.04797,910,"    910GNBTN","Wallasey"
16439,5,53.40806,-3.0996,910," 910GLEASOWE","Wallasey"
16439,2,53.40806,-3.0996,910," 910GLEASOWE","Wallasey"
25580,2,53.4229,-3.06914,910," 910GWALASYV","Wallasey"
25580,5,53.4229,-3.06914,910," 910GWALASYV","Wallasey"
32297,2,53.38651,-3.08416,910,"   910GUPTON","Wallasey"
32297,5,53.38651,-3.08416,910,"   910GUPTON","Wallasey"
39675,2,53.39945,-3.15428,910,"    910GMELS","Wallasey"
39675,5,53.39945,-3.15428,910,"    910GMELS","Wallasey"
39832,2,53.40722,-3.11351,910,"    910GMOTO","Wallasey"
39832,5,53.40722,-3.11351,910,"    910GMOTO","Wallasey"
45699,2,53.42801,-3.06972,910," 910GWALAGRD","Wallasey"
45699,5,53.42801,-3.06972,910," 910GWALAGRD","Wallasey"
53220,5,53.43381,-3.05245,280," 2800S23037B","Wallasey"
53556,5,53.38005,-3.18564,280," 2800S32014B","Wallasey"
54068,5,53.42801,-3.03569,280," 2800S23008C","Wallasey"
54069,5,53.42749,-3.03587,280," 2800S23008B","Wallasey"
54070,5,53.42719,-3.03583,280," 2800S23008A","Wallasey"
54073,5,53.42783,-3.03588,280," 2800S23008D","Wallasey"
54179,5,53.38961,-3.12386,280," 2800S25041B","Wallasey"
54387,5,53.39591,-3.08496,280," 2800S25074A","Wallasey"
54958,5,53.39614,-3.12832,280," 2800S32001A","Wallasey"
55630,5,53.39765,-3.10968,280," 2800S25009B","Wallasey"
55846,5,53.40393,-3.07912,280," 2800S25070B","Wallasey"
56501,5,53.38789,-3.11444,280," 2800S25046C","Wallasey"
57378,5,53.42153,-3.02954,280," 2800S21003A","Wallasey"
57379,5,53.42161,-3.02986,280," 2800S21003C","Wallasey"
57605,5,53.37601,-3.11434,280," 2800S26037A","Wallasey"
57606,5,53.37608,-3.11488,280," 2800S26037B","Wallasey"
59088,5,53.40346,-3.13058,280," 2800S25096B","Wallasey"
60324,5,53.37535,-3.12319,280," 2800S31019A","Wallasey"
