"node","layer","lat","lon","zone","atcocode","city"
16751,5,52.55294,-1.97621,910," 910GTAMEBDG","Walsall"
16751,2,52.55294,-1.97621,910," 910GTAMEBDG","Walsall"
32327,4,52.58441,-1.98475,910," 910GWALSALL","Walsall"
32327,2,52.58441,-1.98475,910," 910GWALSALL","Walsall"
32327,5,52.58441,-1.98475,910," 910GWALSALL","Walsall"
32983,5,52.5631,-1.9911,910," 910GBSCTSTA","Walsall"
32983,2,52.5631,-1.9911,910," 910GBSCTSTA","Walsall"
52059,5,52.56128,-1.97526,430," 43000668902","Walsall"
52163,5,52.58287,-1.96893,430," 43000604701","Walsall"
52513,5,52.59024,-2.0192,430," 43000787501","Walsall"
53612,5,52.56906,-1.97743,430," 43000662901","Walsall"
53825,5,52.58584,-1.97007,430," 43000661101","Walsall"
53826,5,52.58569,-1.97014,430," 43000661102","Walsall"
53894,5,52.57858,-2.03024,430," 43000688801","Walsall"
53895,5,52.57907,-2.02934,430," 43000688802","Walsall"
53958,5,52.55758,-1.95494,430," 43000545102","Walsall"
53959,5,52.55748,-1.95625,430," 43000545101","Walsall"
54305,5,52.5581,-1.99248,430," 43000983602","Walsall"
55040,5,52.59715,-1.98727,430," 43000615102","Walsall"
55211,5,52.60817,-1.92508,430," 43000654202","Walsall"
55212,5,52.60827,-1.9256,430," 43000654201","Walsall"
55896,5,52.57068,-1.94377,430," 43000664501","Walsall"
56013,5,52.58674,-1.99939,430," 43000675602","Walsall"
56014,5,52.58655,-2.00041,430," 43000675601","Walsall"
56462,5,52.5672,-2.00783,430," 43000978801","Walsall"
56678,5,52.56282,-1.91557,430," 43000583701","Walsall"
57896,5,52.60589,-1.93534,430," 43000636302","Walsall"
57897,5,52.60566,-1.93559,430," 43000636301","Walsall"
58363,5,52.58686,-2.03311,430," 43006272001","Walsall"
58910,5,52.58144,-1.97426,430," 43000603202","Walsall"
59304,5,52.56719,-2.03181,430," 43000681401","Walsall"
59728,5,52.61657,-1.91204,430," 43000651302","Walsall"
60155,5,52.58194,-1.97181,430," 43000604601","Walsall"
60819,5,52.57965,-1.94346,430," 43000660302","Walsall"
61386,5,52.58613,-2.0223,430," 43000787301","Walsall"
61387,5,52.58595,-2.02263,430," 43000787302","Walsall"
61418,5,52.56381,-2.01587,430," 43000985701","Walsall"
61817,5,52.57851,-1.96505,430," 43000662801","Walsall"
61818,5,52.57847,-1.96595,430," 43000662802","Walsall"
62497,5,52.56798,-2.02968,430," 43006810003","Walsall"
62498,5,52.56754,-2.0294,430," 43006810004","Walsall"
63179,5,52.60652,-1.92213,430," 43000654301","Walsall"
63721,5,52.58426,-2.02992,430," 43000684702","Walsall"
66743,5,52.57399,-1.98831,430," 43000669101","Walsall"
66744,5,52.57366,-1.98822,430," 43000669102","Walsall"
67230,5,52.56692,-2.03584,430," 43000681504","Walsall"
67231,5,52.56689,-2.036,430," 43000681502","Walsall"
67232,5,52.56698,-2.03597,430," 43000681503","Walsall"
67233,5,52.56693,-2.03621,430," 43000681501","Walsall"
67517,5,52.61357,-1.9223,430," 43000650801","Walsall"
67995,5,52.56541,-2.01413,430," 43000973801","Walsall"
68104,5,52.59045,-1.96586,430," 43000604501","Walsall"
69236,5,52.58743,-2.0221,430," 43000787201","Walsall"
69237,5,52.58764,-2.02193,430," 43000787202","Walsall"
69646,5,52.5756,-1.96194,430," 43000662702","Walsall"
69647,5,52.57624,-1.96191,430," 43000662701","Walsall"
70421,5,52.6116,-1.91275,430," 43000653001","Walsall"
70738,5,52.59789,-1.9877,430," 43000615101","Walsall"
71169,5,52.60534,-1.91902,430," 43000654001","Walsall"
71747,5,52.582,-2.02403,430," 43000684602","Walsall"
71748,5,52.58223,-2.02412,430," 43000684601","Walsall"
72768,5,52.5759,-1.98887,430," 43000665602","Walsall"
72769,5,52.57585,-1.9897,430," 43000665601","Walsall"
72784,5,52.59262,-1.99128,430," 43000609102","Walsall"
72785,5,52.59227,-1.9906,430," 43000609101","Walsall"
73057,5,52.59085,-1.96463,430," 43000631701","Walsall"
73661,5,52.57036,-1.95559,430," 43000663301","Walsall"
73662,5,52.5707,-1.95576,430," 43000663302","Walsall"
74528,5,52.56883,-1.99329,430," 43000669602","Walsall"
74532,5,52.57804,-1.91334,430," 43000588401","Walsall"
74533,5,52.57889,-1.91294,430," 43000588402","Walsall"
74635,5,52.57967,-1.97242,430," 43000662401","Walsall"
74637,5,52.57939,-1.97175,430," 43000662402","Walsall"
74833,5,52.55668,-2.02333,430," 43000975801","Walsall"
74834,5,52.55691,-2.0227,430," 43000975802","Walsall"
