"node","layer","lat","lon","zone","atcocode","city"
52012,5,54.90491,-1.57855,410,"410000022050","Washington"
56756,5,54.88616,-1.47117,410,"410000028042","Washington"
56757,5,54.88247,-1.47696,410,"410000028041","Washington"
56758,5,54.87593,-1.48594,410,"410000028040","Washington"
57352,5,54.89928,-1.53384,410,"4100023WASFS","Washington"
58147,5,54.89072,-1.55652,410,"410000022748","Washington"
58152,5,54.89553,-1.53922,410,"410000022749","Washington"
58292,5,54.90431,-1.54915,410,"410000022733","Washington"
58293,5,54.90428,-1.54904,410,"410000022732","Washington"
58294,5,54.9067,-1.54842,410,"410000022731","Washington"
58295,5,54.90661,-1.54829,410,"410000022730","Washington"
58296,5,54.90395,-1.54595,410,"410000022737","Washington"
58297,5,54.90401,-1.54581,410,"410000022736","Washington"
58298,5,54.90514,-1.54346,410,"410000022735","Washington"
58299,5,54.90504,-1.54335,410,"410000022734","Washington"
59834,5,54.89871,-1.51013,410,"410000023110","Washington"
61003,5,54.92323,-1.45596,410,"410000023806","Washington"
61004,5,54.92317,-1.45711,410,"410000023807","Washington"
61005,5,54.92095,-1.45645,410,"410000023804","Washington"
61006,5,54.92272,-1.45751,410,"410000023805","Washington"
61007,5,54.91901,-1.45751,410,"410000023802","Washington"
61008,5,54.92101,-1.45625,410,"410000023803","Washington"
61009,5,54.91867,-1.45603,410,"410000023800","Washington"
61010,5,54.91866,-1.45825,410,"410000023801","Washington"
61012,5,54.92604,-1.45639,410,"410000023808","Washington"
61013,5,54.92574,-1.46054,410,"410000023809","Washington"
62384,5,54.88777,-1.56113,410,"410000027017","Washington"
65906,5,54.91412,-1.55966,410,"410000022161","Washington"
67942,5,54.90837,-1.53686,410,"410000022720","Washington"
67971,5,54.92615,-1.45539,410,"410000024048","Washington"
68919,5,54.90675,-1.57896,410,"410000022038","Washington"
70518,5,54.91258,-1.45689,410,"410000023832","Washington"
70519,5,54.91206,-1.45584,410,"410000023831","Washington"
71913,5,54.88863,-1.56095,410,"410000027007","Washington"
72567,5,54.92232,-1.55611,410,"410000022007","Washington"
72569,5,54.91881,-1.55259,410,"410000022009","Washington"
72570,5,54.92094,-1.55442,410,"410000022008","Washington"
73338,5,54.87732,-1.50888,410,"410000028548","Washington"
73794,5,54.91356,-1.49795,410,"410000023149","Washington"
73799,5,54.92609,-1.47264,410,"410000023143","Washington"
73800,5,54.92545,-1.47273,410,"410000023142","Washington"
73801,5,54.93018,-1.47123,410,"410000023141","Washington"
73804,5,54.92332,-1.47426,410,"410000023145","Washington"
73805,5,54.92263,-1.47464,410,"410000023144","Washington"
74116,5,54.90083,-1.58193,410,"410000022179","Washington"
76187,5,54.88637,-1.52012,410,"410000028511","Washington"
76188,5,54.8858,-1.52001,410,"410000028510","Washington"
76189,5,54.88334,-1.52047,410,"410000028512","Washington"
77595,5,54.89674,-1.55305,410,"410000022755","Washington"
77596,5,54.89904,-1.55097,410,"410000022754","Washington"
77597,5,54.89259,-1.55302,410,"410000022757","Washington"
77598,5,54.89615,-1.55324,410,"410000022756","Washington"
77599,5,54.89734,-1.54522,410,"410000022751","Washington"
77600,5,54.89563,-1.53926,410,"410000022750","Washington"
77601,5,54.89905,-1.5512,410,"410000022753","Washington"
77602,5,54.89745,-1.54551,410,"410000022752","Washington"
77605,5,54.89021,-1.55063,410,"410000022759","Washington"
77606,5,54.89267,-1.55296,410,"410000022758","Washington"
78910,5,54.89377,-1.52385,410,"410000023126","Washington"
78935,5,54.89465,-1.51006,410,"410000023122","Washington"
80251,5,54.91952,-1.4595,410,"410000023820","Washington"
80252,5,54.91991,-1.45973,410,"410000023821","Washington"
80253,5,54.92209,-1.46036,410,"410000023822","Washington"
80743,5,54.94234,-1.45663,410,"410000016077","Washington"
80744,5,54.94236,-1.47696,410,"410000016075","Washington"
82315,5,54.89189,-1.56059,410,"410000022016","Washington"
82317,5,54.89597,-1.56047,410,"410000022014","Washington"
82319,5,54.89929,-1.56126,410,"410000022013","Washington"
82320,5,54.90815,-1.55664,410,"410000022010","Washington"
82321,5,54.90756,-1.55964,410,"410000022011","Washington"
82322,5,54.8992,-1.56157,410,"410000022018","Washington"
82323,5,54.90363,-1.56433,410,"410000022019","Washington"
83568,5,54.90659,-1.4889,410,"410000023150","Washington"
83571,5,54.90333,-1.48922,410,"410000023153","Washington"
83573,5,54.89721,-1.49248,410,"410000023155","Washington"
83888,5,54.91519,-1.55261,410,"410000022162","Washington"
83892,5,54.9052,-1.58016,410,"410000022166","Washington"
83893,5,54.90514,-1.58286,410,"410000022167","Washington"
83896,5,54.90403,-1.58419,410,"410000022168","Washington"
85842,5,54.88265,-1.52035,410,"410000028509","Washington"
85843,5,54.88563,-1.51277,410,"410000028506","Washington"
85844,5,54.88246,-1.51605,410,"410000028507","Washington"
85845,5,54.88706,-1.513,410,"410000028504","Washington"
85846,5,54.88532,-1.51374,410,"410000028505","Washington"
85847,5,54.88762,-1.51606,410,"410000028502","Washington"
85848,5,54.88709,-1.51316,410,"410000028503","Washington"
85849,5,54.8863,-1.51934,410,"410000028500","Washington"
85850,5,54.88623,-1.51893,410,"410000028501","Washington"
87301,5,54.90061,-1.55135,410,"410000022741","Washington"
87302,5,54.89653,-1.55644,410,"410000022746","Washington"
87303,5,54.89871,-1.55651,410,"410000022744","Washington"
88110,5,54.88553,-1.55059,410,"410000027631","Washington"
88112,5,54.88372,-1.55019,410,"410000027632","Washington"
89589,5,54.89175,-1.56514,410,"410000022936","Washington"
91932,5,54.92007,-1.55399,410,"410000022023","Washington"
91933,5,54.91792,-1.5523,410,"410000022022","Washington"
91934,5,54.9085,-1.55629,410,"410000022021","Washington"
91935,5,54.90755,-1.55973,410,"410000022020","Washington"
92419,5,54.89875,-1.56371,410,"410000022931","Washington"
92420,5,54.89608,-1.56589,410,"410000022933","Washington"
92421,5,54.89594,-1.56569,410,"410000022932","Washington"
92422,5,54.89382,-1.56531,410,"410000022935","Washington"
92423,5,54.89358,-1.56509,410,"410000022934","Washington"
92424,5,54.89194,-1.5653,410,"410000022937","Washington"
92869,5,54.90878,-1.52068,410,"410000023068","Washington"
92871,5,54.90959,-1.521,410,"410000023069","Washington"
92877,5,54.90782,-1.51462,410,"410000023064","Washington"
93231,5,54.893,-1.51871,410,"410000023128","Washington"
93236,5,54.89319,-1.51876,410,"410000023127","Washington"
93238,5,54.89478,-1.51297,410,"410000023121","Washington"
93493,5,54.90199,-1.45474,410,"410000060059","Washington"
93633,5,54.91183,-1.55137,410,"410000022159","Washington"
94405,5,54.89369,-1.52387,410,"410000023125","Washington"
94406,5,54.89522,-1.52644,410,"410000023124","Washington"
94413,5,54.8949,-1.51351,410,"410000023120","Washington"
94964,5,54.91982,-1.52646,410,"410000023018","Washington"
94966,5,54.92461,-1.52127,410,"410000023011","Washington"
94967,5,54.9248,-1.51999,410,"410000023010","Washington"
94968,5,54.9216,-1.52507,410,"410000023013","Washington"
94969,5,54.92201,-1.52494,410,"410000023012","Washington"
94971,5,54.92097,-1.52651,410,"410000023014","Washington"
95641,5,54.8977,-1.51771,410,"410000023114","Washington"
95646,5,54.89795,-1.51816,410,"410000023115","Washington"
95669,5,54.88105,-1.53181,410,"410000028530","Washington"
95682,5,54.89836,-1.51709,410,"410000023113","Washington"
96459,5,54.92022,-1.54515,410,"410000022156","Washington"
96690,5,54.92068,-1.54019,410,"410000022701","Washington"
96799,5,54.89658,-1.57953,410,"410000022173","Washington"
97028,5,54.8933,-1.53709,410,"410000022773","Washington"
97029,5,54.8926,-1.53755,410,"410000022772","Washington"
97030,5,54.89069,-1.53976,410,"410000022771","Washington"
97031,5,54.89067,-1.53963,410,"410000022770","Washington"
98760,4,54.89932,-1.53369,410,"4100023WASHS","Washington"
101592,5,54.90481,-1.57835,410,"410000022039","Washington"
102071,5,54.91073,-1.54761,410,"410000022928","Washington"
102073,5,54.89329,-1.56043,410,"410000022926","Washington"
102074,5,54.90955,-1.54424,410,"410000022927","Washington"
102075,5,54.8937,-1.56055,410,"410000022925","Washington"
104260,5,54.91975,-1.52484,410,"410000023019","Washington"
104282,5,54.9208,-1.5279,410,"410000023015","Washington"
104603,5,54.92023,-1.51514,410,"410000023005","Washington"
104604,5,54.92293,-1.51569,410,"410000023002","Washington"
104605,5,54.92331,-1.51589,410,"410000023003","Washington"
105298,5,54.88061,-1.51579,410,"410000028520","Washington"
105299,5,54.88068,-1.51609,410,"410000028521","Washington"
105300,5,54.88026,-1.51611,410,"410000028522","Washington"
105301,5,54.8798,-1.51641,410,"410000028523","Washington"
105302,5,54.87887,-1.51871,410,"410000028524","Washington"
105303,5,54.87856,-1.51937,410,"410000028525","Washington"
105304,5,54.87832,-1.52172,410,"410000028526","Washington"
105305,5,54.87865,-1.5237,410,"410000028527","Washington"
105306,5,54.8788,-1.52379,410,"410000028528","Washington"
105307,5,54.88141,-1.53371,410,"410000028529","Washington"
106705,5,54.89045,-1.55059,410,"410000022760","Washington"
107448,5,54.88023,-1.54715,410,"410000027618","Washington"
107449,5,54.8812,-1.54407,410,"410000027617","Washington"
107450,5,54.88249,-1.54068,410,"410000027614","Washington"
107451,5,54.88206,-1.53904,410,"410000027613","Washington"
107452,5,54.8817,-1.53479,410,"410000027612","Washington"
107453,5,54.88272,-1.5379,410,"410000027611","Washington"
107454,5,54.88297,-1.53755,410,"410000027610","Washington"
108202,5,54.93766,-1.45919,410,"410000016132","Washington"
108204,5,54.94365,-1.45577,410,"410000016130","Washington"
108205,5,54.93995,-1.45651,410,"410000016131","Washington"
108729,5,54.88857,-1.44964,410,"410000024563","Washington"
108730,5,54.88964,-1.45256,410,"410000024564","Washington"
111386,5,54.90246,-1.5783,410,"410000022049","Washington"
111387,5,54.89915,-1.5778,410,"410000022048","Washington"
111393,5,54.89523,-1.57752,410,"410000022043","Washington"
112711,5,54.89844,-1.52989,410,"410000023104","Washington"
112712,5,54.89838,-1.52986,410,"410000023103","Washington"
112713,5,54.89947,-1.52592,410,"410000023102","Washington"
112714,5,54.89939,-1.52589,410,"410000023101","Washington"
112715,5,54.89908,-1.51251,410,"410000023100","Washington"
114534,5,54.91521,-1.52534,410,"410000023033","Washington"
114535,5,54.91556,-1.52548,410,"410000023032","Washington"
114536,5,54.91587,-1.52493,410,"410000023030","Washington"
114537,5,54.91308,-1.52941,410,"410000023036","Washington"
115170,5,54.87627,-1.50482,410,"410000028550","Washington"
117324,5,54.8877,-1.55095,410,"410000027604","Washington"
117325,5,54.88768,-1.55108,410,"410000027605","Washington"
117326,5,54.8859,-1.53899,410,"410000027600","Washington"
117327,5,54.88631,-1.53925,410,"410000027601","Washington"
117328,5,54.88489,-1.53828,410,"410000027602","Washington"
117329,5,54.88866,-1.55069,410,"410000027603","Washington"
118100,5,54.94414,-1.45647,410,"410000016103","Washington"
118101,5,54.93982,-1.45675,410,"410000016102","Washington"
118102,5,54.93767,-1.4593,410,"410000016101","Washington"
119225,5,54.91827,-1.56562,410,"410000060110","Washington"
120805,5,54.87891,-1.52468,410,"410000060206","Washington"
121079,5,54.91331,-1.52374,410,"4100023CONDS","Washington"
121281,5,54.90752,-1.58005,410,"410000022051","Washington"
121422,5,54.91599,-1.5332,410,"410000023975","Washington"
