"node","layer","lat","lon","zone","atcocode","city"
728,4,50.85588,-1.05111,190,"900GNX001711","Waterlooville"
728,5,50.85588,-1.05111,190,"900GNX001711","Waterlooville"
15616,4,50.86739,-1.04478,190,"900GNX001192","Waterlooville"
15616,5,50.86739,-1.04478,190,"900GNX001192","Waterlooville"
30778,4,50.89425,-1.01833,190,"900GNX000394","Waterlooville"
30778,5,50.89425,-1.01833,190,"900GNX000394","Waterlooville"
34205,4,50.87968,-1.03266,190,"900GNX001678","Waterlooville"
34205,5,50.87968,-1.03266,190,"900GNX001678","Waterlooville"
42940,4,50.91315,-0.99774,190,"900GNX000713","Waterlooville"
42940,5,50.91315,-0.99774,190,"900GNX000713","Waterlooville"
46669,2,50.84191,-1.06733,910,"  910GCOSHAM","Waterlooville"
46669,5,50.84191,-1.06733,910,"  910GCOSHAM","Waterlooville"
46669,4,50.84191,-1.06733,910,"  910GCOSHAM","Waterlooville"
51978,5,50.92787,-0.99714,190,"1900HA020043","Waterlooville"
52942,5,50.86906,-1.0246,190,"1900HA070385","Waterlooville"
53706,5,50.85423,-1.05263,199,"1990HA130093","Waterlooville"
53707,5,50.85442,-1.05286,199,"1990HA130092","Waterlooville"
53708,5,50.85174,-1.05765,199,"1990HA130091","Waterlooville"
53709,5,50.85305,-1.04659,199,"1990HA130097","Waterlooville"
53710,5,50.85314,-1.047,199,"1990HA130096","Waterlooville"
54479,5,50.93129,-1.08144,190,"1900HA110812","Waterlooville"
54835,5,50.88934,-1.02358,190,"1900HA070437","Waterlooville"
54839,5,50.88205,-1.02917,190,"1900HA070431","Waterlooville"
58685,5,50.90546,-1.07421,190,"1900HA110799","Waterlooville"
61154,5,50.90142,-1.02704,190,"1900HA070489","Waterlooville"
62005,5,50.91064,-1.01753,190,"1900HA020005","Waterlooville"
63380,5,50.85541,-1.08246,199,"1990HA130080","Waterlooville"
63381,5,50.85546,-1.08212,199,"1990HA130081","Waterlooville"
65325,5,50.85341,-1.05231,199,"1990HA130095","Waterlooville"
65326,5,50.85267,-1.0529,199,"1990HA130094","Waterlooville"
66803,5,50.90315,-1.02308,190,"1900HA070486","Waterlooville"
66809,5,50.9073,-1.02024,190,"1900HA070481","Waterlooville"
67660,5,50.89691,-1.01654,190,"1900HAA09582","Waterlooville"
68933,5,50.89639,-1.06342,190,"1900HAA13509","Waterlooville"
68934,5,50.89815,-1.0698,190,"1900HAA13508","Waterlooville"
68936,5,50.88504,-1.044,190,"1900HAA13500","Waterlooville"
68937,5,50.89462,-1.05275,190,"1900HAA13503","Waterlooville"
68938,5,50.88657,-1.04225,190,"1900HAA13502","Waterlooville"
68939,5,50.89933,-1.07315,190,"1900HAA13505","Waterlooville"
68940,5,50.89435,-1.05209,190,"1900HAA13504","Waterlooville"
68941,5,50.89798,-1.06952,190,"1900HAA13507","Waterlooville"
68942,5,50.89919,-1.07301,190,"1900HAA13506","Waterlooville"
70117,5,50.91271,-1.01447,190,"1900HA020007","Waterlooville"
70120,5,50.91079,-1.01735,190,"1900HA020006","Waterlooville"
78607,5,50.92282,-1.08822,190,"1900HAA13516","Waterlooville"
78609,5,50.91612,-1.08079,190,"1900HAA13514","Waterlooville"
78610,5,50.9228,-1.08832,190,"1900HAA13515","Waterlooville"
78611,5,50.89663,-1.05843,190,"1900HAA13512","Waterlooville"
78612,5,50.91629,-1.0811,190,"1900HAA13513","Waterlooville"
78613,5,50.89665,-1.06401,190,"1900HAA13510","Waterlooville"
78614,5,50.89658,-1.05831,190,"1900HAA13511","Waterlooville"
82757,5,50.88561,-1.01997,190,"1900HA070470","Waterlooville"
82758,5,50.90471,-1.02175,190,"1900HA070475","Waterlooville"
82759,5,50.90308,-1.01722,190,"1900HA070474","Waterlooville"
86701,5,50.89667,-1.01689,190,"1900HAA09581","Waterlooville"
89494,5,50.88126,-1.0145,190,"1900HA070465","Waterlooville"
89496,5,50.88425,-1.01212,190,"1900HA070462","Waterlooville"
89497,5,50.88303,-1.01314,190,"1900HA070463","Waterlooville"
89603,5,50.84139,-1.04862,199,"1990PH130168","Waterlooville"
89605,5,50.84133,-1.04875,199,"1990PH130169","Waterlooville"
92393,5,50.8809,-1.01482,190,"1900HA070466","Waterlooville"
92394,5,50.88162,-1.01802,190,"1900HA070467","Waterlooville"
92395,5,50.8829,-1.01334,190,"1900HA070464","Waterlooville"
92398,5,50.88718,-1.00854,190,"1900HA070460","Waterlooville"
92399,5,50.8817,-1.01838,190,"1900HA070468","Waterlooville"
93279,5,50.85279,-1.03412,199,"1990HA070398","Waterlooville"
93280,5,50.85276,-1.03401,199,"1990HA070397","Waterlooville"
94392,5,50.84784,-1.07782,199,"1990HAA13697","Waterlooville"
96940,5,50.84407,-1.06919,199,"1990PHA09559","Waterlooville"
97991,5,50.8954,-1.03375,190,"1900HA070496","Waterlooville"
102046,5,50.88747,-1.00828,190,"1900HA070459","Waterlooville"
102047,5,50.89071,-1.01205,190,"1900HA070458","Waterlooville"
102048,5,50.90011,-1.00744,190,"1900HA070453","Waterlooville"
102049,5,50.89781,-1.0103,190,"1900HA070452","Waterlooville"
102050,5,50.89747,-1.01101,190,"1900HA070451","Waterlooville"
