"node","layer","lat","lon","zone","atcocode","city"
456,5,51.66028,-0.50982,210,"    210G3348","Watford"
611,5,51.62098,-0.42281,210,"    210G3249","Watford"
612,5,51.6185,-0.39831,210,"    210G3248","Watford"
613,5,51.62072,-0.40769,210,"    210G3246","Watford"
614,5,51.61759,-0.40796,210,"    210G3245","Watford"
615,5,51.61547,-0.4098,210,"    210G3244","Watford"
616,5,51.62465,-0.41261,210,"    210G3242","Watford"
617,5,51.62263,-0.41585,210,"    210G3241","Watford"
618,5,51.62507,-0.42262,210,"    210G3240","Watford"
1231,5,51.64025,-0.47327,210," 910GRCKMNSW","Watford"
1231,2,51.64025,-0.47327,210," 910GRCKMNSW","Watford"
1231,3,51.64025,-0.47327,210," 910GRCKMNSW","Watford"
1833,2,51.60942,-0.3686,490," 910GHTCHEND","Watford"
1833,5,51.60942,-0.3686,490," 910GHTCHEND","Watford"
1971,5,51.62698,-0.5065,210,"    210G3373","Watford"
2048,5,51.68781,-0.38878,210,"    210G2939","Watford"
2049,5,51.68117,-0.37936,210,"    210G2932","Watford"
2050,5,51.69902,-0.38419,210,"    210G2930","Watford"
2634,5,51.63047,-0.47245,210,"    210G4410","Watford"
2880,3,51.6298,-0.43231,940," 940GZZLUMPK","Watford"
3359,5,51.63903,-0.35485,210,"    210G3170","Watford"
4413,5,51.63816,-0.39697,210,"    210G3140","Watford"
4414,5,51.64021,-0.39945,210,"    210G3141","Watford"
4415,5,51.63645,-0.40467,210,"    210G3142","Watford"
4421,5,51.64331,-0.39319,210,"    210G3149","Watford"
4643,2,51.68672,-0.38167,210,"   910GGRSTH","Watford"
4643,5,51.68672,-0.38167,210,"   910GGRSTH","Watford"
4838,5,51.61384,-0.34003,490,"490G00014326","Watford"
5515,2,51.62835,-0.38594,210," 910GCRPNDPK","Watford"
5515,5,51.62835,-0.38594,210," 910GCRPNDPK","Watford"
5934,5,51.65188,-0.48374,210,"    210G9083","Watford"
6211,5,51.6289,-0.41147,210,"    210G3236","Watford"
6212,5,51.62964,-0.40779,210,"    210G3232","Watford"
6213,5,51.62706,-0.40502,210,"    210G3233","Watford"
6214,5,51.62835,-0.40881,210,"    210G3230","Watford"
6215,5,51.62803,-0.40797,210,"    210G3231","Watford"
6218,5,51.62969,-0.40596,210,"    210G3238","Watford"
6219,5,51.62819,-0.41401,210,"    210G3239","Watford"
6891,5,51.65438,-0.40575,210,"    210G3067","Watford"
6892,5,51.65266,-0.40798,210,"    210G3066","Watford"
6893,5,51.65084,-0.41144,210,"    210G3065","Watford"
6900,5,51.65549,-0.41125,210,"    210G3068","Watford"
6982,5,51.69488,-0.42984,210,"    210G2886","Watford"
6983,5,51.69639,-0.43065,210,"    210G2887","Watford"
6984,5,51.69552,-0.4332,210,"    210G2885","Watford"
6985,5,51.69346,-0.43511,210,"    210G2882","Watford"
