"node","layer","lat","lon","zone","atcocode","city"
183,5,52.30694,-0.71538,300,"  300G349AAP","Wellingborough"
184,5,52.30507,-0.71684,300,"  300G349AAR","Wellingborough"
185,5,52.30683,-0.71025,300,"  300G349AAS","Wellingborough"
186,5,52.30444,-0.69896,300,"  300G349AAT","Wellingborough"
187,5,52.30412,-0.69929,300,"  300G349AAU","Wellingborough"
188,5,52.29992,-0.703,300,"  300G349AAW","Wellingborough"
189,5,52.30234,-0.71035,300,"  300G349AAX","Wellingborough"
190,5,52.29927,-0.70404,300,"  300G349AAY","Wellingborough"
191,5,52.29857,-0.7088,300,"  300G349AAZ","Wellingborough"
195,5,52.30768,-0.7359,300,"  300G349AAB","Wellingborough"
196,5,52.31024,-0.73467,300,"  300G349AAC","Wellingborough"
197,5,52.31196,-0.7311,300,"  300G349AAD","Wellingborough"
198,5,52.31022,-0.72793,300,"  300G349AAE","Wellingborough"
200,5,52.31194,-0.7075,300,"  300G349AAJ","Wellingborough"
201,5,52.31344,-0.70445,300,"  300G349AAK","Wellingborough"
202,5,52.31035,-0.71337,300,"  300G349AAL","Wellingborough"
203,5,52.30992,-0.71495,300,"  300G349AAM","Wellingborough"
457,5,52.3088,-0.6996,300,"    300G349U","Wellingborough"
458,5,52.31262,-0.67688,300,"    300G349P","Wellingborough"
459,5,52.31154,-0.68023,300,"    300G349Q","Wellingborough"
460,5,52.29609,-0.71676,300,"    300G349H","Wellingborough"
461,5,52.29617,-0.71234,300,"    300G349I","Wellingborough"
462,5,52.29403,-0.71362,300,"    300G349J","Wellingborough"
514,5,52.23842,-0.71172,300,"    300G272B","Wellingborough"
1170,5,52.30101,-0.69676,300,"  300G349AAV","Wellingborough"
1225,5,52.30808,-0.71436,300,"  300G349AAO","Wellingborough"
2369,5,52.31534,-0.70084,300,"   300G349GT","Wellingborough"
2375,5,52.31678,-0.70016,300,"   300G349GC","Wellingborough"
2744,5,52.29548,-0.68638,300,"    300G349C","Wellingborough"
5781,5,52.33131,-0.8105,300,"     300G177","Wellingborough"
5804,5,52.30119,-0.71784,300," 300G349AAAB","Wellingborough"
5805,5,52.30294,-0.71908,300," 300G349AAAC","Wellingborough"
5806,5,52.30098,-0.72345,300," 300G349AAAF","Wellingborough"
5807,5,52.30142,-0.72514,300," 300G349AAAG","Wellingborough"
5833,5,52.31285,-0.70982,300,"  300G349AAI","Wellingborough"
6174,5,52.28968,-0.77529,300,"     300G241","Wellingborough"
6175,5,52.2261,-0.67702,300,"    300G071B","Wellingborough"
8929,5,52.2973,-0.70213,300,"  300G349AQ3","Wellingborough"
10402,2,52.30379,-0.67664,300," 910GWLNGBRO","Wellingborough"
10402,5,52.30379,-0.67664,300," 910GWLNGBRO","Wellingborough"
12944,5,52.29259,-0.68388,300,"   300G349AD","Wellingborough"
15642,5,52.29973,-0.73543,300,"   300G349AV","Wellingborough"
15643,5,52.30219,-0.73807,300,"   300G349AW","Wellingborough"
15645,5,52.29944,-0.72913,300,"   300G349AU","Wellingborough"
15646,5,52.29711,-0.71941,300,"   300G349AR","Wellingborough"
15648,5,52.29454,-0.71114,300,"   300G349AP","Wellingborough"
15658,5,52.29306,-0.70012,300,"   300G349AN","Wellingborough"
15659,5,52.29218,-0.70742,300,"   300G349AO","Wellingborough"
15660,5,52.29023,-0.69738,300,"   300G349AL","Wellingborough"
15661,5,52.29357,-0.69642,300,"   300G349AM","Wellingborough"
17033,5,52.29773,-0.7012,300," 300G349AAAL","Wellingborough"
17263,5,52.30847,-0.7164,300," 300G349AAO2","Wellingborough"
17281,5,52.28251,-0.66464,300,"    300G200G","Wellingborough"
17479,5,52.26488,-0.74534,300,"    300G135H","Wellingborough"
17480,5,52.26612,-0.75715,300,"    300G135K","Wellingborough"
17481,5,52.27031,-0.75832,300,"    300G135J","Wellingborough"
17483,5,52.2723,-0.76156,300,"    300G135A","Wellingborough"
17485,5,52.2737,-0.74634,300,"    300G135B","Wellingborough"
17486,5,52.27471,-0.76649,300,"    300G135E","Wellingborough"
17487,5,52.26766,-0.74932,300,"    300G135D","Wellingborough"
17488,5,52.26496,-0.74143,300,"    300G135G","Wellingborough"
17489,5,52.26923,-0.74689,300,"    300G135F","Wellingborough"
17844,5,52.31049,-0.7113,300,"   300G349VF","Wellingborough"
19379,5,52.24048,-0.7593,300,"    300G397F","Wellingborough"
21524,5,52.22325,-0.67696,300,"     300G071","Wellingborough"
22230,5,52.28069,-0.65858,300,"    300G200A","Wellingborough"
24743,5,52.27997,-0.70406,300,"    300G165B","Wellingborough"
24745,5,52.27332,-0.71161,300,"    300G165D","Wellingborough"
24746,5,52.27243,-0.71546,300,"    300G165E","Wellingborough"
24747,5,52.27047,-0.72015,300,"    300G165F","Wellingborough"
25252,5,52.25394,-0.67274,300,"    300G398J","Wellingborough"
25253,5,52.25784,-0.67576,300,"    300G398K","Wellingborough"
25254,5,52.25702,-0.66816,300,"    300G398H","Wellingborough"
25255,5,52.25575,-0.67015,300,"    300G398I","Wellingborough"
25269,5,52.24341,-0.73902,300,"    300G398S","Wellingborough"
25270,5,52.28945,-0.72263,300,"    300G398P","Wellingborough"
25271,5,52.28743,-0.72732,300,"    300G398Q","Wellingborough"
25511,5,52.3123,-0.70079,300,"    300G349Y","Wellingborough"
25785,5,52.26523,-0.75332,300,"     300G135","Wellingborough"
26505,5,52.29734,-0.79955,300,"     300G366","Wellingborough"
26893,5,52.29419,-0.71618,300,"    300G349A","Wellingborough"
27917,5,52.28204,-0.70092,300,"    300G265A","Wellingborough"
29120,5,52.34211,-0.73834,300,"    300G249A","Wellingborough"
30713,5,52.31135,-0.71715,300," 300G349AAM2","Wellingborough"
30929,5,52.31161,-0.71338,300,"   300G349KW","Wellingborough"
32333,5,52.33968,-0.70581,300,"    300G203Q","Wellingborough"
32334,5,52.28779,-0.67903,300,"    300G203P","Wellingborough"
32335,5,52.33658,-0.72084,300,"    300G203S","Wellingborough"
32336,5,52.33924,-0.71054,300,"    300G203R","Wellingborough"
32337,5,52.33495,-0.72469,300,"    300G203T","Wellingborough"
32338,5,52.33356,-0.72752,300,"    300G203W","Wellingborough"
33297,5,52.30283,-0.69413,300,"     300G349","Wellingborough"
35554,5,52.29603,-0.69415,300," 300G349AAAJ","Wellingborough"
35558,5,52.29938,-0.69189,300," 300G349AAAH","Wellingborough"
35561,5,52.29769,-0.68863,300," 300G349AAAI","Wellingborough"
35588,5,52.29948,-0.72009,300," 300G349AAAD","Wellingborough"
35591,5,52.30069,-0.72132,300," 300G349AAAE","Wellingborough"
36032,5,52.24087,-0.70923,300,"    300G171C","Wellingborough"
37613,5,52.30922,-0.68198,300,"   300G349ER","Wellingborough"
39108,5,52.33847,-0.64684,300,"     300G152","Wellingborough"
40332,5,52.30811,-0.70975,300," 300G349AAS3","Wellingborough"
42326,5,52.29199,-0.70428,300,"   300G349MC","Wellingborough"
42867,5,52.2981,-0.72619,300,"   300G349AT","Wellingborough"
42875,5,52.29725,-0.72347,300,"   300G349AS","Wellingborough"
42883,5,52.29568,-0.70709,300,"   300G349AQ","Wellingborough"
42904,5,52.30206,-0.72857,300,"   300G349AX","Wellingborough"
42910,5,52.28732,-0.69797,300,"   300G349AG","Wellingborough"
43177,5,52.27432,-0.70839,300,"     300G165","Wellingborough"
44534,5,52.29182,-0.69775,300,"   300G349RO","Wellingborough"
45590,5,52.27679,-0.70528,300,"    300G165C","Wellingborough"
45805,5,52.32975,-0.70995,300,"     300G166","Wellingborough"
47631,5,52.29688,-0.69684,300,"  300G349AN1","Wellingborough"
47637,5,52.29539,-0.69795,300,"  300G349AN5","Wellingborough"
47966,5,52.29657,-0.70418,300,"  300G349AQ2","Wellingborough"
48810,5,52.23405,-0.71446,300,"     300G171","Wellingborough"
48834,5,52.23317,-0.71563,300,"    300G171A","Wellingborough"
48900,5,52.28307,-0.73269,300,"    300G398R","Wellingborough"
49491,5,52.3405,-0.64968,300,"    300G152B","Wellingborough"
49492,5,52.33681,-0.65574,300,"    300G152C","Wellingborough"
49493,5,52.33843,-0.65143,300,"    300G152A","Wellingborough"
49495,5,52.33485,-0.65788,300,"    300G152D","Wellingborough"
49892,5,52.29188,-0.70087,300,"   300G349JC","Wellingborough"
50262,5,52.32007,-0.70716,300,"   300G349W4","Wellingborough"
55942,5,52.29334,-0.76982,300," 300000229OB","Wellingborough"
55947,5,52.29278,-0.77582,300," 300000229OT","Wellingborough"
67360,5,52.31473,-0.71427,300," 300000965DW","Wellingborough"
75574,5,52.31217,-0.71242,300," 300000524TC","Wellingborough"
76363,5,52.31488,-0.70398,300," 300000526HR","Wellingborough"
81928,5,52.28807,-0.70712,300,"  300000847B","Wellingborough"
82145,5,52.29817,-0.67746,300," 300000838CA","Wellingborough"
92866,5,52.28552,-0.71013,300,"  300000962C","Wellingborough"
94489,5,52.29023,-0.77543,300," 300000229CR","Wellingborough"
101664,5,52.31469,-0.6952,300," 300000841OP","Wellingborough"
101665,5,52.31287,-0.69939,300," 300000841OR","Wellingborough"
106596,5,52.29033,-0.7086,300," 300000847DS","Wellingborough"
108004,5,52.312,-0.68655,300," 300000836NL","Wellingborough"
112296,5,52.30408,-0.68498,300," 300000959MR","Wellingborough"
112297,5,52.30384,-0.68722,300," 300000959MS","Wellingborough"
112427,5,52.29875,-0.68289,300,"  300000839I","Wellingborough"
117319,5,52.30128,-0.68763,300," 300000842MA","Wellingborough"
123498,5,52.22573,-0.74304,300,"  300000058F","Wellingborough"
125095,5,52.29033,-0.76973,300," 300000229GR","Wellingborough"
130847,5,52.29178,-0.70212,300," 300000387JC","Wellingborough"
134002,5,52.31562,-0.70852,300,"  300000965R","Wellingborough"
144049,5,52.31555,-0.69,300," 300000840NC","Wellingborough"
144050,5,52.31671,-0.69134,300," 300000840NF","Wellingborough"
146838,5,52.32076,-0.70591,300," 300000297FF","Wellingborough"
149992,5,52.30795,-0.69348,300," 300000443GS","Wellingborough"
151644,5,52.28692,-0.69889,300," 300000847VR","Wellingborough"
154014,5,52.31496,-0.69023,300," 300000840OG","Wellingborough"
