"node","layer","lat","lon","zone","atcocode","city"
314,5,51.78848,-0.18495,210,"    210G9361","Welwyn Garden City"
344,5,51.83861,-0.20089,210,"    210G1282","Welwyn Garden City"
1688,5,51.82833,-0.18226,210,"    210G1234","Welwyn Garden City"
2788,5,51.80171,-0.18102,210,"    210G1091","Welwyn Garden City"
2789,5,51.80226,-0.18399,210,"    210G1094","Welwyn Garden City"
2790,5,51.80606,-0.18183,210,"    210G1097","Welwyn Garden City"
3033,5,51.83546,-0.21827,210,"    210G1299","Welwyn Garden City"
3226,5,51.82406,-0.09876,210,"    210G1252","Welwyn Garden City"
3227,5,51.83871,-0.09955,210,"    210G1253","Welwyn Garden City"
3228,5,51.81543,-0.09674,210,"    210G1250","Welwyn Garden City"
3229,5,51.81835,-0.099,210,"    210G1251","Welwyn Garden City"
3231,5,51.83545,-0.1007,210,"    210G1254","Welwyn Garden City"
3232,5,51.84737,-0.09849,210,"    210G1255","Welwyn Garden City"
3373,5,51.82903,-0.2207,210,"    210G9421","Welwyn Garden City"
3495,5,51.80973,-0.28331,210,"    210G9161","Welwyn Garden City"
3909,5,51.78458,-0.18751,210,"    210G1199","Welwyn Garden City"
3910,5,51.79066,-0.17182,210,"    210G1198","Welwyn Garden City"
3913,5,51.78563,-0.17977,210,"    210G1195","Welwyn Garden City"
3914,5,51.78754,-0.17727,210,"    210G1194","Welwyn Garden City"
3915,5,51.79052,-0.17614,210,"    210G1196","Welwyn Garden City"
3916,5,51.78939,-0.18308,210,"    210G1191","Welwyn Garden City"
3917,5,51.79032,-0.1835,210,"    210G1190","Welwyn Garden City"
3918,5,51.79037,-0.17871,210,"    210G1193","Welwyn Garden City"
4663,2,51.80105,-0.20407,910," 910GWLWYNGC","Welwyn Garden City"
4663,5,51.80105,-0.20407,910," 910GWLWYNGC","Welwyn Garden City"
5655,5,51.81532,-0.19842,210,"    210G1114","Welwyn Garden City"
6115,5,51.81069,-0.19527,210,"    210G1132","Welwyn Garden City"
6120,5,51.80823,-0.20542,210,"    210G1131","Welwyn Garden City"
6123,5,51.81111,-0.19763,210,"    210G1130","Welwyn Garden City"
7018,5,51.84205,-0.19348,210,"    210G1281","Welwyn Garden City"
7019,5,51.80718,-0.26124,210,"    210G1280","Welwyn Garden City"
7020,5,51.84603,-0.18821,210,"    210G1283","Welwyn Garden City"
7023,5,51.84775,-0.18509,210,"    210G1284","Welwyn Garden City"
7709,5,51.79649,-0.10483,210,"     210G849","Welwyn Garden City"
7711,5,51.80044,-0.10184,210,"     210G843","Welwyn Garden City"
7712,5,51.80285,-0.10211,210,"     210G842","Welwyn Garden City"
7713,5,51.80456,-0.10462,210,"     210G841","Welwyn Garden City"
7714,5,51.80438,-0.09947,210,"     210G840","Welwyn Garden City"
8911,5,51.78716,-0.19624,210,"    210G1201","Welwyn Garden City"
8912,5,51.78363,-0.19152,210,"    210G1200","Welwyn Garden City"
8913,5,51.78372,-0.19549,210,"    210G1203","Welwyn Garden City"
8914,5,51.78551,-0.20297,210,"    210G1204","Welwyn Garden City"
11326,5,51.79184,-0.16866,210,"    210G3386","Welwyn Garden City"
