"node","layer","lat","lon","zone","atcocode","city"
176,5,51.55503,-0.22885,490,"490G00013372","Wembley"
301,5,51.59789,-0.27883,490,"490G00006882","Wembley"
354,5,51.58531,-0.31033,490,"490G00012760","Wembley"
440,5,51.57092,-0.23214,490,"490G00012589","Wembley"
598,5,51.55196,-0.23907,490," 940GZZLUDOH","Wembley"
598,3,51.55196,-0.23907,490," 940GZZLUDOH","Wembley"
800,5,51.57038,-0.28763,490,"490G00003962","Wembley"
834,5,51.59941,-0.32488,490,"490G00004160","Wembley"
1016,5,51.54244,-0.23423,490,"490G00014689","Wembley"
1448,5,51.58425,-0.24808,490,"490G00008762","Wembley"
1449,5,51.58224,-0.26241,490,"490G00008761","Wembley"
1560,5,51.53909,-0.2509,490,"490G00012803","Wembley"
3402,5,51.54199,-0.23197,490,"490G00010957","Wembley"
3412,5,51.58231,-0.25696,490,"490G00013758","Wembley"
3482,5,51.5558,-0.26497,490,"490G00007753","Wembley"
4184,5,51.599,-0.29079,490,"490G00004334","Wembley"
4655,5,51.56839,-0.34813,490,"490G00012026","Wembley"
4680,5,51.56549,-0.285,490,"490G00004445","Wembley"
5233,5,51.56654,-0.24696,490,"490G00007991","Wembley"
5395,5,51.59097,-0.26594,490,"490G00007566","Wembley"
5716,5,51.5715,-0.21909,490,"490G00005434","Wembley"
5717,5,51.56901,-0.21877,490,"490G00005435","Wembley"
5731,5,51.56378,-0.33503,490,"490G00005388","Wembley"
5837,5,51.59865,-0.27267,490,"490G00013416","Wembley"
5874,5,51.58212,-0.3063,490,"490G00006145","Wembley"
6036,5,51.57565,-0.22329,490,"490G00004282","Wembley"
6038,5,51.55111,-0.26167,490,"490G00004286","Wembley"
6421,5,51.54686,-0.23908,490,"490G00003935","Wembley"
6675,5,51.53629,-0.25767,490," 910GHARLSDN","Wembley"
6675,2,51.53629,-0.25767,490," 910GHARLSDN","Wembley"
6675,3,51.53629,-0.25767,490," 910GHARLSDN","Wembley"
6776,2,51.5544,-0.31547,490," 910GSDBRYHR","Wembley"
6776,5,51.5544,-0.31547,490," 910GSDBRYHR","Wembley"
6776,3,51.5544,-0.31547,490," 910GSDBRYHR","Wembley"
6927,5,51.57272,-0.33732,490,"490G00007866","Wembley"
7589,5,51.55111,-0.26502,490,"490G00010676","Wembley"
7604,5,51.58723,-0.30317,490,"490G00013499","Wembley"
7669,5,51.5591,-0.32705,490,"490G00011234","Wembley"
8203,5,51.57253,-0.35293,490,"490G00011122","Wembley"
8457,5,51.56313,-0.24527,490,"490G00011414","Wembley"
8765,5,51.56056,-0.28157,490,"490G00007063","Wembley"
9119,5,51.55265,-0.32622,490,"490G00011706","Wembley"
9318,5,51.54297,-0.25957,490,"490G00006769","Wembley"
9322,5,51.60325,-0.28374,490,"490G00009815","Wembley"
9633,5,51.58784,-0.22905,490,"490G00008056","Wembley"
9711,5,51.57656,-0.32568,490,"490G00015197","Wembley"
10100,5,51.58296,-0.26202,490,"490G00005271","Wembley"
10112,5,51.56252,-0.2921,490,"490G00006366","Wembley"
10845,5,51.60119,-0.26726,490,"490G00013255","Wembley"
10849,5,51.58749,-0.25144,490,"490G00012043","Wembley"
10965,5,51.57073,-0.34605,490,"490G00006216","Wembley"
11026,5,51.56205,-0.3184,490,"490G00005669","Wembley"
11495,5,51.54257,-0.23626,490,"490G00019235","Wembley"
11608,5,51.59372,-0.29086,490,"490G00013423","Wembley"
11777,5,51.53676,-0.28346,490,"490G00008521","Wembley"
11785,5,51.59545,-0.23363,490,"490G00012291","Wembley"
11930,5,51.57952,-0.29015,490,"490G00011926","Wembley"
11942,5,51.55943,-0.2905,490,"490G00014381","Wembley"
12305,5,51.54745,-0.26007,490,"490G00013098","Wembley"
12322,5,51.57931,-0.32742,490,"490G00007149","Wembley"
12381,5,51.58421,-0.26582,490,"490G00011635","Wembley"
12511,5,51.59257,-0.3463,490,"490G00013383","Wembley"
12556,5,51.57613,-0.32461,490,"490G00010425","Wembley"
12764,5,51.5626,-0.30398,490," 910GNWEMBLY","Wembley"
12764,2,51.5626,-0.30398,490," 910GNWEMBLY","Wembley"
12764,3,51.5626,-0.30398,490," 910GNWEMBLY","Wembley"
13256,5,51.56017,-0.27863,490,"490G00011818","Wembley"
13427,5,51.55676,-0.24607,490,"490G00010118","Wembley"
13448,5,51.59663,-0.33555,490,"490G00007844","Wembley"
13480,5,51.5563,-0.24995,490,"490G00011248","Wembley"
13502,5,51.5537,-0.26165,490,"490G00008456","Wembley"
13528,5,51.56159,-0.28631,490,"490G00009552","Wembley"
13551,5,51.57641,-0.34299,490,"490G00011745","Wembley"
13589,5,51.53762,-0.27629,490,"490G00013831","Wembley"
13804,5,51.59644,-0.28878,490,"490G00009966","Wembley"
13985,5,51.54285,-0.25433,490,"490G00005255","Wembley"
13987,5,51.56581,-0.26645,490,"490G00004051","Wembley"
14025,5,51.56499,-0.26345,490,"490G00004052","Wembley"
14443,5,51.53965,-0.31164,490,"490G00009064","Wembley"
14618,5,51.55389,-0.21813,490,"490G00003337","Wembley"
14737,5,51.5508,-0.26096,490,"490G00008746","Wembley"
14835,5,51.54126,-0.26107,490,"490G00012848","Wembley"
14985,5,51.55242,-0.25748,490,"490G00014856","Wembley"
15464,5,51.58649,-0.29341,490,"490G00012128","Wembley"
15803,5,51.55747,-0.24739,490,"490G00006097","Wembley"
15960,5,51.53226,-0.28721,490,"490G00016718","Wembley"
16322,5,51.5492,-0.2405,490,"490G00009844","Wembley"
16599,5,51.53226,-0.28568,490,"490G00016693","Wembley"
16827,5,51.59189,-0.28566,490,"490G00011328","Wembley"
17441,5,51.54755,-0.22438,490,"490G00014693","Wembley"
17459,5,51.54923,-0.24644,490,"490G00014694","Wembley"
17659,5,51.58129,-0.34477,490,"490G00010175","Wembley"
17897,5,51.57502,-0.26246,490,"490G00011327","Wembley"
17941,5,51.54738,-0.23373,490,"490G00014088","Wembley"
18067,5,51.53724,-0.29868,490,"490G00007198","Wembley"
18422,5,51.58331,-0.22642,490," 940GZZLUHCL","Wembley"
18422,3,51.58331,-0.22642,490," 940GZZLUHCL","Wembley"
18490,5,51.53348,-0.29056,490,"490G00010751","Wembley"
18867,5,51.5428,-0.22536,490,"490G00012147","Wembley"
19020,5,51.54395,-0.3058,490,"490G00005414","Wembley"
19021,5,51.55895,-0.24851,490,"490G00005412","Wembley"
19225,5,51.54845,-0.27862,490,"490G00006871","Wembley"
19278,5,51.55426,-0.22196,490,"490G00005993","Wembley"
20291,5,51.56541,-0.26095,490,"490G00015756","Wembley"
20454,5,51.5824,-0.28818,490,"490G00009792","Wembley"
20981,5,51.59217,-0.33457,490,"    910GHROW","Wembley"
20981,2,51.59217,-0.33457,490,"    910GHROW","Wembley"
20981,3,51.59217,-0.33457,490,"    910GHROW","Wembley"
21050,5,51.59101,-0.32229,490,"490G00008634","Wembley"
21715,5,51.54915,-0.22153,490," 940GZZLUWIG","Wembley"
21715,3,51.54915,-0.22153,490," 940GZZLUWIG","Wembley"
21826,5,51.57702,-0.34451,490,"490G00008984","Wembley"
22447,5,51.57022,-0.30846,490," 910GSKENTON","Wembley"
22447,2,51.57022,-0.30846,490," 910GSKENTON","Wembley"
22447,3,51.57022,-0.30846,490," 910GSKENTON","Wembley"
22644,5,51.56586,-0.27411,490,"490G00004301","Wembley"
23015,5,51.56327,-0.25974,490,"490G00011297","Wembley"
23179,5,51.55851,-0.2473,490,"490G00007203","Wembley"
23221,5,51.60044,-0.33791,490,"490G00011882","Wembley"
23282,5,51.55324,-0.33832,490,"490G00010542","Wembley"
23335,5,51.56828,-0.24214,490,"490G00004483","Wembley"
23547,5,51.53018,-0.2927,490," 940GZZLUHGR","Wembley"
23547,3,51.53018,-0.2927,490," 940GZZLUHGR","Wembley"
23677,5,51.54976,-0.26481,490,"490G00009152","Wembley"
23744,5,51.53107,-0.30125,490,"490G00009485","Wembley"
23815,5,51.56464,-0.23936,490,"490G00004470","Wembley"
24340,5,51.54122,-0.25416,490,"490G00007804","Wembley"
24405,5,51.55755,-0.32245,490,"490G00009729","Wembley"
24537,5,51.56021,-0.23699,490,"490G00015701","Wembley"
24809,5,51.59657,-0.28591,490,"490G00013845","Wembley"
24817,5,51.58455,-0.34153,490,"490G00008254","Wembley"
25213,5,51.54746,-0.26579,490,"490G00005538","Wembley"
25303,5,51.5632,-0.27926,490," 940GZZLUWYP","Wembley"
25303,3,51.5632,-0.27926,490," 940GZZLUWYP","Wembley"
25735,5,51.54534,-0.21936,490,"490G00009935","Wembley"
25966,5,51.54128,-0.32027,490,"490G00008583","Wembley"
26780,5,51.60445,-0.328,490,"490G00013338","Wembley"
26789,5,51.58138,-0.34952,490,"490G00010683","Wembley"
27459,5,51.56857,-0.34233,490,"490G00011746","Wembley"
27767,5,51.58598,-0.27446,490,"490G00013997","Wembley"
27851,2,51.54412,-0.27583,490," 910GSTNBGPK","Wembley"
27851,5,51.54412,-0.27583,490," 910GSTNBGPK","Wembley"
27851,3,51.54412,-0.27583,490," 910GSTNBGPK","Wembley"
28168,5,51.57744,-0.29187,490,"490G00008729","Wembley"
28249,5,51.54226,-0.26631,490,"490G00012847","Wembley"
28333,5,51.56283,-0.31258,490,"490G00012980","Wembley"
28335,5,51.58734,-0.26471,490,"490G00007959","Wembley"
28532,5,51.58852,-0.2596,490,"490G00004562","Wembley"
28931,5,51.59497,-0.29326,490,"490G00011326","Wembley"
28970,5,51.54676,-0.21954,490,"490G00012148","Wembley"
28971,5,51.59631,-0.31281,490,"490G00011323","Wembley"
29189,5,51.56793,-0.2722,490,"490G00015753","Wembley"
29449,5,51.59457,-0.30464,490,"490G00010037","Wembley"
29502,5,51.55345,-0.33307,490,"490G00011567","Wembley"
29858,5,51.54515,-0.2524,490,"490G00005302","Wembley"
30123,5,51.57515,-0.34999,490,"490G00013792","Wembley"
30126,5,51.55003,-0.28163,490,"490G00013797","Wembley"
30611,5,51.53853,-0.30582,490,"490G00009555","Wembley"
30657,5,51.56997,-0.2369,490,"490G00005474","Wembley"
30658,5,51.56638,-0.23392,490,"490G00005476","Wembley"
30827,5,51.5414,-0.23071,490,"490G00006108","Wembley"
31227,5,51.55998,-0.2407,490,"490G00007204","Wembley"
31540,5,51.55399,-0.24984,490," 940GZZLUNDN","Wembley"
31540,3,51.55399,-0.24984,490," 940GZZLUNDN","Wembley"
31611,5,51.53996,-0.31463,490,"490G00003128","Wembley"
31788,5,51.59984,-0.29608,490,"490G00004365","Wembley"
31895,5,51.54838,-0.23791,490,"490G00014687","Wembley"
32169,5,51.54012,-0.3243,490,"490G00010945","Wembley"
32234,5,51.56913,-0.26305,490,"490G00006005","Wembley"
32268,5,51.58007,-0.23867,490,"    910GHDON","Wembley"
32268,2,51.58007,-0.23867,490,"    910GHDON","Wembley"
32564,5,51.58083,-0.28619,490,"490G00013367","Wembley"
32659,5,51.56965,-0.33985,490,"490G00007854","Wembley"
32801,5,51.5958,-0.26164,490,"490G00004791","Wembley"
32804,5,51.5648,-0.28874,490,"490G00004795","Wembley"
32886,5,51.55947,-0.24322,490,"490G00010844","Wembley"
33826,5,51.57216,-0.26247,490,"490G00009002","Wembley"
33993,5,51.59811,-0.24072,490,"490G00011749","Wembley"
34320,5,51.57749,-0.21984,490,"490G00010329","Wembley"
34385,5,51.5942,-0.28622,490," 940GZZLUQBY","Wembley"
34385,3,51.5942,-0.28622,490," 940GZZLUQBY","Wembley"
34946,5,51.55233,-0.29643,490,"    910GWMBY","Wembley"
34946,2,51.55233,-0.29643,490,"    910GWMBY","Wembley"
34946,3,51.55233,-0.29643,490,"    910GWMBY","Wembley"
34951,5,51.59114,-0.24668,490,"490G00017814","Wembley"
35211,5,51.60178,-0.29682,490,"490G00014676","Wembley"
35241,5,51.6017,-0.288,490,"490G00012639","Wembley"
35633,2,51.55847,-0.3358,490," 910GSDBRYHH","Wembley"
35633,5,51.55847,-0.3358,490," 910GSDBRYHH","Wembley"
35633,3,51.55847,-0.3358,490," 910GSDBRYHH","Wembley"
35871,5,51.54063,-0.29961,490," 940GZZLUALP","Wembley"
35871,3,51.54063,-0.29961,490," 940GZZLUALP","Wembley"
35964,5,51.57553,-0.29448,490,"490G00014820","Wembley"
35966,5,51.57755,-0.30611,490,"490G00014825","Wembley"
36674,5,51.59043,-0.30897,490,"490G00008424","Wembley"
36678,5,51.56699,-0.22709,490,"490G00008421","Wembley"
36850,5,51.54549,-0.22885,490,"490G00004970","Wembley"
37151,5,51.54517,-0.25966,490,"490G00012018","Wembley"
37326,5,51.55703,-0.25337,490,"490G00014082","Wembley"
37785,5,51.56585,-0.28091,490,"490G00005621","Wembley"
37877,5,51.57198,-0.29511,490," 940GZZLUPRD","Wembley"
37877,3,51.57198,-0.29511,490," 940GZZLUPRD","Wembley"
38187,5,51.59923,-0.31437,490,"490G00005420","Wembley"
38189,5,51.58593,-0.28906,490,"490G00005425","Wembley"
38235,5,51.55462,-0.22563,490,"490G00008077","Wembley"
38288,5,51.56819,-0.32139,490,"490G00013393","Wembley"
38423,5,51.60178,-0.3252,490,"490G00006860","Wembley"
38469,5,51.57824,-0.2889,490,"490G00009512","Wembley"
38618,5,51.5453,-0.2372,490,"490G00010834","Wembley"
38650,5,51.56386,-0.32076,490,"490G00012979","Wembley"
38892,5,51.55538,-0.23381,490,"490G00008620","Wembley"
39617,5,51.59205,-0.31582,490,"490G00008785","Wembley"
39821,5,51.54813,-0.31277,490,"490G00012981","Wembley"
39846,5,51.56054,-0.31958,490,"490G00012983","Wembley"
40105,5,51.59157,-0.25056,490,"490G00017813","Wembley"
40106,5,51.59067,-0.24239,490,"490G00017815","Wembley"
40145,5,51.56436,-0.22458,490,"490G00010665","Wembley"
40835,2,51.58181,-0.31698,490,"    910GKTON","Wembley"
40835,5,51.58181,-0.31698,490,"    910GKTON","Wembley"
40835,3,51.58181,-0.31698,490,"    910GKTON","Wembley"
40889,5,51.54916,-0.24343,490,"490G00003711","Wembley"
