"node","layer","lat","lon","zone","atcocode","city"
725,5,52.51179,-1.98808,940,"  940GZZWMTR","West Bromwich"
725,3,52.51179,-1.98808,940,"  940GZZWMTR","West Bromwich"
12135,5,52.51868,-1.99973,940,"  940GZZWMLR","West Bromwich"
12135,3,52.51868,-1.99973,940,"  940GZZWMLR","West Bromwich"
16094,5,52.53052,-2.01092,940,"  940GZZWMBL","West Bromwich"
16094,3,52.53052,-2.01092,940,"  940GZZWMBL","West Bromwich"
17099,4,52.49639,-1.97064,910," 910GSMTHKRS","West Bromwich"
17099,2,52.49639,-1.97064,910," 910GSMTHKRS","West Bromwich"
17099,5,52.49639,-1.97064,910," 910GSMTHKRS","West Bromwich"
19677,5,52.50872,-1.98269,940,"  940GZZWMKE","West Bromwich"
19677,3,52.50872,-1.98269,940,"  940GZZWMKE","West Bromwich"
21587,5,52.52514,-2.00859,940,"  940GZZWMSG","West Bromwich"
21587,3,52.52514,-2.00859,940,"  940GZZWMSG","West Bromwich"
23566,5,52.50538,-1.96401,910," 910GHNDSHWT","West Bromwich"
23566,2,52.50538,-1.96401,910," 910GHNDSHWT","West Bromwich"
23566,3,52.50538,-1.96401,910," 910GHNDSHWT","West Bromwich"
24812,2,52.50867,-2.0116,910," 910GSNDWDUD","West Bromwich"
24812,5,52.50867,-2.0116,910," 910GSNDWDUD","West Bromwich"
35313,2,52.50179,-1.98051,910," 910GGALTILL","West Bromwich"
35313,5,52.50179,-1.98051,910," 910GGALTILL","West Bromwich"
36993,5,52.50197,-1.95218,940,"  940GZZWMBO","West Bromwich"
36993,3,52.50197,-1.95218,940,"  940GZZWMBO","West Bromwich"
41140,5,52.51662,-1.99477,940,"  940GZZWMWB","West Bromwich"
41140,3,52.51662,-1.99477,940,"  940GZZWMWB","West Bromwich"
47221,5,52.52047,-2.00454,940,"  940GZZWMDR","West Bromwich"
47221,3,52.52047,-2.00454,940,"  940GZZWMDR","West Bromwich"
50851,2,52.49388,-2.00496,910,"    910GLGRN","West Bromwich"
50851,5,52.49388,-2.00496,910,"    910GLGRN","West Bromwich"
51859,5,52.54007,-2.00425,430," 43000970901","West Bromwich"
51874,5,52.48791,-1.96227,430," 43000940401","West Bromwich"
52126,5,52.49928,-1.99281,430," 43000942102","West Bromwich"
53410,5,52.5096,-1.95527,430," 43000260701","West Bromwich"
53411,5,52.50961,-1.95527,430," 43000260702","West Bromwich"
54656,5,52.49701,-2.03099,430," 43000922502","West Bromwich"
56639,5,52.48214,-1.97623,430," 43009041503","West Bromwich"
57357,5,52.48645,-1.98493,430," 43000938602","West Bromwich"
57385,5,52.49471,-1.97632,430," 43000944901","West Bromwich"
57386,5,52.49462,-1.97608,430," 43000944902","West Bromwich"
57620,5,52.48328,-1.99386,430," 43000952601","West Bromwich"
57621,5,52.48345,-1.99383,430," 43000952602","West Bromwich"
57972,5,52.48895,-1.99464,430," 43000936203","West Bromwich"
58429,5,52.49072,-2.02538,430," 43000915901","West Bromwich"
