"node","layer","lat","lon","zone","atcocode","city"
9429,4,51.34432,-2.97168,910,"  910GWSMARE","Weston-super-Mare"
9429,2,51.34432,-2.97168,910,"  910GWSMARE","Weston-super-Mare"
9429,5,51.34432,-2.97168,910,"  910GWSMARE","Weston-super-Mare"
12816,5,51.34847,-2.9424,910," 910GWMILTON","Weston-super-Mare"
12816,2,51.34847,-2.9424,910," 910GWMILTON","Weston-super-Mare"
42787,4,51.35803,-2.90964,910,"   910GWORLE","Weston-super-Mare"
42787,2,51.35803,-2.90964,910,"   910GWORLE","Weston-super-Mare"
42787,5,51.35803,-2.90964,910,"   910GWORLE","Weston-super-Mare"
52643,5,51.36756,-2.92869,19,"0190NSC30218","Weston-super-Mare"
52644,5,51.36759,-2.92826,19,"0190NSC30219","Weston-super-Mare"
53673,5,51.25749,-2.96311,360,"3600SOC31549","Weston-super-Mare"
53674,5,51.25746,-2.96324,360,"3600SOC31548","Weston-super-Mare"
54166,5,51.32418,-2.97654,19,"0190NSC30320","Weston-super-Mare"
54167,5,51.32175,-2.96381,19,"0190NSC30321","Weston-super-Mare"
54168,5,51.32172,-2.96143,19,"0190NSC30322","Weston-super-Mare"
54169,5,51.322,-2.95941,19,"0190NSC30323","Weston-super-Mare"
54170,5,51.3221,-2.95665,19,"0190NSC30324","Weston-super-Mare"
54171,5,51.3219,-2.95724,19,"0190NSC30325","Weston-super-Mare"
54172,5,51.32228,-2.96754,19,"0190NSC30326","Weston-super-Mare"
54173,5,51.32341,-2.96817,19,"0190NSC30327","Weston-super-Mare"
54174,5,51.32645,-2.96766,19,"0190NSC30328","Weston-super-Mare"
54175,5,51.32664,-2.96753,19,"0190NSC30329","Weston-super-Mare"
54979,5,51.36254,-2.88183,19,"0190NSC01261","Weston-super-Mare"
54980,5,51.36238,-2.88172,19,"0190NSC01260","Weston-super-Mare"
55306,5,51.30983,-2.96097,19,"0190NSC31150","Weston-super-Mare"
55307,5,51.30741,-2.95782,19,"0190NSC31151","Weston-super-Mare"
55308,5,51.30424,-2.9489,19,"0190NSC31152","Weston-super-Mare"
55309,5,51.30417,-2.94899,19,"0190NSC31153","Weston-super-Mare"
55865,5,51.34392,-2.98076,19,"0190NSC30038","Weston-super-Mare"
55866,5,51.34545,-2.98141,19,"0190NSC30039","Weston-super-Mare"
55868,5,51.33477,-2.98272,19,"0190NSC30034","Weston-super-Mare"
55869,5,51.3383,-2.98179,19,"0190NSC30035","Weston-super-Mare"
55870,5,51.34108,-2.98109,19,"0190NSC30036","Weston-super-Mare"
55871,5,51.34275,-2.98082,19,"0190NSC30037","Weston-super-Mare"
55872,5,51.34256,-2.98062,19,"0190NSC30030","Weston-super-Mare"
55873,5,51.34047,-2.98102,19,"0190NSC30031","Weston-super-Mare"
55874,5,51.33837,-2.98156,19,"0190NSC30032","Weston-super-Mare"
55875,5,51.33546,-2.98232,19,"0190NSC30033","Weston-super-Mare"
56007,5,51.32973,-2.88034,19,"0190NSC30505","Weston-super-Mare"
58918,5,51.34029,-2.95945,19,"0190NSC30404","Weston-super-Mare"
58919,5,51.34807,-2.97397,19,"0190NSC30407","Weston-super-Mare"
58920,5,51.34181,-2.95763,19,"0190NSC30406","Weston-super-Mare"
58921,5,51.34998,-2.97383,19,"0190NSC30408","Weston-super-Mare"
59033,5,51.35529,-2.99064,19,"0190NSC30419","Weston-super-Mare"
60671,5,51.37655,-2.84147,19,"0190NSC30574","Weston-super-Mare"
60673,5,51.37554,-2.85251,19,"0190NSC30571","Weston-super-Mare"
60674,5,51.37588,-2.86039,19,"0190NSC30570","Weston-super-Mare"
60676,5,51.37577,-2.85246,19,"0190NSC30572","Weston-super-Mare"
62001,5,51.34819,-2.95992,19,"0190NSC30431","Weston-super-Mare"
63349,5,51.25875,-2.99976,360,"3600SOC31559","Weston-super-Mare"
63350,5,51.25942,-2.97601,360,"3600SOC31556","Weston-super-Mare"
63351,5,51.25893,-2.96377,360,"3600SOC31554","Weston-super-Mare"
63352,5,51.25936,-2.97614,360,"3600SOC31555","Weston-super-Mare"
63353,5,51.25873,-2.9638,360,"3600SOC31552","Weston-super-Mare"
63354,5,51.25894,-2.96389,360,"3600SOC31553","Weston-super-Mare"
63809,5,51.35315,-2.94803,19,"0190NSC30355","Weston-super-Mare"
63810,5,51.35247,-2.95139,19,"0190NSC30354","Weston-super-Mare"
63811,5,51.35423,-2.94318,19,"0190NSC30357","Weston-super-Mare"
63812,5,51.35311,-2.94727,19,"0190NSC30356","Weston-super-Mare"
63813,5,51.35164,-2.9565,19,"0190NSC30351","Weston-super-Mare"
63814,5,51.35092,-2.96002,19,"0190NSC30350","Weston-super-Mare"
63815,5,51.35252,-2.95228,19,"0190NSC30353","Weston-super-Mare"
63816,5,51.35149,-2.95595,19,"0190NSC30352","Weston-super-Mare"
63818,5,51.35441,-2.94289,19,"0190NSC30358","Weston-super-Mare"
65233,5,51.37011,-2.91019,19,"0190NSZ01267","Weston-super-Mare"
65235,5,51.367,-2.9038,19,"0190NSZ01264","Weston-super-Mare"
66055,5,51.36034,-2.91761,19,"0190NSA01331","Weston-super-Mare"
66056,5,51.36141,-2.92042,19,"0190NSA01330","Weston-super-Mare"
66057,5,51.35926,-2.91715,19,"0190NSA01332","Weston-super-Mare"
68561,5,51.35585,-2.98212,19,"0190NSC30416","Weston-super-Mare"
68562,5,51.35589,-2.98382,19,"0190NSC30417","Weston-super-Mare"
68563,5,51.35402,-2.97829,19,"0190NSC30414","Weston-super-Mare"
68564,5,51.35612,-2.9787,19,"0190NSC30415","Weston-super-Mare"
68565,5,51.35244,-2.9773,19,"0190NSC30412","Weston-super-Mare"
68566,5,51.35364,-2.97601,19,"0190NSC30413","Weston-super-Mare"
68568,5,51.35586,-2.98649,19,"0190NSC30418","Weston-super-Mare"
68700,5,51.37021,-2.90748,19,"0190NSC16163","Weston-super-Mare"
68702,5,51.37005,-2.91016,19,"0190NSC16161","Weston-super-Mare"
70214,5,51.36542,-2.87423,19,"0190NSC30565","Weston-super-Mare"
70215,5,51.37265,-2.8688,19,"0190NSC30568","Weston-super-Mare"
70216,5,51.37602,-2.86064,19,"0190NSC30569","Weston-super-Mare"
72851,5,51.25858,-3.00405,360,"3600SOC31561","Weston-super-Mare"
72852,5,51.25849,-3.00398,360,"3600SOC31560","Weston-super-Mare"
72853,5,51.26615,-2.94803,360,"3600SOC31565","Weston-super-Mare"
72854,5,51.26626,-2.94812,360,"3600SOC31564","Weston-super-Mare"
73278,5,51.35045,-2.96488,19,"0190NSC30348","Weston-super-Mare"
73279,5,51.35087,-2.96147,19,"0190NSC30349","Weston-super-Mare"
73280,5,51.33659,-2.97348,19,"0190NSC30342","Weston-super-Mare"
73281,5,51.33831,-2.97434,19,"0190NSC30343","Weston-super-Mare"
73283,5,51.33556,-2.97379,19,"0190NSC30341","Weston-super-Mare"
73284,5,51.34983,-2.97049,19,"0190NSC30346","Weston-super-Mare"
73285,5,51.3499,-2.96601,19,"0190NSC30347","Weston-super-Mare"
73286,5,51.33829,-2.97567,19,"0190NSC30344","Weston-super-Mare"
73287,5,51.35003,-2.97048,19,"0190NSC30345","Weston-super-Mare"
74013,5,51.34778,-2.92879,19,"0190NSC01247","Weston-super-Mare"
74014,5,51.36562,-2.90291,19,"0190NSC01245","Weston-super-Mare"
74015,5,51.36489,-2.90121,19,"0190NSC01244","Weston-super-Mare"
74016,5,51.36472,-2.9015,19,"0190NSC01243","Weston-super-Mare"
