"node","layer","lat","lon","zone","atcocode","city"
813,4,50.6153,-2.45423,910,"  910GWEYMTH","Weymouth"
813,2,50.6153,-2.45423,910,"  910GWEYMTH","Weymouth"
813,5,50.6153,-2.45423,910,"  910GWEYMTH","Weymouth"
52359,5,50.66848,-2.56351,120,"1200DOY38623","Weymouth"
53109,5,50.60852,-2.47579,120,"1200DOB20146","Weymouth"
58752,5,50.62905,-2.46102,120,"1200DOB20191","Weymouth"
58753,5,50.63258,-2.46434,120,"1200DOB20192","Weymouth"
58754,5,50.63466,-2.46665,120,"1200DOB20193","Weymouth"
58755,5,50.63777,-2.47038,120,"1200DOB20194","Weymouth"
58756,5,50.64184,-2.47109,120,"1200DOB20195","Weymouth"
58757,5,50.64357,-2.47123,120,"1200DOB20196","Weymouth"
58758,5,50.64871,-2.47164,120,"1200DOB20197","Weymouth"
58759,5,50.65297,-2.47023,120,"1200DOB20198","Weymouth"
58760,5,50.65618,-2.46897,120,"1200DOB20199","Weymouth"
60741,5,50.6246,-2.47769,120,"1200DOB20734","Weymouth"
60742,5,50.62708,-2.47763,120,"1200DOB20735","Weymouth"
60743,5,50.62726,-2.47756,120,"1200DOB20736","Weymouth"
60744,5,50.63063,-2.47639,120,"1200DOB20737","Weymouth"
60745,5,50.62061,-2.47903,120,"1200DOB20730","Weymouth"
60746,5,50.62231,-2.47731,120,"1200DOB20731","Weymouth"
60747,5,50.62216,-2.47737,120,"1200DOB20732","Weymouth"
60748,5,50.62457,-2.47786,120,"1200DOB20733","Weymouth"
60751,5,50.65799,-2.47313,120,"1200DOB20739","Weymouth"
68338,5,50.66852,-2.35464,120,"1200DOA25228","Weymouth"
70200,5,50.62711,-2.45915,120,"1200DOZ03431","Weymouth"
72115,5,50.6061,-2.48224,120,"1200DOB20151","Weymouth"
72458,5,50.64419,-2.39191,120,"1200DOY29366","Weymouth"
73188,5,50.62399,-2.50419,120,"1200DOA05781","Weymouth"
73189,5,50.5921,-2.47695,120,"1200DOA05780","Weymouth"
73191,5,50.64417,-2.43097,120,"1200DOA05788","Weymouth"
73997,5,50.58821,-2.47505,120,"1200DOA05759","Weymouth"
78294,5,50.7021,-2.48976,120,"1200DOB20446","Weymouth"
78295,5,50.69858,-2.49832,120,"1200DOB20447","Weymouth"
78542,5,50.63218,-2.52156,120,"1200DOY38787","Weymouth"
79054,5,50.6513,-2.41769,120,"1200DOB20280","Weymouth"
79055,5,50.64903,-2.41857,120,"1200DOB20281","Weymouth"
79056,5,50.64509,-2.38861,120,"1200DOB20282","Weymouth"
79057,5,50.64741,-2.38311,120,"1200DOB20283","Weymouth"
79058,5,50.63847,-2.37465,120,"1200DOB20284","Weymouth"
79059,5,50.65744,-2.36607,120,"1200DOB20285","Weymouth"
82924,5,50.69792,-2.49374,120,"1200DOA05791","Weymouth"
93671,5,50.65773,-2.47324,120,"1200DOB20738","Weymouth"
95731,5,50.60567,-2.4748,120,"1200DOZ04804","Weymouth"
95733,5,50.61931,-2.48212,120,"1200DOZ04806","Weymouth"
95734,5,50.60003,-2.48038,120,"1200DOZ04802","Weymouth"
95735,5,50.60038,-2.48045,120,"1200DOZ04803","Weymouth"
96766,5,50.63057,-2.49436,120,"1200DOY38620","Weymouth"
96772,5,50.66999,-2.56415,120,"1200DOY38626","Weymouth"
98556,5,50.64756,-2.41864,120,"1200DOA05805","Weymouth"
99842,5,50.69928,-2.50051,120,"1200DOB65052","Weymouth"
99844,5,50.69908,-2.50054,120,"1200DOB65051","Weymouth"
102271,5,50.66267,-2.46794,120,"1200DOB20218","Weymouth"
104007,5,50.59702,-2.47721,120,"1200DOA56553","Weymouth"
107175,5,50.6304,-2.45128,120,"1200DOY29267","Weymouth"
109074,5,50.63727,-2.42227,120,"1200DOB20785","Weymouth"
109076,5,50.64032,-2.41472,120,"1200DOB20787","Weymouth"
109077,5,50.63343,-2.43085,120,"1200DOB20781","Weymouth"
109078,5,50.63364,-2.43091,120,"1200DOB20780","Weymouth"
