"node","layer","lat","lon","zone","atcocode","city"
8189,5,53.37241,-2.77507,910," 910GHOUGHGR","Widnes"
8189,2,53.37241,-2.77507,910," 910GHOUGHGR","Widnes"
27903,5,53.3768,-2.68976,69,"   069GWAR71","Widnes"
30699,4,53.36116,-2.73459,68,"900GNX001712","Widnes"
30699,5,53.36116,-2.73459,68,"900GNX001712","Widnes"
49694,2,53.37851,-2.73354,910,"  910GWIDNES","Widnes"
49694,5,53.37851,-2.73354,910,"  910GWIDNES","Widnes"
59838,5,53.3894,-2.74796,280," 2800S50049B","Widnes"
59839,5,53.38949,-2.748,280," 2800S50049A","Widnes"
67618,5,53.37889,-2.77218,68,"068000000239","Widnes"
67619,5,53.37462,-2.7787,68,"068000000231","Widnes"
67620,5,53.37506,-2.77346,68,"068000000233","Widnes"
67621,5,53.37404,-2.77881,68,"068000000232","Widnes"
67622,5,53.37685,-2.76574,68,"068000000235","Widnes"
67623,5,53.37594,-2.76996,68,"068000000234","Widnes"
67624,5,53.37878,-2.76642,68,"068000000236","Widnes"
77230,5,53.37352,-2.77994,68,"068000000222","Widnes"
77231,5,53.37346,-2.78012,68,"068000000221","Widnes"
77431,5,53.39035,-2.76362,280," 2800S50058A","Widnes"
79647,5,53.38124,-2.76699,68,"068000000250","Widnes"
79844,5,53.4046,-2.73182,280," 2800S12003B","Widnes"
79846,5,53.40466,-2.73196,280," 2800S12003A","Widnes"
86075,5,53.38659,-2.7371,68,"068000000302","Widnes"
86887,5,53.37044,-2.76135,68,"068000000213","Widnes"
86888,5,53.37128,-2.75424,68,"068000000212","Widnes"
86889,5,53.37111,-2.75468,68,"068000000211","Widnes"
86890,5,53.37159,-2.75111,68,"068000000210","Widnes"
86891,5,53.37113,-2.77141,68,"068000000217","Widnes"
86892,5,53.37082,-2.76536,68,"068000000216","Widnes"
86894,5,53.37061,-2.75924,68,"068000000214","Widnes"
86897,5,53.37097,-2.76904,68,"068000000218","Widnes"
87037,5,53.35593,-2.81843,280," 2800S48050B","Widnes"
87038,5,53.35568,-2.81991,280," 2800S48050A","Widnes"
92058,5,53.36705,-2.76723,68,"068000000168","Widnes"
96680,5,53.37016,-2.73051,68,"068000000201","Widnes"
96681,5,53.37026,-2.73019,68,"068000000202","Widnes"
96682,5,53.37032,-2.73379,68,"068000000203","Widnes"
96683,5,53.37048,-2.73415,68,"068000000204","Widnes"
96684,5,53.37059,-2.74072,68,"068000000205","Widnes"
96685,5,53.37065,-2.73808,68,"068000000206","Widnes"
96686,5,53.37085,-2.7466,68,"068000000207","Widnes"
96687,5,53.37089,-2.74615,68,"068000000208","Widnes"
96688,5,53.37148,-2.75135,68,"068000000209","Widnes"
98055,5,53.36307,-2.71933,68,"068000000431","Widnes"
101292,5,53.35433,-2.79843,68,"068000000127","Widnes"
101293,5,53.35416,-2.79861,68,"068000000126","Widnes"
104609,5,53.38304,-2.73447,68,"068000000301","Widnes"
104610,5,53.38363,-2.73528,68,"068000000300","Widnes"
104611,5,53.3861,-2.73679,68,"068000000303","Widnes"
104613,5,53.38955,-2.73818,68,"068000000305","Widnes"
104614,5,53.38874,-2.73738,68,"068000000304","Widnes"
106380,5,53.37344,-2.73289,68,"068000000275","Widnes"
106381,5,53.37569,-2.73365,68,"068000000274","Widnes"
106382,5,53.37884,-2.72488,68,"068000000270","Widnes"
106383,5,53.37184,-2.73034,68,"068000000273","Widnes"
106384,5,53.37176,-2.73085,68,"068000000272","Widnes"
111047,5,53.35712,-2.76852,68,"068000000137","Widnes"
111048,5,53.35813,-2.76142,68,"068000000135","Widnes"
111049,5,53.35839,-2.7533,68,"068000000133","Widnes"
111050,5,53.35871,-2.74597,68,"068000000131","Widnes"
111051,5,53.35721,-2.7686,68,"068000000138","Widnes"
111158,5,53.37046,-2.71502,68,"068000000385","Widnes"
112644,5,53.34746,-2.83609,280," 2800S48028A","Widnes"
112645,5,53.34759,-2.83538,280," 2800S48028B","Widnes"
114538,5,53.38915,-2.72419,68,"068000000318","Widnes"
114539,5,53.38735,-2.71972,68,"068000000316","Widnes"
114540,5,53.38911,-2.72455,68,"068000000317","Widnes"
114541,5,53.38605,-2.71314,68,"068000000314","Widnes"
114542,5,53.387,-2.71938,68,"068000000315","Widnes"
114543,5,53.38573,-2.70663,68,"068000000310","Widnes"
114544,5,53.38559,-2.70685,68,"068000000311","Widnes"
115374,5,53.39061,-2.71269,280," 2800S12021A","Widnes"
115853,5,53.37052,-2.71718,68,"068000000384","Widnes"
116152,5,53.37684,-2.72444,68,"068000000268","Widnes"
116153,5,53.37652,-2.7242,68,"068000000269","Widnes"
116155,5,53.36954,-2.72372,68,"068000000262","Widnes"
116156,5,53.36953,-2.72515,68,"068000000263","Widnes"
116157,5,53.36896,-2.72535,68,"068000000261","Widnes"
116158,5,53.37499,-2.72405,68,"068000000266","Widnes"
116159,5,53.37471,-2.72378,68,"068000000267","Widnes"
116160,5,53.37093,-2.72331,68,"068000000264","Widnes"
119570,5,53.36474,-2.73471,68,"068000000415","Widnes"
120948,5,53.35355,-2.77061,68,"068000000103","Widnes"
120949,5,53.35199,-2.77184,68,"068000000102","Widnes"
120950,5,53.35473,-2.76989,68,"068000000101","Widnes"
120951,5,53.35048,-2.77396,68,"068000000100","Widnes"
120953,5,53.35036,-2.77425,68,"068000000106","Widnes"
120955,5,53.35108,-2.77285,68,"068000000104","Widnes"
122689,5,53.37359,-2.78032,280," 2800S50038B","Widnes"
122690,5,53.37348,-2.78018,280," 2800S50038A","Widnes"
124125,5,53.38992,-2.73671,68,"068000000323","Widnes"
124126,5,53.38978,-2.73674,68,"068000000322","Widnes"
124127,5,53.39015,-2.73479,68,"068000000321","Widnes"
124128,5,53.39023,-2.72842,68,"068000000320","Widnes"
124129,5,53.3897,-2.74713,68,"068000000327","Widnes"
124130,5,53.3897,-2.74594,68,"068000000326","Widnes"
124131,5,53.3899,-2.74269,68,"068000000325","Widnes"
124132,5,53.3898,-2.74316,68,"068000000324","Widnes"
124133,5,53.39546,-2.73569,68,"068000000329","Widnes"
124134,5,53.39078,-2.7351,68,"068000000328","Widnes"
125346,5,53.39052,-2.75747,280," 2800S50079A","Widnes"
125884,5,53.37937,-2.77237,68,"068000000252","Widnes"
133977,5,53.39505,-2.73542,68,"068000000330","Widnes"
133978,5,53.39957,-2.73509,68,"068000000331","Widnes"
135711,5,53.38093,-2.7739,68,"068000000248","Widnes"
135712,5,53.38244,-2.76907,68,"068000000249","Widnes"
135713,5,53.37805,-2.76128,68,"068000000244","Widnes"
135714,5,53.38036,-2.76956,68,"068000000246","Widnes"
135715,5,53.37957,-2.77529,68,"068000000247","Widnes"
135716,5,53.37717,-2.77609,68,"068000000240","Widnes"
135717,5,53.37291,-2.75644,68,"068000000242","Widnes"
140603,5,53.36597,-2.77228,68,"068000000169","Widnes"
140604,5,53.3667,-2.76453,68,"068000000165","Widnes"
140605,5,53.36545,-2.76116,68,"068000000164","Widnes"
140606,5,53.36696,-2.76793,68,"068000000167","Widnes"
140607,5,53.36661,-2.7635,68,"068000000166","Widnes"
140608,5,53.36992,-2.77589,68,"068000000161","Widnes"
