"node","layer","lat","lon","zone","atcocode","city"
8507,2,53.55942,-2.69439,910," 910GGATHRST","Wigan"
8507,5,53.55942,-2.69439,910," 910GGATHRST","Wigan"
10780,2,53.59154,-2.56953,910,"    910GBLRD","Wigan"
10780,5,53.59154,-2.56953,910,"    910GBLRD","Wigan"
17535,4,53.54426,-2.63322,910," 910GWIGANNW","Wigan"
17535,2,53.54426,-2.63322,910," 910GWIGANNW","Wigan"
17535,5,53.54426,-2.63322,910," 910GWIGANNW","Wigan"
29415,5,53.53893,-2.61152,910,"    910GINCE","Wigan"
29415,2,53.53893,-2.61152,910,"    910GINCE","Wigan"
47129,2,53.49988,-2.64721,910,"    910GBRYN","Wigan"
47129,5,53.49988,-2.64721,910,"    910GBRYN","Wigan"
47385,2,53.53042,-2.67035,910,"    910GPBRT","Wigan"
47385,5,53.53042,-2.67035,910,"    910GPBRT","Wigan"
51675,5,53.5581,-2.66226,180," 1800WK23311","Wigan"
52202,5,53.53343,-2.58049,180," 1800WK00981","Wigan"
52266,5,53.48036,-2.63765,280," 2800S11022A","Wigan"
52487,5,53.57159,-2.63837,180," 1800WK22811","Wigan"
53265,5,53.49656,-2.68008,280," 2800S11035A","Wigan"
53266,5,53.49627,-2.68053,280," 2800S11035B","Wigan"
53299,5,53.56249,-2.67503,180," 1800WK23221","Wigan"
53555,5,53.56287,-2.563,180," 1800WK33561","Wigan"
53654,5,53.5471,-2.63397,180," 1800WNBS001","Wigan"
53823,5,53.54194,-2.59577,180," 1800WK06601","Wigan"
53899,5,53.5046,-2.70529,280," 2800S11019A","Wigan"
54446,5,53.51614,-2.59624,180," 1800WK01721","Wigan"
54598,5,53.54956,-2.61339,180," 1800WKH1901","Wigan"
55101,5,53.54803,-2.67881,180," 1800WK05321","Wigan"
55326,5,53.53392,-2.66196,180," 1800WK05691","Wigan"
55376,5,53.53948,-2.59509,180," 1800WK06571","Wigan"
55681,5,53.53936,-2.68481,180," 1800WK04441","Wigan"
55840,5,53.55325,-2.61664,180," 1800WK46261","Wigan"
56221,5,53.55006,-2.64696,180," 1800WK23531","Wigan"
56296,5,53.5489,-2.61653,180," 1800WK06861","Wigan"
56378,5,53.48674,-2.65085,180," 1800WK00441","Wigan"
56464,5,53.54878,-2.62631,180," 1800WKH2041","Wigan"
56473,5,53.55384,-2.6351,180," 1800WK21661","Wigan"
56619,5,53.50999,-2.64427,180," 1800WKH0231","Wigan"
56684,5,53.54876,-2.69912,180," 1800WK05211","Wigan"
57068,5,53.52081,-2.59762,180," 1800WK04041","Wigan"
57664,5,53.58979,-2.69122,180," 1800WK01501","Wigan"
57747,5,53.56538,-2.55265,180," 1800WA33511","Wigan"
58167,5,53.53408,-2.65469,180," 1800WK07791","Wigan"
58218,5,53.52283,-2.67206,180," 1800WK05931","Wigan"
58268,5,53.58718,-2.57256,180," 1800WA03321","Wigan"
58320,5,53.56258,-2.56966,180," 1800WK33601","Wigan"
58528,5,53.56411,-2.6325,180," 1800WK06361","Wigan"
58791,5,53.58382,-2.65395,180," 1800WKH4591","Wigan"
58855,5,53.58517,-2.65631,180," 1800WKH4601","Wigan"
58872,5,53.53895,-2.69881,180," 1800WK04661","Wigan"
59142,5,53.59389,-2.59008,180," 1800WA33991","Wigan"
59220,5,53.52578,-2.65476,180," 1800WK07851","Wigan"
59389,5,53.54203,-2.67825,180," 1800WK01471","Wigan"
59644,5,53.54627,-2.66007,180," 1800WK05441","Wigan"
59733,5,53.5095,-2.60606,180," 1800WK00661","Wigan"
59921,5,53.52018,-2.67806,180," 1800WK05841","Wigan"
59964,5,53.58694,-2.66362,180," 1800WK22661","Wigan"
59994,5,53.56031,-2.59982,180," 1800WK33731","Wigan"
60390,5,53.52138,-2.66258,180," 1800WK05991","Wigan"
60874,5,53.50072,-2.65393,180," 1800WKH0191","Wigan"
61101,5,53.54511,-2.61577,180," 1800WK03581","Wigan"
61353,5,53.50852,-2.70749,280," 2800S11023B","Wigan"
