"node","layer","lat","lon","zone","atcocode","city"
61,5,51.32189,-0.53594,400,"400G4404028A","Woking"
65,5,51.33111,-0.50871,400,"400G4404021B","Woking"
112,5,51.32052,-0.58189,400,"400G4404116A","Woking"
807,5,51.35542,-0.51391,400,"400G4401143B","Woking"
820,5,51.35003,-0.49816,400,"400G4401075C","Woking"
1014,5,51.32839,-0.57252,400,"400G4404809B","Woking"
1027,5,51.29033,-0.64416,400,"400G4407956A","Woking"
1110,5,51.34044,-0.64466,400,"400G4403047B","Woking"
1472,5,51.34563,-0.6028,400,"400G4403017B","Woking"
2091,5,51.31531,-0.57113,400,"400G4404601A","Woking"
2579,5,51.31471,-0.62665,400,"400G4404599A","Woking"
2583,5,51.31168,-0.58869,400,"400G4404128A","Woking"
2801,5,51.3233,-0.6343,400,"400G4403040B","Woking"
2936,5,51.31814,-0.5802,400,"400G4404204A","Woking"
3090,5,51.31226,-0.59882,400,"400G4404161B","Woking"
3329,5,51.33869,-0.54353,400,"400G4404036B","Woking"
3448,5,51.36545,-0.53076,400,"400G4401096A","Woking"
3842,5,51.31005,-0.56986,400,"400G4404077A","Woking"
3889,5,51.31986,-0.60608,400,"400G4404142A","Woking"
4232,5,51.29622,-0.54141,400,"400G4407225B","Woking"
4340,5,51.30945,-0.61319,400,"400G4404120A","Woking"
4448,5,51.29395,-0.56193,400,"400G4404063C","Woking"
4481,5,51.30284,-0.55399,400,"400G4404158A","Woking"
4840,5,51.314,-0.59696,400,"400G4404804A","Woking"
4869,5,51.35034,-0.49679,400,"400G4401075B","Woking"
4900,5,51.33639,-0.57883,400,"400G4403015A","Woking"
4921,5,51.34457,-0.65172,400,"400G4403048B","Woking"
4957,5,51.34133,-0.51988,400,"400G4404040A","Woking"
5142,5,51.34552,-0.4961,400,"400G4401806D","Woking"
5143,5,51.34686,-0.4989,400,"400G4401806E","Woking"
5145,5,51.35012,-0.49306,400,"400G4401806A","Woking"
5146,5,51.34757,-0.49521,400,"400G4401806B","Woking"
5147,5,51.34645,-0.49574,400,"400G4401806C","Woking"
5151,5,51.30556,-0.62638,400,"400G4404086A","Woking"
6368,5,51.36585,-0.52349,400,"400G4401103B","Woking"
6671,5,51.28945,-0.5088,400,"400G4407235B","Woking"
6817,5,51.31734,-0.56903,400,"400G4404136A","Woking"
6889,5,51.32173,-0.57614,400,"400G4404109D","Woking"
6932,5,51.30203,-0.54209,400,"400G4404057B","Woking"
7347,5,51.34006,-0.60831,400,"400G4403021A","Woking"
7352,5,51.31333,-0.58035,400,"400G4404133A","Woking"
7560,5,51.32358,-0.57255,400,"400G4404111B","Woking"
8064,5,51.32066,-0.63022,400,"400G4403039B","Woking"
8278,5,51.3129,-0.60603,400,"400G4404170A","Woking"
8339,5,51.32064,-0.61073,400,"400G4404101A","Woking"
9100,5,51.31637,-0.61999,400,"400G4404208B","Woking"
9186,5,51.36299,-0.52812,400,"400G4401095B","Woking"
9489,5,51.30248,-0.57126,400,"400G4404074A","Woking"
9517,5,51.30203,-0.50913,400,"400G4407607A","Woking"
9631,5,51.36115,-0.4874,400,"400G4401081B","Woking"
9833,5,51.30365,-0.64576,400,"400G4404082A","Woking"
10340,5,51.33175,-0.52688,400,"400G4404044A","Woking"
10344,5,51.34324,-0.5158,400,"400G4401071B","Woking"
10615,5,51.27843,-0.5094,400,"400G4407252A","Woking"
10650,5,51.33118,-0.47544,400,"400G4404184A","Woking"
10758,5,51.28169,-0.51318,400,"400G4407403B","Woking"
10769,5,51.33296,-0.47598,400,"400G4404008B","Woking"
10798,5,51.32107,-0.58641,400,"400G4404106A","Woking"
11187,5,51.31807,-0.61341,400,"400G4404210A","Woking"
11345,5,51.30986,-0.60649,400,"400G4404147A","Woking"
11471,5,51.32051,-0.52891,400,"400G4404027A","Woking"
11551,5,51.32331,-0.60178,400,"400G4404143A","Woking"
11974,5,51.31259,-0.60521,400,"400G4404125A","Woking"
12001,5,51.30244,-0.55783,400,"400G4404066A","Woking"
12197,5,51.36274,-0.5107,400,"400G4401106B","Woking"
12449,5,51.33635,-0.63943,400,"400G4403045A","Woking"
12478,5,51.31446,-0.60359,400,"400G4404803B","Woking"
12479,5,51.31482,-0.60104,400,"400G4404803C","Woking"
12480,5,51.31709,-0.61004,400,"400G4404803A","Woking"
12486,5,51.34785,-0.60307,400,"400G4403018B","Woking"
12540,5,51.28888,-0.52622,400,"400G4407230D","Woking"
12543,5,51.28903,-0.52723,400,"400G4407230A","Woking"
12681,5,51.31653,-0.57205,400,"400G4404135A","Woking"
12693,5,51.30228,-0.54472,400,"400G4404058A","Woking"
12890,5,51.33941,-0.47394,400,"400G4404003A","Woking"
13003,5,51.36646,-0.49419,400,"400G4401805E","Woking"
13015,5,51.36508,-0.49537,400,"400G4401805D","Woking"
13049,5,51.36742,-0.49272,400,"400G4401805F","Woking"
13094,5,51.36645,-0.5004,400,"400G4401805B","Woking"
13166,5,51.28234,-0.51531,400,"400G4407238A","Woking"
13414,5,51.31424,-0.56402,400,"400G4404079A","Woking"
13574,5,51.31888,-0.51195,400,"400G4404024A","Woking"
14511,5,51.33463,-0.54221,400,"400G4404202A","Woking"
14556,5,51.30662,-0.55053,400,"400G4404167B","Woking"
14701,5,51.31339,-0.61346,400,"400G4404910B","Woking"
15406,5,51.36413,-0.48787,400,"400G4401082B","Woking"
15452,5,51.35021,-0.51246,400,"400G4401144B","Woking"
15802,5,51.33891,-0.49405,400,"400G4404013B","Woking"
15905,5,51.33661,-0.4703,400,"400G4404006B","Woking"
16424,5,51.34176,-0.46278,400,"400G4405015B","Woking"
16537,5,51.36457,-0.53074,400,"400G4401016A","Woking"
17112,5,51.32172,-0.59702,400,"400G4404144A","Woking"
17436,5,51.30723,-0.55053,400,"400G4404818B","Woking"
17437,5,51.30555,-0.54815,400,"400G4404818C","Woking"
17439,5,51.30803,-0.55517,400,"400G4404818A","Woking"
17440,5,51.30424,-0.5474,400,"400G4404818D","Woking"
17474,5,51.36431,-0.65403,400,"400G4403034A","Woking"
17500,5,51.29292,-0.53696,400,"400G4407227A","Woking"
17667,5,51.31249,-0.60877,400,"400G4404597A","Woking"
17677,5,51.31238,-0.60176,400,"400G4404126A","Woking"
17806,5,51.28021,-0.55936,400,"400G4404061A","Woking"
