"node","layer","lat","lon","zone","atcocode","city"
21454,5,52.62373,-2.18609,910," 910GBILBROK","Wolverhampton"
21454,2,52.62373,-2.18609,910," 910GBILBROK","Wolverhampton"
23853,4,52.58786,-2.11952,910," 910GWVRMPTN","Wolverhampton"
23853,2,52.58786,-2.11952,910," 910GWVRMPTN","Wolverhampton"
23853,5,52.58786,-2.11952,910," 910GWVRMPTN","Wolverhampton"
27342,5,52.57163,-2.09766,940,"  940GZZWMPR","Wolverhampton"
27342,3,52.57163,-2.09766,940,"  940GZZWMPR","Wolverhampton"
38294,5,52.58139,-2.11765,940,"  940GZZWMRO","Wolverhampton"
38294,3,52.58139,-2.11765,940,"  940GZZWMRO","Wolverhampton"
46314,5,52.58409,-2.12424,940,"  940GZZWMWS","Wolverhampton"
46314,3,52.58409,-2.12424,940,"  940GZZWMWS","Wolverhampton"
48209,2,52.6273,-2.20177,910," 910GCODSALL","Wolverhampton"
48209,5,52.6273,-2.20177,910," 910GCODSALL","Wolverhampton"
51681,5,52.57609,-2.12235,430," 43000724201","Wolverhampton"
52435,5,52.59533,-2.15271,430," 43007460002","Wolverhampton"
52870,5,52.59295,-2.13097,430," 43007800102","Wolverhampton"
52871,5,52.59401,-2.13066,430," 43007800103","Wolverhampton"
52943,5,52.592,-2.15949,430," 43000744902","Wolverhampton"
52944,5,52.59197,-2.1594,430," 43000744903","Wolverhampton"
52945,5,52.59218,-2.15922,430," 43000744901","Wolverhampton"
52946,5,52.59221,-2.15919,430," 43000744904","Wolverhampton"
52994,5,52.59834,-2.13862,430," 43007403701","Wolverhampton"
53088,5,52.56925,-2.16881,430," 43000737101","Wolverhampton"
53217,5,52.60188,-2.15511,430," 43007851502","Wolverhampton"
54046,5,52.58512,-2.13303,430," 43000704102","Wolverhampton"
54047,5,52.58518,-2.13347,430," 43000704101","Wolverhampton"
54469,5,52.5919,-2.12946,430," 43000701901","Wolverhampton"
54574,5,52.61004,-2.13095,430," 43000751302","Wolverhampton"
54577,5,52.61006,-2.13135,430," 43000751301","Wolverhampton"
54902,5,52.63242,-2.15513,380," 3800C607500","Wolverhampton"
55012,5,52.59886,-2.14197,430," 43007490501","Wolverhampton"
55014,5,52.59898,-2.14199,430," 43007490502","Wolverhampton"
55625,5,52.62054,-2.12801,430," 43007603502","Wolverhampton"
55626,5,52.62072,-2.12795,430," 43007603501","Wolverhampton"
55665,5,52.56756,-2.10486,430," 43000722701","Wolverhampton"
55841,5,52.60046,-2.1593,430," 43007402902","Wolverhampton"
55843,5,52.60055,-2.15948,430," 43007402901","Wolverhampton"
56155,5,52.58565,-2.10246,430," 43007110003","Wolverhampton"
56156,5,52.58536,-2.10279,430," 43007110002","Wolverhampton"
56735,5,52.53116,-2.20448,380," 3800C612802","Wolverhampton"
57058,5,52.58416,-2.14569,430," 43000735102","Wolverhampton"
57060,5,52.58422,-2.14579,430," 43000735101","Wolverhampton"
58535,5,52.59543,-2.12996,430," 43000749801","Wolverhampton"
58536,5,52.59545,-2.12972,430," 43000749802","Wolverhampton"
59656,5,52.57501,-2.12397,430," 43000724302","Wolverhampton"
59657,5,52.57537,-2.12378,430," 43000724301","Wolverhampton"
61087,5,52.59888,-2.13938,430," 43007403601","Wolverhampton"
61151,5,52.56932,-2.16894,430," 43000737102","Wolverhampton"
61293,5,52.59953,-2.15213,430," 43007851601","Wolverhampton"
61294,5,52.59944,-2.15196,430," 43007851602","Wolverhampton"
62665,5,52.53582,-2.18644,380," 3800C624002","Wolverhampton"
62666,5,52.53568,-2.18672,380," 3800C624001","Wolverhampton"
63598,5,52.5667,-2.10507,430," 43000722001","Wolverhampton"
65014,5,52.58315,-2.1484,430," 43000735202","Wolverhampton"
65908,5,52.56448,-2.12134,430," 43004840501","Wolverhampton"
68094,5,52.56311,-2.12026,430," 43004840601","Wolverhampton"
68543,5,52.53454,-2.18468,380," 3800C622401","Wolverhampton"
69132,5,52.59752,-2.14848,430," 43007851701","Wolverhampton"
69715,5,52.55431,-2.12462,430," 43000851302","Wolverhampton"
69716,5,52.55373,-2.12435,430," 43000851301","Wolverhampton"
69891,5,52.56332,-2.13268,430," 43007203001","Wolverhampton"
69897,5,52.58358,-2.13025,430," 43000703101","Wolverhampton"
69899,5,52.58374,-2.13025,430," 43000703104","Wolverhampton"
70589,5,52.60578,-2.12838,430," 43000751104","Wolverhampton"
70590,5,52.53369,-2.18571,380," 3800C624101","Wolverhampton"
70854,5,52.56459,-2.12027,430," 43000729301","Wolverhampton"
70855,5,52.56482,-2.12091,430," 43000729302","Wolverhampton"
71630,5,52.56676,-2.10742,430," 43000722101","Wolverhampton"
71895,5,52.60292,-2.11511,430," 43007601201","Wolverhampton"
71906,5,52.58012,-2.11417,430," 43000708602","Wolverhampton"
72073,5,52.5569,-2.15635,430," 43000733601","Wolverhampton"
72907,5,52.58174,-2.15012,430," 43000735301","Wolverhampton"
74640,5,52.62515,-2.13808,430," 43007562502","Wolverhampton"
75364,5,52.58212,-2.19783,430," 43000742502","Wolverhampton"
75412,5,52.57667,-2.12169,430," 43000724101","Wolverhampton"
76147,5,52.57239,-2.13954,430," 43000730401","Wolverhampton"
76148,5,52.57316,-2.13836,430," 43000730402","Wolverhampton"
76486,5,52.57396,-2.10394,430," 43007301003","Wolverhampton"
76692,5,52.59613,-2.16396,430," 43007402001","Wolverhampton"
76781,5,52.56816,-2.16591,430," 43000734602","Wolverhampton"
76783,5,52.56829,-2.16581,430," 43000734601","Wolverhampton"
77103,5,52.61565,-2.15791,430," 43000748801","Wolverhampton"
77725,5,52.55511,-2.12521,430," 43000851201","Wolverhampton"
78635,5,52.61721,-2.1366,430," 43000751602","Wolverhampton"
78636,5,52.61734,-2.13635,430," 43000751601","Wolverhampton"
78795,5,52.57789,-2.19069,430," 43000739801","Wolverhampton"
78898,5,52.56659,-2.12223,430," 43000729201","Wolverhampton"
79469,5,52.54603,-2.22055,380," 3800C625901","Wolverhampton"
80195,5,52.55414,-2.15631,430," 43000733702","Wolverhampton"
80197,5,52.5545,-2.15621,430," 43000733701","Wolverhampton"
80516,5,52.62558,-2.24796,350," 3500B220801","Wolverhampton"
80517,5,52.62575,-2.2479,350," 3500B220800","Wolverhampton"
81249,5,52.6115,-2.16104,430," 43000748402","Wolverhampton"
81277,5,52.56831,-2.14394,430," 43000734703","Wolverhampton"
81281,5,52.569,-2.14344,430," 43000734702","Wolverhampton"
81609,5,52.59911,-2.15212,430," 43000746801","Wolverhampton"
81610,5,52.59892,-2.15201,430," 43000746802","Wolverhampton"
82158,5,52.58224,-2.19356,430," 43000742401","Wolverhampton"
82160,5,52.58245,-2.19334,430," 43000742402","Wolverhampton"
83156,5,52.62317,-2.18216,380," 3800C626202","Wolverhampton"
83157,5,52.6231,-2.1822,380," 3800C626201","Wolverhampton"
83715,5,52.58477,-2.11865,430," 43000709202","Wolverhampton"
83716,5,52.58457,-2.1194,430," 43000709201","Wolverhampton"
84768,5,52.59298,-2.14043,430," 43007800502","Wolverhampton"
84836,5,52.57032,-2.16272,430," 43000734501","Wolverhampton"
84837,5,52.57013,-2.16258,430," 43000734502","Wolverhampton"
85016,5,52.59454,-2.12052,430," 43000765802","Wolverhampton"
85018,5,52.59509,-2.11923,430," 43000765801","Wolverhampton"
85255,5,52.60271,-2.15641,430," 43000747103","Wolverhampton"
85256,5,52.60301,-2.15694,430," 43000747104","Wolverhampton"
85416,5,52.59276,-2.10824,430," 43000770401","Wolverhampton"
85417,5,52.5925,-2.10813,430," 43000770402","Wolverhampton"
85451,5,52.62096,-2.23388,380," 3800C629202","Wolverhampton"
85453,5,52.62089,-2.23443,380," 3800C629201","Wolverhampton"
85653,5,52.55667,-2.12195,430," 43000851101","Wolverhampton"
85654,5,52.55662,-2.12175,430," 43000851102","Wolverhampton"
85702,5,52.55694,-2.15157,430," 43000733401","Wolverhampton"
85710,5,52.62949,-2.13745,430," 43000756501","Wolverhampton"
85713,5,52.62974,-2.1376,430," 43000756502","Wolverhampton"
85896,5,52.5901,-2.18174,430," 43000743502","Wolverhampton"
85897,5,52.5901,-2.18159,430," 43000743501","Wolverhampton"
87536,5,52.56918,-2.11808,430," 43000725102","Wolverhampton"
87537,5,52.56926,-2.1178,430," 43000725101","Wolverhampton"
87713,5,52.6216,-2.13203,430," 43000756101","Wolverhampton"
88026,5,52.5786,-2.12168,430," 43000708802","Wolverhampton"
88027,5,52.57923,-2.1215,430," 43000708801","Wolverhampton"
88582,5,52.59715,-2.19775,380," 3800C628601","Wolverhampton"
88708,5,52.60329,-2.17923,430," 43000744001","Wolverhampton"
89451,5,52.5768,-2.1851,430," 43007900102","Wolverhampton"
89458,5,52.5992,-2.11093,430," 43007450101","Wolverhampton"
89459,5,52.59907,-2.11053,430," 43007450102","Wolverhampton"
89619,5,52.60028,-2.14983,430," 43000746901","Wolverhampton"
89620,5,52.60011,-2.14985,430," 43000746902","Wolverhampton"
89739,5,52.62004,-2.12668,430," 43000755601","Wolverhampton"
89756,5,52.57975,-2.16738,430," 43000739102","Wolverhampton"
89757,5,52.57965,-2.16792,430," 43000739101","Wolverhampton"
89761,5,52.62706,-2.19199,380," 3800C620802","Wolverhampton"
89762,5,52.62714,-2.1921,380," 3800C620801","Wolverhampton"
90190,5,52.58219,-2.19806,430," 43000742501","Wolverhampton"
90667,5,52.54123,-2.17558,380," 3800C622101","Wolverhampton"
91736,5,52.58476,-2.11682,430," 43000709101","Wolverhampton"
91737,5,52.5848,-2.1161,430," 43000709102","Wolverhampton"
92127,5,52.56292,-2.19789,380," 3800C604300","Wolverhampton"
92128,5,52.56288,-2.19796,380," 3800C604301","Wolverhampton"
92737,5,52.58938,-2.17316,430," 43007402201","Wolverhampton"
92937,5,52.60393,-2.18119,430," 43000745202","Wolverhampton"
93229,5,52.58627,-2.13237,430," 43000704202","Wolverhampton"
93489,5,52.58378,-2.17174,430," 43000738801","Wolverhampton"
93490,5,52.58389,-2.17159,430," 43000738802","Wolverhampton"
93558,5,52.55732,-2.10833,430," 43007752003","Wolverhampton"
93560,5,52.55731,-2.10853,430," 43007752004","Wolverhampton"
93733,5,52.571,-2.22593,380," 3800C600801","Wolverhampton"
93740,5,52.57251,-2.22132,380," 3800C600800","Wolverhampton"
93948,5,52.58416,-2.13177,430," 43000703201","Wolverhampton"
93963,5,52.58895,-2.17952,430," 43000743402","Wolverhampton"
93964,5,52.58903,-2.17994,430," 43000743401","Wolverhampton"
94271,5,52.59462,-2.14127,430," 43000749101","Wolverhampton"
94272,5,52.59358,-2.14179,430," 43000749102","Wolverhampton"
94463,5,52.52953,-2.20574,380," 3800C623002","Wolverhampton"
95580,5,52.56033,-2.10912,430," 43000725001","Wolverhampton"
95893,5,52.57355,-2.13121,430," 43004841502","Wolverhampton"
96001,5,52.59116,-2.11119,430," 43000770302","Wolverhampton"
96358,5,52.58087,-2.14422,430," 43007401001","Wolverhampton"
96691,5,52.59097,-2.15151,430," 43000744102","Wolverhampton"
96692,5,52.59017,-2.15039,430," 43000744101","Wolverhampton"
96746,5,52.54758,-2.1348,430," 43000850802","Wolverhampton"
96747,5,52.54783,-2.13461,430," 43000850801","Wolverhampton"
96841,5,52.58647,-2.17202,430," 43000741502","Wolverhampton"
97059,5,52.56305,-2.14419,430," 43000732202","Wolverhampton"
