"node","layer","lat","lon","zone","atcocode","city"
3627,2,50.81752,-0.41146,440," 910GDRNGTOS","Worthing"
3627,5,50.81752,-0.41146,440," 910GDRNGTOS","Worthing"
4356,4,50.8131,-0.40528,440,"900GNX001693","Worthing"
4356,5,50.8131,-0.40528,440,"900GNX001693","Worthing"
6877,5,50.81835,-0.39298,440," 910GWWRTHNG","Worthing"
6877,2,50.81835,-0.39298,440," 910GWWRTHNG","Worthing"
11263,5,50.82797,-0.28748,440,"  440GAD0164","Worthing"
11308,4,50.82127,-0.32297,440,"900GNX002202","Worthing"
11308,5,50.82127,-0.32297,440,"900GNX002202","Worthing"
17232,4,50.80995,-0.36757,440,"900GNX001732","Worthing"
17232,5,50.80995,-0.36757,440,"900GNX001732","Worthing"
21860,5,50.81849,-0.37616,440," 910GWORTHNG","Worthing"
21860,2,50.81849,-0.37616,440," 910GWORTHNG","Worthing"
29380,4,50.8604,-0.40345,440,"900GNX000541","Worthing"
29380,5,50.8604,-0.40345,440,"900GNX000541","Worthing"
29384,4,50.84952,-0.39858,440,"900GNX000540","Worthing"
29384,5,50.84952,-0.39858,440,"900GNX000540","Worthing"
32975,4,50.82748,-0.37413,440,"900GNX002196","Worthing"
32975,5,50.82748,-0.37413,440,"900GNX002196","Worthing"
33890,2,50.82164,-0.35489,440," 910GEWRTHNG","Worthing"
33890,5,50.82164,-0.35489,440," 910GEWRTHNG","Worthing"
40123,4,50.81772,-0.43308,440," 910GGORNGBS","Worthing"
40123,2,50.81772,-0.43308,440," 910GGORNGBS","Worthing"
40123,5,50.81772,-0.43308,440," 910GGORNGBS","Worthing"
41224,2,50.82708,-0.3231,440,"    910GLNCG","Worthing"
41224,5,50.82708,-0.3231,440,"    910GLNCG","Worthing"
52305,5,50.87817,-0.2918,440,"  4400HR0236","Worthing"
54231,5,50.84011,-0.27961,440,"  4400AD0207","Worthing"
54232,5,50.84025,-0.27976,440,"  4400AD0206","Worthing"
54233,5,50.83984,-0.28519,440,"  4400AD0205","Worthing"
54234,5,50.83179,-0.27573,440,"  4400AD0202","Worthing"
54235,5,50.83159,-0.27528,440,"  4400AD0201","Worthing"
54236,5,50.83509,-0.27644,440,"  4400AD0200","Worthing"
55908,5,50.83805,-0.32803,440,"  4400AD0379","Worthing"
55909,5,50.83777,-0.32828,440,"  4400AD0378","Worthing"
55912,5,50.83566,-0.32195,440,"  4400AD0372","Worthing"
55913,5,50.83556,-0.324,440,"  4400AD0371","Worthing"
55914,5,50.83605,-0.32714,440,"  4400AD0370","Worthing"
55915,5,50.84007,-0.32717,440,"  4400AD0377","Worthing"
55916,5,50.83965,-0.32746,440,"  4400AD0376","Worthing"
55917,5,50.82897,-0.27523,440,"  4400AD0375","Worthing"
56375,5,50.81378,-0.39722,440,"  4400WO0489","Worthing"
56681,5,50.83801,-0.3885,440,"  4400WO0130","Worthing"
56682,5,50.83808,-0.38923,440,"  4400WO0131","Worthing"
57783,5,50.83806,-0.4092,440,"  4400WO0048","Worthing"
57784,5,50.83782,-0.40887,440,"  4400WO0049","Worthing"
57786,5,50.83935,-0.40683,440,"  4400WO0045","Worthing"
57787,5,50.83919,-0.40084,440,"  4400WO0040","Worthing"
57789,5,50.83943,-0.40441,440,"  4400WO0043","Worthing"
58326,5,50.83897,-0.32005,440,"  4400AD0364","Worthing"
59376,5,50.90382,-0.34721,440,"  4400HR0217","Worthing"
59377,5,50.90398,-0.34713,440,"  4400HR0216","Worthing"
59786,5,50.8127,-0.44388,440,"  4400LH0986","Worthing"
59787,5,50.80911,-0.44276,440,"  4400LH0985","Worthing"
59788,5,50.8095,-0.44313,440,"  4400LH0984","Worthing"
59789,5,50.80792,-0.44531,440,"  4400LH0983","Worthing"
59790,5,50.81271,-0.44402,440,"  4400LH0982","Worthing"
59791,5,50.86458,-0.4104,440,"  4400LH0981","Worthing"
59792,5,50.86857,-0.41054,440,"  4400LH0980","Worthing"
61911,5,50.90041,-0.3414,440,"  4400HR0758","Worthing"
63967,5,50.82608,-0.29839,440,"  4400AD0171","Worthing"
63972,5,50.82608,-0.29822,440,"  4400AD0170","Worthing"
64430,5,50.89055,-0.32915,440,"  4400HR1160","Worthing"
64431,5,50.8906,-0.32857,440,"  4400HR1161","Worthing"
65509,5,50.83396,-0.33062,440,"  4400AD0366","Worthing"
65510,5,50.83625,-0.32895,440,"  4400AD0367","Worthing"
65511,5,50.84138,-0.32107,440,"  4400AD0362","Worthing"
