"node","layer","lat","lon","zone","atcocode","city"
40903,4,53.95798,-1.09318,910,"    910GYORK","York"
40903,2,53.95798,-1.09318,910,"    910GYORK","York"
40903,5,53.95798,-1.09318,910,"    910GYORK","York"
47163,2,53.97609,-1.14859,910," 910GPOPLTON","York"
47163,5,53.97609,-1.14859,910," 910GPOPLTON","York"
52835,5,53.97275,-1.04619,329,"3290YYA00458","York"
52836,5,53.97291,-1.0467,329,"3290YYA00459","York"
52843,5,53.96952,-1.06277,329,"3290YYA00451","York"
53372,5,53.96674,-1.05587,329,"3290YYA00755","York"
54404,5,53.98833,-1.06816,329,"3290YYA00528","York"
54405,5,53.99081,-1.06637,329,"3290YYA00529","York"
54406,5,53.98219,-1.06781,329,"3290YYA00522","York"
54407,5,53.9834,-1.06856,329,"3290YYA00523","York"
54408,5,53.97846,-1.07016,329,"3290YYA00520","York"
54409,5,53.98652,-1.06909,329,"3290YYA00526","York"
54410,5,53.98862,-1.06817,329,"3290YYA00527","York"
54411,5,53.98401,-1.06905,329,"3290YYA00524","York"
54412,5,53.98716,-1.06901,329,"3290YYA00525","York"
54450,5,53.97129,-1.05392,329,"3290YYA00848","York"
55458,5,53.95444,-1.06559,329,"3290YYA00089","York"
55461,5,53.95486,-1.06907,329,"3290YYA00088","York"
55484,5,53.95466,-1.06884,329,"3290YYA00087","York"
58823,5,53.97324,-1.20812,329,"3290YYA01091","York"
58824,5,54.03909,-1.09961,329,"3290YYA01093","York"
58825,5,53.97315,-1.20811,329,"3290YYA01092","York"
58826,5,54.0391,-1.09938,329,"3290YYA01094","York"
58827,5,54.01865,-1.09844,329,"3290YYA01097","York"
58828,5,53.99548,-1.09003,329,"3290YYA01099","York"
58829,5,54.01864,-1.09824,329,"3290YYA01098","York"
59143,5,53.98162,-1.07409,329,"3290YYA00649","York"
59144,5,53.98111,-1.07409,329,"3290YYA00648","York"
59145,5,53.99852,-1.07252,329,"3290YYA00640","York"
59146,5,53.98856,-1.07279,329,"3290YYA00647","York"
59147,5,53.9892,-1.07316,329,"3290YYA00646","York"
59148,5,53.99112,-1.07263,329,"3290YYA00645","York"
59149,5,53.99098,-1.0723,329,"3290YYA00644","York"
59533,5,53.96807,-1.04558,329,"3290YYA00456","York"
59536,5,53.97027,-1.0453,329,"3290YYA00457","York"
59544,5,53.96603,-1.04396,329,"3290YYA00455","York"
59545,5,53.96941,-1.06299,329,"3290YYA00452","York"
60649,5,53.93813,-1.06672,329,"3290YYA00247","York"
60651,5,53.93816,-1.07367,329,"3290YYA00245","York"
60652,5,53.93843,-1.07348,329,"3290YYA00244","York"
60653,5,53.9402,-1.07403,329,"3290YYA00243","York"
62532,5,53.97092,-1.05396,329,"3290YYA00463","York"
62533,5,53.96807,-1.05398,329,"3290YYA00462","York"
62534,5,53.96975,-1.05414,329,"3290YYA00461","York"
62535,5,53.97161,-1.05124,329,"3290YYA00460","York"
62536,5,53.97563,-1.05722,329,"3290YYA00467","York"
62537,5,53.96807,-1.06261,329,"3290YYA00466","York"
62538,5,53.97015,-1.05837,329,"3290YYA00465","York"
62539,5,53.97028,-1.05695,329,"3290YYA00464","York"
64062,5,53.97998,-1.05726,329,"3290YYA00519","York"
64063,5,53.9826,-1.05902,329,"3290YYA00518","York"
64064,5,53.98476,-1.0591,329,"3290YYA00517","York"
64065,5,53.98702,-1.05916,329,"3290YYA00516","York"
64066,5,53.98736,-1.059,329,"3290YYA00515","York"
64067,5,53.98891,-1.05892,329,"3290YYA00514","York"
64068,5,53.99184,-1.05902,329,"3290YYA00513","York"
64069,5,53.99435,-1.05889,329,"3290YYA00512","York"
64070,5,53.99485,-1.05853,329,"3290YYA00511","York"
64071,5,53.9947,-1.05818,329,"3290YYA00510","York"
65140,5,53.98449,-1.12068,329,"3290YYB01115","York"
65141,5,53.95144,-1.1092,329,"3290YYB01117","York"
65142,5,53.98451,-1.12283,329,"3290YYB01116","York"
65143,5,53.96026,-1.11861,329,"3290YYB01110","York"
65144,5,53.92096,-1.10077,329,"3290YYB01113","York"
65145,5,53.95177,-1.10436,329,"3290YYB01119","York"
65146,5,53.95022,-1.10956,329,"3290YYB01118","York"
68475,5,53.97438,-1.09744,329,"3290YYA01087","York"
68476,5,53.98548,-1.09532,329,"3290YYA01084","York"
68477,5,53.97847,-1.09697,329,"3290YYA01085","York"
68478,5,53.97458,-1.10184,329,"3290YYA01083","York"
68479,5,53.95678,-1.0779,329,"3290YYA01080","York"
68481,5,53.94815,-1.12013,329,"3290YYA01088","York"
68810,5,53.98846,-1.09386,329,"3290YYA00658","York"
68811,5,53.98877,-1.094,329,"3290YYA00659","York"
68812,5,53.97452,-1.07435,329,"3290YYA00650","York"
68813,5,53.97467,-1.07496,329,"3290YYA00651","York"
68814,5,53.97469,-1.08579,329,"3290YYA00652","York"
68815,5,53.97651,-1.08555,329,"3290YYA00653","York"
68816,5,53.97646,-1.08538,329,"3290YYA00654","York"
68817,5,53.97844,-1.08494,329,"3290YYA00655","York"
68818,5,53.97379,-1.08603,329,"3290YYA00656","York"
68819,5,53.9735,-1.08636,329,"3290YYA00657","York"
69369,5,53.98171,-1.06744,329,"3290YYA00521","York"
70044,5,54.03299,-1.03881,329,"3290YYA00765","York"
70186,5,53.9287,-1.06551,329,"3290YYA00258","York"
70187,5,53.92955,-1.06694,329,"3290YYA00259","York"
70188,5,53.93288,-1.07098,329,"3290YYA00254","York"
70189,5,53.93183,-1.07059,329,"3290YYA00255","York"
70190,5,53.93035,-1.06858,329,"3290YYA00257","York"
70191,5,53.9411,-1.07008,329,"3290YYA00250","York"
70192,5,53.94087,-1.07307,329,"3290YYA00251","York"
70193,5,53.93567,-1.07208,329,"3290YYA00252","York"
70194,5,53.93579,-1.07186,329,"3290YYA00253","York"
72026,5,53.978,-1.05255,329,"3290YYA00470","York"
72027,5,53.98362,-1.02473,329,"3290YYA00471","York"
72028,5,53.97859,-1.03541,329,"3290YYA00472","York"
72029,5,53.97412,-1.0435,329,"3290YYA00473","York"
72033,5,53.98634,-1.05658,329,"3290YYA00479","York"
72995,5,53.95621,-1.13226,329,"3290YYA01079","York"
73489,5,53.99672,-1.0574,329,"3290YYA00508","York"
73490,5,53.99623,-1.05728,329,"3290YYA00509","York"
73491,5,54.00108,-1.0581,329,"3290YYA00504","York"
73492,5,53.99963,-1.05834,329,"3290YYA00505","York"
73493,5,53.99801,-1.05743,329,"3290YYA00506","York"
73494,5,53.99837,-1.05788,329,"3290YYA00507","York"
73496,5,54.0073,-1.05467,329,"3290YYA00501","York"
73497,5,54.00319,-1.0571,329,"3290YYA00502","York"
73498,5,54.0032,-1.05722,329,"3290YYA00503","York"
75407,5,54.01222,-0.98935,329,"3290YYA00999","York"
75409,5,53.97692,-1.06146,329,"3290YYA00993","York"
75410,5,53.97624,-1.06544,329,"3290YYA00992","York"
75411,5,53.98258,-1.05921,329,"3290YYA00997","York"
75413,5,53.97533,-1.05924,329,"3290YYA00995","York"
75414,5,53.97539,-1.0591,329,"3290YYA00994","York"
78459,5,53.95458,-0.97046,329,"3290YYA00629","York"
78460,5,53.95527,-0.97179,329,"3290YYA00628","York"
78461,5,53.96318,-0.97688,329,"3290YYA00625","York"
78462,5,53.96486,-0.97901,329,"3290YYA00624","York"
78463,5,53.9633,-0.97729,329,"3290YYA00626","York"
78464,5,53.90305,-1.09039,329,"3290YYA00621","York"
78465,5,53.89421,-1.09305,329,"3290YYA00620","York"
78466,5,53.96477,-0.9802,329,"3290YYA00623","York"
78467,5,53.96363,-0.98315,329,"3290YYA00622","York"
78849,5,53.87947,-1.08902,320,"3200YNA00623","York"
78850,5,53.87948,-1.08914,320,"3200YNA00622","York"
79267,5,53.95454,-1.06491,329,"3290YYA00090","York"
80163,5,53.91861,-1.09242,329,"3290YYA00718","York"
80164,5,53.9196,-1.09979,329,"3290YYA00711","York"
80165,5,53.91814,-1.09655,329,"3290YYA00713","York"
80166,5,53.92205,-1.09458,329,"3290YYA00717","York"
80167,5,53.92138,-1.09399,329,"3290YYA00716","York"
80713,5,53.92022,-1.0955,329,"3290YYA00599","York"
81764,5,53.98518,-1.09942,329,"3290YYA00405","York"
81765,5,53.98176,-1.10041,329,"3290YYA00404","York"
82971,5,53.90216,-1.08976,329,"3290YYA01555","York"
83015,5,54.01917,-1.04621,329,"3290YYA00484","York"
83218,5,53.9893,-0.94391,320,"3200YNA05188","York"
83219,5,53.98913,-0.94432,320,"3200YNA05186","York"
83327,5,53.985,-1.10423,329,"3290YYA00408","York"
84673,5,53.93785,-1.07085,329,"3290YYA00246","York"
84709,5,53.94355,-1.07417,329,"3290YYA00241","York"
85194,5,53.95572,-1.07052,329,"3290YYA00989","York"
85195,5,53.98629,-1.05381,329,"3290YYA00984","York"
85196,5,54.00173,-1.05764,329,"3290YYA00985","York"
85197,5,53.97067,-1.07354,329,"3290YYA00986","York"
85198,5,53.96857,-1.07285,329,"3290YYA00987","York"
86381,5,53.95896,-1.08906,329,"3290YYA00126","York"
86382,5,53.96093,-1.08619,329,"3290YYA00125","York"
86383,5,53.96185,-1.08535,329,"3290YYA00123","York"
86384,5,53.96242,-1.08563,329,"3290YYA00120","York"
86385,5,53.962,-1.08565,329,"3290YYA00121","York"
86386,5,53.95883,-1.08932,329,"3290YYA00128","York"
87970,5,53.9941,-1.07171,329,"3290YYA00642","York"
88167,5,54.00119,-0.99308,329,"3290YYA00632","York"
88168,5,53.99959,-0.99547,329,"3290YYA00633","York"
88169,5,53.96522,-0.98003,329,"3290YYA00630","York"
88171,5,53.99312,-1.00606,329,"3290YYA00636","York"
88172,5,53.99006,-1.01222,329,"3290YYA00637","York"
88173,5,53.99713,-0.99871,329,"3290YYA00634","York"
88174,5,53.99421,-1.00361,329,"3290YYA00635","York"
88176,5,53.98634,-1.01896,329,"3290YYA00638","York"
88292,5,53.93575,-1.10661,329,"3290YYA01603","York"
89061,5,54.01795,-1.08809,329,"3290YYA00542","York"
89069,5,54.01862,-1.08943,329,"3290YYA00544","York"
89078,5,54.01716,-1.09174,329,"3290YYA00546","York"
89088,5,54.00767,-1.07392,329,"3290YYA00548","York"
89090,5,54.01065,-1.07479,329,"3290YYA00549","York"
89792,5,53.9183,-1.16376,329,"3290YYA00709","York"
89793,5,53.95468,-1.01961,329,"3290YYA00707","York"
89794,5,53.95659,-1.01551,329,"3290YYA00704","York"
89795,5,53.95603,-1.01403,329,"3290YYA00705","York"
89796,5,53.96592,-1.01113,329,"3290YYA00702","York"
89797,5,53.96534,-1.01409,329,"3290YYA00703","York"
89798,5,53.98282,-1.11775,329,"3290YYA00700","York"
89799,5,53.9839,-1.11906,329,"3290YYA00701","York"
90069,5,53.94584,-1.10196,329,"3290YYA00054","York"
90077,5,53.94012,-1.11555,329,"3290YYA00058","York"
91347,5,53.9644,-1.05115,329,"3290YYA00418","York"
91348,5,53.96329,-1.05335,329,"3290YYA00419","York"
91352,5,53.99055,-1.10382,329,"3290YYA00412","York"
91353,5,53.99093,-1.10231,329,"3290YYA00413","York"
91354,5,53.99134,-1.10543,329,"3290YYA00411","York"
91355,5,53.98688,-1.10162,329,"3290YYA00416","York"
91356,5,53.98723,-1.10139,329,"3290YYA00417","York"
91357,5,53.99234,-1.09783,329,"3290YYA00414","York"
91358,5,53.98936,-1.09625,329,"3290YYA00415","York"
91912,5,53.96496,-1.04855,329,"3290YYA00453","York"
91915,5,53.97201,-1.06235,329,"3290YYA00450","York"
94130,5,53.94983,-1.10748,329,"3290YYB01120","York"
94131,5,53.93415,-1.10864,329,"3290YYB01122","York"
94132,5,53.94703,-1.13111,329,"3290YYB01123","York"
94356,5,53.95607,-1.05826,329,"3290YYA00297","York"
95951,5,53.98063,-1.19912,329,"3290YYA01090","York"
95952,5,54.02241,-1.09732,329,"3290YYA01095","York"
95953,5,54.02168,-1.09797,329,"3290YYA01096","York"
96144,5,53.96249,-1.08566,329,"3290YYA00118","York"
96145,5,53.96057,-1.07546,329,"3290YYA00113","York"
96146,5,53.95903,-1.07834,329,"3290YYA00112","York"
96147,5,53.95901,-1.07808,329,"3290YYA00111","York"
96148,5,53.96274,-1.0856,329,"3290YYA00117","York"
96149,5,53.96091,-1.07462,329,"3290YYA00114","York"
97275,5,53.95902,-1.07726,329,"3290YYA01567","York"
97797,5,53.92145,-1.09423,329,"3290YYA00606","York"
97798,5,53.91586,-1.09293,329,"3290YYA00605","York"
97799,5,53.91667,-1.09596,329,"3290YYA00603","York"
97800,5,53.91676,-1.09331,329,"3290YYA00602","York"
97801,5,53.91862,-1.09228,329,"3290YYA00601","York"
97802,5,53.92021,-1.09299,329,"3290YYA00600","York"
97803,5,53.92128,-1.09898,329,"3290YYA00609","York"
97804,5,53.92113,-1.09958,329,"3290YYA00608","York"
97975,5,53.99429,-1.07178,329,"3290YYA00643","York"
97980,5,53.99743,-1.07192,329,"3290YYA00641","York"
99435,5,53.93918,-1.06251,329,"3290YYA00733","York"
99436,5,53.94089,-1.0604,329,"3290YYA00732","York"
99437,5,53.94078,-1.06326,329,"3290YYA00731","York"
99438,5,53.94116,-1.06926,329,"3290YYA00730","York"
99439,5,53.94862,-1.0386,329,"3290YYA00737","York"
99440,5,53.94707,-1.04377,329,"3290YYA00736","York"
99441,5,53.94236,-1.05558,329,"3290YYA00735","York"
99442,5,53.93781,-1.07019,329,"3290YYA00734","York"
99443,5,53.94927,-1.03513,329,"3290YYA00738","York"
101022,5,53.96607,-1.06093,329,"3290YYA00428","York"
101024,5,53.96236,-1.05988,329,"3290YYA00425","York"
